	Bang-BoseOff		
Frequency (Hz)	Level (dB)

11.139739	-74.91
11.301211	-75.06
11.465025	-75.23
11.631213	-75.40
11.799810	-75.59
11.970850	-75.76
12.144370	-75.92
12.320405	-76.06
12.498992	-76.16
12.680168	-76.24
12.863969	-76.25
13.050435	-76.20
13.239604	-76.07
13.431515	-75.86
13.626208	-75.60
13.823722	-75.30
14.024100	-74.93
14.227382	-74.59
14.433611	-74.22
14.642829	-73.88
14.855080	-73.57
15.070408	-73.26
15.288856	-72.99
15.510471	-72.71
15.735299	-72.46
15.963385	-72.20
16.194778	-71.94
16.429525	-71.69
16.667674	-71.42
16.909275	-71.18
17.154379	-70.93
17.403035	-70.68
17.655296	-70.45
17.911213	-70.23
18.170840	-70.02
18.434230	-69.81
18.701438	-69.61
18.972519	-69.42
19.247530	-69.24
19.526527	-69.07
19.809568	-68.94
20.096712	-68.87
20.388018	-68.87
20.683546	-68.99
20.983358	-69.21
21.287517	-69.53
21.596084	-69.90
21.909123	-70.22
22.226701	-70.40
22.548881	-70.41
22.875732	-70.27
23.207320	-70.08
23.543715	-69.90
23.884986	-69.77
24.231204	-69.69
24.582441	-69.65
24.938768	-69.61
25.300261	-69.56
25.666993	-69.48
26.039042	-69.38
26.416483	-69.24
26.799396	-69.07
27.187858	-68.79
27.581952	-68.31
27.981758	-67.64
28.387360	-66.84
28.798840	-66.07
29.216286	-65.44
29.639782	-65.05
30.069416	-64.86
30.505279	-64.86
30.947459	-65.02
31.396049	-65.31
31.851141	-65.61
32.312830	-65.70
32.781212	-65.42
33.256382	-64.84
33.738440	-64.14
34.227486	-63.33
34.723620	-62.32
35.226947	-60.99
35.737568	-59.55
36.255592	-58.33
36.781124	-57.48
37.314274	-57.04
37.855152	-57.00
38.403871	-57.41
38.960543	-58.31
39.525284	-59.46
40.098211	-60.28
40.679443	-60.40
41.269100	-60.01
41.867304	-59.50
42.474180	-59.24
43.089852	-59.49
43.714448	-60.11
44.348098	-60.65
44.990933	-60.84
45.643086	-60.88
46.304692	-60.95
46.975888	-61.07
47.656813	-60.99
48.347609	-60.08
49.048418	-58.31
49.759385	-56.44
50.480657	-54.95
51.212385	-54.25
51.954719	-54.65
52.707813	-55.57
53.471824	-55.62
54.246909	-54.90
55.033230	-54.23
55.830948	-53.54
56.640229	-52.74
57.461241	-52.13
58.294153	-51.89
59.139139	-52.09
59.996373	-52.31
60.866033	-51.95
61.748299	-51.70
62.643354	-51.91
63.551382	-50.93
64.472573	-47.64
65.407116	-44.33
66.355206	-42.56
67.317038	-42.27
68.292813	-43.53
69.282731	-46.03
70.286999	-48.27
71.305824	-48.58
72.339416	-48.53
73.387991	-48.55
74.451765	-46.51
75.530959	-43.42
76.625796	-41.52
77.736503	-41.17
78.863310	-42.05
80.006450	-42.02
81.166160	-41.57
82.342680	-41.36
83.536255	-41.13
84.747130	-42.22
85.975557	-41.58
87.221791	-38.83
88.486089	-36.58
89.768713	-35.86
91.069929	-36.76
92.390007	-37.31
93.729219	-36.36
95.087844	-37.37
96.466162	-40.25
97.864459	-41.88
99.283025	-41.98
100.722153	-43.43
102.182141	-46.05
103.663293	-47.92
105.165914	-48.94
106.690316	-48.85
108.236814	-48.89
109.805729	-47.56
111.397386	-47.94
113.012114	-51.92
114.650248	-53.45
116.312128	-49.81
117.998096	-45.87
119.708503	-40.35
121.443703	-38.01
123.204054	-35.68
124.989923	-31.43
126.801678	-31.29
128.639694	-33.06
130.504354	-31.69
132.396041	-32.15
134.315150	-35.35
136.262076	-35.79
138.237223	-34.27
140.241000	-32.39
142.273823	-32.96
144.336111	-31.77
146.428293	-31.37
148.550802	-30.06
150.704076	-29.84
152.888563	-32.17
155.104715	-35.48
157.352990	-38.09
159.633854	-35.43
161.947780	-36.63
164.295247	-40.04
166.676741	-33.75
169.092755	-32.96
171.543790	-33.99
174.030353	-32.67
176.552959	-36.79
179.112131	-41.71
181.708398	-44.80
184.342299	-48.21
187.014379	-47.50
189.725192	-48.78
192.475298	-50.85
195.265267	-45.23
198.095678	-40.04
200.967116	-41.46
203.880176	-45.68
206.835462	-43.44
209.833585	-41.11
212.875166	-37.85
215.960836	-42.75
219.091233	-36.07
222.267006	-36.52
225.488813	-43.87
228.757320	-38.06
232.073205	-40.11
235.437154	-39.13
238.849865	-34.73
242.312043	-35.83
245.824407	-37.29
249.387683	-42.40
253.002609	-47.90
256.669935	-46.78
260.390419	-46.64
264.164832	-47.87
267.993956	-52.47
271.878584	-58.78
275.819521	-55.14
279.817582	-49.51
283.873596	-45.89
287.988403	-43.37
292.162855	-41.91
296.397817	-45.59
300.694165	-41.59
305.052789	-38.15
309.474593	-40.62
313.960491	-42.47
318.511414	-38.45
323.128303	-40.58
327.812115	-40.35
332.563820	-43.82
337.384402	-46.33
342.274859	-40.44
347.236204	-40.87
352.269465	-42.57
357.375684	-40.20
362.555919	-35.53
367.811243	-42.04
373.142743	-40.38
378.551525	-43.52
384.038708	-41.01
389.605429	-36.85
395.252841	-43.88
400.982113	-44.24
406.794432	-42.92
412.691002	-41.60
418.673044	-40.59
424.741797	-41.15
430.898518	-40.09
437.144481	-37.03
443.480981	-37.93
449.909331	-40.43
456.430860	-42.25
463.046920	-41.87
469.758882	-42.45
476.568134	-41.32
483.476089	-47.51
490.484175	-47.44
497.593845	-49.67
504.806572	-53.58
512.123848	-58.68
519.547190	-70.25
527.078134	-55.52
534.718242	-53.28
542.469094	-52.07
550.332296	-52.06
558.309477	-48.25
566.402289	-47.40
574.612408	-48.02
582.941535	-54.85
591.391394	-52.22
599.963735	-45.32
608.660334	-45.88
617.482992	-50.64
626.433537	-50.95
635.513821	-51.75
644.725726	-57.92
654.071160	-58.76
663.552057	-57.96
673.170382	-59.49
682.928127	-58.89
