	Heli-BoseOff		
Frequency (Hz)	Level (dB)

11.139739	-63.49
11.301211	-63.17
11.465025	-62.90
11.631213	-62.68
11.799810	-62.50
11.970850	-62.40
12.144370	-62.35
12.320405	-62.35
12.498992	-62.40
12.680168	-62.53
12.863969	-62.68
13.050435	-62.87
13.239604	-63.09
13.431515	-63.40
13.626208	-63.68
13.823722	-63.99
14.024100	-64.38
14.227382	-64.70
14.433611	-65.03
14.642829	-65.30
14.855080	-65.45
15.070408	-65.50
15.288856	-65.44
15.510471	-65.29
15.735299	-65.12
15.963385	-64.95
16.194778	-64.80
16.429525	-64.66
16.667674	-64.51
16.909275	-64.40
17.154379	-64.32
17.403035	-64.25
17.655296	-64.12
17.911213	-63.81
18.170840	-63.29
18.434230	-62.69
18.701438	-62.26
18.972519	-61.90
19.247530	-61.13
19.526527	-59.33
19.809568	-56.76
20.096712	-54.10
20.388018	-51.63
20.683546	-49.24
20.983358	-46.71
21.287517	-44.00
21.596084	-41.28
21.909123	-38.75
22.226701	-36.57
22.548881	-34.76
22.875732	-33.34
23.207320	-32.37
23.543715	-31.77
23.884986	-31.48
24.231204	-31.50
24.582441	-31.77
24.938768	-32.35
25.300261	-33.20
25.666993	-34.53
26.039042	-36.30
26.416483	-38.89
26.799396	-42.19
27.187858	-46.41
27.581952	-50.88
27.981758	-53.53
28.387360	-54.90
28.798840	-56.40
29.216286	-57.77
29.639782	-58.41
30.069416	-58.80
30.505279	-59.10
30.947459	-59.04
31.396049	-58.60
31.851141	-57.90
32.312830	-56.92
32.781212	-55.87
33.256382	-55.00
33.738440	-54.47
34.227486	-54.35
34.723620	-54.61
35.226947	-55.19
35.737568	-55.88
36.255592	-55.99
36.781124	-54.72
37.314274	-51.72
37.855152	-47.89
38.403871	-44.44
38.960543	-41.97
39.525284	-40.64
40.098211	-40.32
40.679443	-40.82
41.269100	-42.06
41.867304	-44.18
42.474180	-47.57
43.089852	-52.38
43.714448	-56.55
44.348098	-57.70
44.990933	-57.97
45.643086	-57.80
46.304692	-57.20
46.975888	-56.25
47.656813	-55.19
48.347609	-54.63
49.048418	-54.79
49.759385	-55.12
50.480657	-54.72
51.212385	-54.08
51.954719	-53.97
52.707813	-54.10
53.471824	-53.82
54.246909	-53.21
55.033230	-52.58
55.830948	-52.14
56.640229	-49.22
57.461241	-43.79
58.294153	-39.27
59.139139	-35.97
59.996373	-34.46
60.866033	-35.26
61.748299	-38.18
62.643354	-42.42
63.551382	-47.29
64.472573	-50.55
65.407116	-52.54
66.355206	-54.91
67.317038	-56.43
68.292813	-56.83
69.282731	-57.02
70.286999	-57.47
71.305824	-57.73
72.339416	-57.92
73.387991	-58.41
74.451765	-59.17
75.530959	-59.34
76.625796	-58.77
77.736503	-58.07
78.863310	-57.29
80.006450	-56.03
81.166160	-55.56
82.342680	-55.65
83.536255	-55.33
84.747130	-55.80
85.975557	-56.63
87.221791	-56.52
88.486089	-55.60
89.768713	-55.35
91.069929	-56.23
92.390007	-57.11
93.729219	-57.00
95.087844	-55.74
96.466162	-50.48
97.864459	-40.79
99.283025	-34.83
100.722153	-34.78
102.182141	-39.66
103.663293	-51.56
105.165914	-58.28
106.690316	-60.45
108.236814	-60.57
109.805729	-60.52
111.397386	-60.78
113.012114	-62.37
114.650248	-63.63
116.312128	-62.09
117.998096	-61.61
119.708503	-58.96
121.443703	-55.23
123.204054	-53.76
124.989923	-54.13
126.801678	-54.54
128.639694	-55.04
130.504354	-55.86
132.396041	-56.75
134.315150	-55.66
136.262076	-55.08
138.237223	-55.45
140.241000	-55.22
142.273823	-54.47
144.336111	-54.57
146.428293	-55.13
148.550802	-55.64
150.704076	-55.63
152.888563	-56.32
155.104715	-53.39
157.352990	-52.42
159.633854	-54.48
161.947780	-56.63
164.295247	-57.15
166.676741	-55.96
169.092755	-57.84
171.543790	-56.55
174.030353	-53.42
176.552959	-48.85
179.112131	-37.39
181.708398	-39.12
184.342299	-54.17
187.014379	-60.58
189.725192	-60.36
192.475298	-59.67
195.265267	-57.92
198.095678	-55.98
200.967116	-56.18
203.880176	-52.78
206.835462	-53.21
209.833585	-56.58
212.875166	-57.14
215.960836	-57.72
219.091233	-57.67
222.267006	-54.63
225.488813	-56.16
228.757320	-58.69
232.073205	-58.90
235.437154	-56.87
238.849865	-56.92
242.312043	-55.56
245.824407	-55.90
249.387683	-55.60
253.002609	-57.00
256.669935	-58.82
260.390419	-58.78
264.164832	-56.21
267.993956	-55.34
271.878584	-56.46
275.819521	-56.87
279.817582	-57.14
283.873596	-56.24
287.988403	-58.22
292.162855	-60.83
296.397817	-62.75
300.694165	-58.65
305.052789	-58.81
309.474593	-60.31
313.960491	-59.42
318.511414	-58.84
323.128303	-58.02
327.812115	-61.48
332.563820	-59.17
337.384402	-41.71
342.274859	-40.35
347.236204	-61.17
352.269465	-62.01
357.375684	-60.82
362.555919	-61.86
367.811243	-61.08
373.142743	-61.67
378.551525	-63.64
384.038708	-65.72
389.605429	-62.55
395.252841	-63.94
400.982113	-65.04
406.794432	-63.28
412.691002	-63.98
418.673044	-63.91
424.741797	-64.40
430.898518	-63.10
437.144481	-61.84
443.480981	-65.40
449.909331	-64.08
456.430860	-63.93
463.046920	-65.83
469.758882	-67.06
476.568134	-67.84
483.476089	-66.85
490.484175	-69.05
497.593845	-69.36
504.806572	-71.47
512.123848	-71.42
519.547190	-70.09
527.078134	-69.41
534.718242	-69.33
542.469094	-68.42
550.332296	-70.38
558.309477	-70.78
566.402289	-70.18
574.612408	-73.20
582.941535	-71.48
591.391394	-73.02
599.963735	-50.17
608.660334	-73.85
617.482992	-72.03
626.433537	-72.61
635.513821	-75.18
644.725726	-73.35
654.071160	-75.64
663.552057	-77.70
673.170382	-76.53
682.928127	-75.90
692.827312	-75.53
702.869989	-76.37
713.058235	-75.77
723.394163	-75.64
733.879912	-81.24
744.517654	-83.47
755.309592	-83.40
766.257962	-83.61
777.365030	-83.84
788.633098	-86.62
800.064499	-88.80
811.661600	-86.09
823.426804	-85.90
835.362547	-83.95
847.471301	-86.12
859.755574	-84.43
872.217910	-87.08
884.860890	-87.65
897.687132	-88.22
910.699294	-90.02
923.900070	-91.97
937.292194	-91.31
950.878439	-93.44
964.661620	-91.41
978.644591	-92.10
992.830248	-67.01
1007.221529	-66.60
1021.821414	-92.42
1036.632928	-91.61
1051.659138	-93.96
1066.903156	-93.23
1082.368140	-93.93
1098.057291	-92.06
1113.973860	-93.09
1130.121143	-94.61
1146.502484	-95.53
1163.121276	-97.27
1179.980961	-99.67
1197.085030	-100.52
1214.437027	-101.19
1232.040544	-101.48
1249.899229	-100.20
1268.016778	-101.68
1286.396945	-100.83
1305.043536	-101.76
1323.960414	-103.00
1343.151496	-104.80
1362.620756	-104.71
1382.372227	-103.09
1402.410000	-103.10
1422.738225	-102.60
1443.361112	-101.04
1464.282931	-104.27
1485.508017	-101.45
1507.040765	-103.23
1528.885634	-102.19
1551.047150	-102.85
1573.529901	-103.49
1596.338544	-104.74
1619.477804	-105.15
1642.952471	-105.58
1666.767409	-103.94
1690.927550	-105.46
1715.437896	-105.45
1740.303526	-104.96
1765.529587	-104.70
1791.121306	-104.78
1817.083982	-102.12
1843.422992	-102.00
1870.143792	-101.72
1897.251916	-74.52
1924.752977	-102.71
1952.652672	-103.54
1980.956779	-102.83
2009.671159	-103.13
2038.801761	-103.28
2068.354617	-104.06
2098.335847	-103.52
2128.751662	-101.60
2159.608360	-102.74
2190.912333	-101.90
2222.670063	-101.25
2254.888128	-101.74
2287.573200	-100.95
2320.732050	-101.60
