	Silence-BoseOff		
Frequency (Hz)	Level (dB)

11.139739	-90.71
11.301211	-90.54
11.465025	-90.43
11.631213	-90.38
11.799810	-90.41
11.970850	-90.52
12.144370	-90.70
12.320405	-90.97
12.498992	-91.33
12.680168	-91.82
12.863969	-92.33
13.050435	-92.86
13.239604	-93.40
13.431515	-93.96
13.626208	-94.31
13.823722	-94.53
14.024100	-94.58
14.227382	-94.45
14.433611	-94.16
14.642829	-93.79
14.855080	-93.36
15.070408	-92.88
15.288856	-92.45
15.510471	-92.01
15.735299	-91.67
15.963385	-91.40
16.194778	-91.23
16.429525	-91.16
16.667674	-91.21
16.909275	-91.32
17.154379	-91.51
17.403035	-91.77
17.655296	-92.02
17.911213	-92.24
18.170840	-92.38
18.434230	-92.33
18.701438	-92.01
18.972519	-91.39
19.247530	-90.55
19.526527	-89.60
19.809568	-88.68
20.096712	-87.88
20.388018	-87.25
20.683546	-86.81
20.983358	-86.54
21.287517	-86.41
21.596084	-86.37
21.909123	-86.38
22.226701	-86.41
22.548881	-86.42
22.875732	-86.37
23.207320	-86.22
23.543715	-85.94
23.884986	-85.55
24.231204	-85.13
24.582441	-84.80
24.938768	-84.64
25.300261	-84.70
25.666993	-84.99
26.039042	-85.39
26.416483	-85.83
26.799396	-86.11
27.187858	-86.21
27.581952	-86.13
27.981758	-85.96
28.387360	-85.75
28.798840	-85.60
29.216286	-85.66
29.639782	-86.03
30.069416	-86.77
30.505279	-87.82
30.947459	-88.98
31.396049	-89.89
31.851141	-90.24
32.312830	-90.00
32.781212	-89.36
33.256382	-88.59
33.738440	-87.89
34.227486	-87.27
34.723620	-86.62
35.226947	-85.73
35.737568	-84.69
36.255592	-83.84
36.781124	-83.45
37.314274	-83.61
37.855152	-84.21
38.403871	-85.09
38.960543	-86.08
39.525284	-86.87
40.098211	-87.10
40.679443	-86.82
41.269100	-86.45
41.867304	-86.28
42.474180	-86.49
43.089852	-87.23
43.714448	-88.31
44.348098	-88.94
44.990933	-88.44
45.643086	-87.21
46.304692	-85.78
46.975888	-84.42
47.656813	-83.24
48.347609	-82.47
49.048418	-82.20
49.759385	-82.40
50.480657	-83.03
51.212385	-83.57
51.954719	-83.22
52.707813	-82.46
53.471824	-82.11
54.246909	-82.16
55.033230	-82.37
55.830948	-82.39
56.640229	-82.10
57.461241	-82.04
58.294153	-82.43
59.139139	-82.70
59.996373	-82.74
60.866033	-83.12
61.748299	-84.12
62.643354	-85.92
63.551382	-88.63
64.472573	-92.17
65.407116	-94.89
66.355206	-94.80
67.317038	-94.13
68.292813	-94.50
69.282731	-95.16
70.286999	-95.33
71.305824	-96.08
72.339416	-97.27
73.387991	-98.26
74.451765	-98.93
75.530959	-98.94
76.625796	-98.94
77.736503	-99.49
78.863310	-99.87
80.006450	-99.91
81.166160	-100.17
82.342680	-101.14
83.536255	-101.66
84.747130	-99.53
85.975557	-97.49
87.221791	-97.26
88.486089	-98.21
89.768713	-98.90
91.069929	-98.07
92.390007	-96.29
93.729219	-96.32
95.087844	-98.07
96.466162	-100.60
97.864459	-102.30
99.283025	-103.82
100.722153	-105.08
102.182141	-106.10
103.663293	-106.27
105.165914	-104.57
106.690316	-104.79
108.236814	-105.33
109.805729	-105.17
111.397386	-103.25
113.012114	-101.39
114.650248	-100.70
116.312128	-102.23
117.998096	-102.75
119.708503	-100.82
121.443703	-101.24
123.204054	-100.63
124.989923	-96.94
126.801678	-96.68
128.639694	-94.89
130.504354	-95.01
132.396041	-97.63
134.315150	-100.00
136.262076	-103.68
138.237223	-104.10
140.241000	-101.91
142.273823	-100.24
144.336111	-103.12
146.428293	-107.51
148.550802	-104.57
150.704076	-106.01
152.888563	-110.41
155.104715	-105.97
157.352990	-101.77
159.633854	-104.21
161.947780	-105.16
164.295247	-103.87
166.676741	-104.26
169.092755	-104.54
171.543790	-100.10
174.030353	-98.97
176.552959	-101.67
179.112131	-102.99
181.708398	-100.56
184.342299	-96.67
187.014379	-97.05
189.725192	-100.75
192.475298	-106.72
195.265267	-107.24
198.095678	-107.81
200.967116	-106.63
203.880176	-102.85
206.835462	-104.59
209.833585	-104.66
212.875166	-104.86
215.960836	-103.69
219.091233	-100.31
222.267006	-98.53
225.488813	-97.44
228.757320	-101.11
232.073205	-97.52
235.437154	-97.57
238.849865	-97.89
242.312043	-97.09
245.824407	-97.53
249.387683	-98.22
253.002609	-99.88
256.669935	-100.90
260.390419	-103.67
264.164832	-106.83
267.993956	-107.83
271.878584	-110.80
275.819521	-110.02
279.817582	-103.46
283.873596	-102.05
287.988403	-107.10
292.162855	-104.86
296.397817	-107.87
300.694165	-104.20
305.052789	-104.04
309.474593	-106.86
313.960491	-105.85
318.511414	-102.66
323.128303	-103.50
327.812115	-103.89
332.563820	-104.47
337.384402	-106.68
342.274859	-101.22
347.236204	-101.13
352.269465	-103.18
357.375684	-102.58
362.555919	-96.54
367.811243	-103.20
373.142743	-102.73
378.551525	-108.02
384.038708	-105.74
389.605429	-104.93
395.252841	-113.37
400.982113	-112.56
406.794432	-111.56
412.691002	-109.31
418.673044	-106.29
424.741797	-105.05
430.898518	-103.90
437.144481	-102.43
443.480981	-102.14
449.909331	-103.36
456.430860	-106.31
463.046920	-107.30
469.758882	-107.24
476.568134	-105.74
483.476089	-105.27
490.484175	-105.12
497.593845	-104.32
504.806572	-103.70
512.123848	-100.86
519.547190	-100.48
527.078134	-98.22
534.718242	-100.24
542.469094	-102.52
550.332296	-104.31
558.309477	-101.34
566.402289	-100.22
574.612408	-100.29
582.941535	-106.92
591.391394	-103.69
599.963735	-97.47
608.660334	-96.07
617.482992	-99.89
626.433537	-98.18
635.513821	-97.59
644.725726	-99.81
654.071160	-99.60
663.552057	-97.39
673.170382	-101.86
682.928127	-103.14
692.827312	-105.88
702.869989	-103.39
713.058235	-103.75
723.394163	-104.58
733.879912	-103.15
744.517654	-104.10
755.309592	-108.68
766.257962	-107.34
777.365030	-106.53
788.633098	-107.86
800.064499	-104.06
811.661600	-105.50
823.426804	-106.37
835.362547	-111.76
847.471301	-110.32
859.755574	-109.59
872.217910	-111.22
884.860890	-109.88
897.687132	-107.58
910.699294	-111.76
923.900070	-113.05
937.292194	-110.38
950.878439	-109.50
964.661620	-113.73
978.644591	-112.90
992.830248	-117.85
1007.221529	-111.30
1021.821414	-111.66
1036.632928	-106.46
1051.659138	-108.45
1066.903156	-109.68
1082.368140	-108.22
1098.057291	-109.38
1113.973860	-112.93
1130.121143	-114.87
1146.502484	-116.14
1163.121276	-118.30
1179.980961	-120.63
1197.085030	-115.19
1214.437027	-115.55
1232.040544	-115.38
1249.899229	-112.22
1268.016778	-114.51
1286.396945	-117.68
1305.043536	-117.35
1323.960414	-121.18
1343.151496	-122.02
1362.620756	-122.24
1382.372227	-122.45
1402.410000	-121.39
1422.738225	-122.01
1443.361112	-122.70
1464.282931	-123.30
1485.508017	-125.63
1507.040765	-127.98
1528.885634	-125.26
1551.047150	-127.90
1573.529901	-126.05
1596.338544	-127.89
1619.477804	-125.31
1642.952471	-126.38
1666.767409	-123.68
1690.927550	-124.34
1715.437896	-123.84
1740.303526	-122.61
1765.529587	-120.55
1791.121306	-120.95
1817.083982	-122.61
1843.422992	-123.17
1870.143792	-122.98
1897.251916	-123.74
1924.752977	-121.38
1952.652672	-123.05
1980.956779	-125.93
2009.671159	-123.35
2038.801761	-120.78
2068.354617	-119.62
2098.335847	-120.68
2128.751662	-118.95
2159.608360	-122.51
2190.912333	-119.65
2222.670063	-118.79
2254.888128	-117.15
2287.573200	-115.55
2320.732050	-113.99
2354.371544	-114.21
2388.498649	-112.31
2423.120434	-113.78
2458.244069	-115.84
2493.876828	-121.16
2530.026092	-117.94
2566.699346	-119.08
2603.904187	-121.10
2641.648320	-119.59
2679.939562	-119.27
2718.785844	-120.36
2758.195211	-120.81
2798.175824	-122.52
2838.735965	-125.50
2879.884033	-126.65
2921.628551	-126.66
2963.978165	-123.79
3006.941645	-123.85
3050.527890	-125.38
3094.745927	-127.63
3139.604913	-125.36
3185.114139	-125.89
3231.283032	-127.13
3278.121151	-126.23
3325.638200	-126.97
3373.844017	-125.60
3422.748588	-124.59
3472.362041	-124.86
3522.694651	-125.79
3573.756843	-124.48
3625.559192	-125.53
3678.112427	-126.22
3731.427432	-126.36
3785.515249	-124.61
3840.387080	-125.93
3896.054290	-124.85
3952.528408	-125.77
4009.821129	-124.90
4067.944321	-125.53
4126.910020	-125.11
4186.730440	-125.30
4247.417969	-124.30
4308.985176	-125.73
4371.444813	-125.06
4434.809815	-125.24
4499.093306	-123.96
4564.308599	-124.77
4630.469202	-124.91
4697.588817	-124.73
4765.681344	-124.26
4834.760887	-125.34
4904.841752	-124.93
4975.938453	-123.94
5048.065717	-124.40
5121.238480	-124.64
5195.471897	-123.99
5270.781343	-122.97
5347.182415	-123.61
5424.690937	-124.59
5503.322961	-123.27
5583.094772	-124.18
5664.022893	-123.01
5746.124083	-123.67
5829.415347	-123.06
5913.913936	-123.71
5999.637349	-123.50
6086.603340	-122.51
6174.829922	-122.93
6264.335367	-123.51
6355.138211	-123.46
6447.257262	-123.58
6540.711597	-122.85
6635.520573	-123.16
6731.703824	-122.64
6829.281272	-122.49
6928.273125	-122.55
7028.699885	-122.53
7130.582353	-122.94
7233.941627	-123.08
7338.799116	-122.70
7445.176537	-123.73
7553.095920	-122.67
7662.579617	-122.52
7773.650302	-122.61
7886.330981	-122.08
8000.644989	-122.88
8116.616003	-122.97
8234.268041	-122.79
8353.625470	-123.05
8474.713009	-122.67
8597.555737	-122.21
8722.179097	-122.60
8848.608897	-122.82
8976.871324	-123.34
9106.992942	-123.21
9239.000700	-122.62
9372.921937	-122.38
9508.784391	-122.73
9646.616199	-122.83
9786.445908	-123.17
9928.302478	-123.54
10072.215288	-122.63
10218.214144	-123.17
10366.329284	-122.92
10516.591384	-122.79
10669.031565	-123.10
10823.681397	-123.13
10980.572911	-123.58
11139.738600	-123.06
11301.211429	-123.02
11465.024840	-123.16
11631.212760	-122.78
11799.809609	-122.95
11970.850305	-122.75
12144.370271	-123.10
12320.405445	-122.48
12498.992285	-122.11
12680.167779	-122.56
12863.969449	-122.58
13050.435363	-122.08
13239.604139	-123.09
13431.514956	-123.14
13626.207560	-123.02
13823.722274	-123.22
14024.100004	-122.78
14227.382252	-123.28
14433.611118	-122.39
14642.829314	-123.30
14855.080172	-122.54
15070.407650	-122.54
15288.856344	-122.78
15510.471498	-122.93
15735.299010	-123.62
15963.385443	-122.73
16194.778036	-123.08
16429.524714	-122.71
16667.674093	-123.12
16909.275497	-123.07
17154.378963	-122.38
17403.035256	-122.44
17655.295873	-122.57
17911.213060	-122.08
18170.839820	-122.65
18434.229924	-122.31
18701.437922	-122.10
18972.519156	-122.91
19247.529769	-122.01
19526.526718	-122.11
19809.567786	-121.80
20096.711592	-121.99
20388.017608	-121.62
20683.546166	-121.84
20983.358471	-122.06
21287.516618	-121.69
21596.083601	-122.10
21909.123326	-121.74
22226.700627	-121.44
