	Bang-BoseOn		
Frequency (Hz)	Level (dB)

11.139739	-74.07
11.301211	-73.97
11.465025	-73.89
11.631213	-73.82
11.799810	-73.78
11.970850	-73.75
12.144370	-73.76
12.320405	-73.78
12.498992	-73.83
12.680168	-73.93
12.863969	-74.04
13.050435	-74.16
13.239604	-74.31
13.431515	-74.52
13.626208	-74.69
13.823722	-74.87
14.024100	-75.04
14.227382	-75.11
14.433611	-75.08
14.642829	-74.91
14.855080	-74.61
15.070408	-74.15
15.288856	-73.65
15.510471	-73.06
15.735299	-72.52
15.963385	-71.97
16.194778	-71.46
16.429525	-71.02
16.667674	-70.58
16.909275	-70.22
17.154379	-69.89
17.403035	-69.58
17.655296	-69.31
17.911213	-69.08
18.170840	-68.87
18.434230	-68.69
18.701438	-68.54
18.972519	-68.43
19.247530	-68.34
19.526527	-68.27
19.809568	-68.22
20.096712	-68.16
20.388018	-68.06
20.683546	-67.91
20.983358	-67.71
21.287517	-67.45
21.596084	-67.13
21.909123	-66.78
22.226701	-66.40
22.548881	-66.02
22.875732	-65.66
23.207320	-65.39
23.543715	-65.23
23.884986	-65.19
24.231204	-65.24
24.582441	-65.36
24.938768	-65.49
25.300261	-65.57
25.666993	-65.62
26.039042	-65.65
26.416483	-65.68
26.799396	-65.73
27.187858	-65.79
27.581952	-65.84
27.981758	-65.83
28.387360	-65.75
28.798840	-65.63
29.216286	-65.52
29.639782	-65.45
30.069416	-65.45
30.505279	-65.54
30.947459	-65.74
31.396049	-66.03
31.851141	-66.30
32.312830	-66.37
32.781212	-66.07
33.256382	-65.37
33.738440	-64.38
34.227486	-63.15
34.723620	-61.75
35.226947	-60.19
35.737568	-58.67
36.255592	-57.48
36.781124	-56.75
37.314274	-56.48
37.855152	-56.62
38.403871	-57.14
38.960543	-58.05
39.525284	-59.24
40.098211	-60.43
40.679443	-61.32
41.269100	-61.76
41.867304	-61.81
42.474180	-61.89
43.089852	-62.43
43.714448	-63.47
44.348098	-64.68
44.990933	-65.77
45.643086	-66.79
46.304692	-67.72
46.975888	-67.76
47.656813	-66.07
48.347609	-63.28
49.048418	-60.59
49.759385	-58.69
50.480657	-57.63
51.212385	-57.38
51.954719	-58.02
52.707813	-59.00
53.471824	-59.01
54.246909	-58.33
55.033230	-57.93
55.830948	-57.69
56.640229	-57.37
57.461241	-57.05
58.294153	-56.90
59.139139	-57.06
59.996373	-57.15
60.866033	-56.47
61.748299	-55.56
62.643354	-55.00
63.551382	-54.70
64.472573	-53.34
65.407116	-50.85
66.355206	-49.14
67.317038	-48.70
68.292813	-49.80
69.282731	-52.07
70.286999	-54.00
71.305824	-54.31
72.339416	-54.51
73.387991	-54.78
74.451765	-52.86
75.530959	-50.11
76.625796	-48.61
77.736503	-48.65
78.863310	-49.73
80.006450	-49.75
81.166160	-49.23
82.342680	-49.14
83.536255	-49.12
84.747130	-49.74
85.975557	-49.44
87.221791	-48.43
88.486089	-47.00
89.768713	-46.03
91.069929	-46.42
92.390007	-46.84
93.729219	-45.96
95.087844	-46.65
96.466162	-49.25
97.864459	-51.24
99.283025	-51.75
100.722153	-53.60
102.182141	-56.77
103.663293	-57.83
105.165914	-57.64
106.690316	-57.06
108.236814	-57.77
109.805729	-58.00
111.397386	-58.07
113.012114	-61.23
114.650248	-64.47
116.312128	-62.94
117.998096	-59.02
119.708503	-54.18
121.443703	-52.19
123.204054	-50.44
124.989923	-46.48
126.801678	-46.23
128.639694	-48.22
130.504354	-47.17
132.396041	-47.55
134.315150	-50.61
136.262076	-51.08
138.237223	-50.37
140.241000	-48.56
142.273823	-49.12
144.336111	-48.19
146.428293	-48.37
148.550802	-47.62
150.704076	-47.40
152.888563	-49.64
155.104715	-52.39
157.352990	-54.49
159.633854	-53.50
161.947780	-54.55
164.295247	-58.19
166.676741	-53.08
169.092755	-52.31
171.543790	-53.60
174.030353	-52.06
176.552959	-54.63
179.112131	-58.46
181.708398	-60.38
184.342299	-61.85
187.014379	-59.75
189.725192	-62.21
192.475298	-69.24
195.265267	-66.22
198.095678	-60.36
200.967116	-59.81
203.880176	-62.34
206.835462	-61.69
209.833585	-59.05
212.875166	-56.35
215.960836	-59.74
219.091233	-55.65
222.267006	-56.43
