	Heli-BoseOn		
Frequency (Hz)	Level (dB)

11.139739	-63.17
11.301211	-62.77
11.465025	-62.45
11.631213	-62.20
11.799810	-62.03
11.970850	-61.96
12.144370	-61.97
12.320405	-62.05
12.498992	-62.21
12.680168	-62.48
12.863969	-62.79
13.050435	-63.14
13.239604	-63.54
13.431515	-64.04
13.626208	-64.49
13.823722	-64.97
14.024100	-65.54
14.227382	-66.02
14.433611	-66.56
14.642829	-67.05
14.855080	-67.44
15.070408	-67.74
15.288856	-67.86
15.510471	-67.90
15.735299	-67.86
15.963385	-67.78
16.194778	-67.62
16.429525	-67.37
16.667674	-66.98
16.909275	-66.61
17.154379	-66.30
17.403035	-66.06
17.655296	-65.71
17.911213	-65.05
18.170840	-64.08
18.434230	-63.12
18.701438	-62.57
18.972519	-62.23
19.247530	-61.20
19.526527	-58.66
19.809568	-55.39
20.096712	-52.33
20.388018	-49.65
20.683546	-47.13
20.983358	-44.53
21.287517	-41.77
21.596084	-39.01
21.909123	-36.47
22.226701	-34.28
22.548881	-32.48
22.875732	-31.05
23.207320	-30.08
23.543715	-29.48
23.884986	-29.20
24.231204	-29.22
24.582441	-29.49
24.938768	-30.08
25.300261	-30.92
25.666993	-32.26
26.039042	-34.04
26.416483	-36.65
26.799396	-39.99
27.187858	-44.37
27.581952	-49.36
27.981758	-52.74
28.387360	-54.61
28.798840	-56.67
29.216286	-58.42
29.639782	-58.75
30.069416	-58.79
30.505279	-59.02
30.947459	-59.06
31.396049	-58.91
31.851141	-58.66
32.312830	-58.17
32.781212	-57.38
33.256382	-56.43
33.738440	-55.38
34.227486	-54.30
34.723620	-53.41
35.226947	-52.82
35.737568	-52.50
36.255592	-52.25
36.781124	-51.78
37.314274	-50.38
37.855152	-47.59
38.403871	-44.49
38.960543	-42.10
39.525284	-40.80
40.098211	-40.51
40.679443	-41.05
41.269100	-42.33
41.867304	-44.52
42.474180	-48.07
43.089852	-53.42
43.714448	-58.86
44.348098	-59.96
44.990933	-59.52
45.643086	-58.92
46.304692	-58.48
46.975888	-58.42
47.656813	-58.71
48.347609	-59.13
49.048418	-59.28
49.759385	-58.99
50.480657	-58.46
51.212385	-58.25
51.954719	-58.89
52.707813	-59.93
53.471824	-59.92
54.246909	-58.96
55.033230	-57.96
55.830948	-57.19
56.640229	-54.42
57.461241	-49.40
58.294153	-44.99
59.139139	-41.67
59.996373	-40.15
60.866033	-40.96
61.748299	-43.99
62.643354	-48.73
63.551382	-55.60
64.472573	-61.47
65.407116	-62.13
66.355206	-63.21
67.317038	-64.50
68.292813	-65.20
69.282731	-64.56
70.286999	-62.57
71.305824	-60.31
72.339416	-59.26
73.387991	-59.69
74.451765	-61.57
75.530959	-64.06
76.625796	-64.88
77.736503	-64.42
78.863310	-64.49
80.006450	-62.81
81.166160	-60.83
82.342680	-60.34
83.536255	-61.11
84.747130	-61.32
85.975557	-62.82
87.221791	-65.40
88.486089	-65.38
89.768713	-63.91
91.069929	-63.55
92.390007	-64.81
93.729219	-66.18
95.087844	-66.16
96.466162	-61.29
97.864459	-51.83
99.283025	-45.81
100.722153	-45.75
102.182141	-50.64
103.663293	-63.11
105.165914	-70.43
106.690316	-64.76
108.236814	-62.34
109.805729	-65.24
111.397386	-70.65
113.012114	-72.40
114.650248	-69.57
116.312128	-68.44
117.998096	-71.82
119.708503	-75.62
121.443703	-70.40
123.204054	-66.01
124.989923	-65.98
126.801678	-68.31
128.639694	-68.57
130.504354	-69.35
132.396041	-68.60
134.315150	-67.54
136.262076	-68.96
138.237223	-71.60
140.241000	-71.71
