	Silence-BoseOn		
Frequency (Hz)	Level (dB)

11.139739	-87.80
11.301211	-87.58
11.465025	-87.36
11.631213	-87.12
11.799810	-86.85
11.970850	-86.59
12.144370	-86.31
12.320405	-86.04
12.498992	-85.75
12.680168	-85.44
12.863969	-85.14
13.050435	-84.86
13.239604	-84.57
13.431515	-84.27
13.626208	-84.01
13.823722	-83.77
14.024100	-83.54
14.227382	-83.38
14.433611	-83.27
14.642829	-83.22
14.855080	-83.24
15.070408	-83.34
15.288856	-83.51
15.510471	-83.79
15.735299	-84.10
15.963385	-84.51
16.194778	-84.96
16.429525	-85.42
16.667674	-85.88
16.909275	-86.12
17.154379	-86.06
17.403035	-85.50
17.655296	-84.56
17.911213	-83.44
18.170840	-82.28
18.434230	-81.20
18.701438	-80.36
18.972519	-79.71
19.247530	-79.27
19.526527	-79.00
19.809568	-78.88
20.096712	-78.88
20.388018	-78.97
20.683546	-79.14
20.983358	-79.36
21.287517	-79.61
21.596084	-79.87
21.909123	-80.12
22.226701	-80.30
22.548881	-80.38
22.875732	-80.36
23.207320	-80.23
23.543715	-80.00
23.884986	-79.70
24.231204	-79.43
24.582441	-79.26
24.938768	-79.31
25.300261	-79.62
25.666993	-80.30
26.039042	-81.20
26.416483	-82.31
26.799396	-83.30
27.187858	-84.00
27.581952	-84.36
27.981758	-84.46
28.387360	-84.41
28.798840	-84.27
29.216286	-84.04
29.639782	-83.78
30.069416	-83.47
30.505279	-83.13
30.947459	-82.74
31.396049	-82.33
31.851141	-82.00
32.312830	-81.81
32.781212	-81.83
33.256382	-82.09
33.738440	-82.63
34.227486	-83.57
34.723620	-84.87
35.226947	-86.39
35.737568	-87.62
36.255592	-88.27
36.781124	-88.73
37.314274	-89.45
37.855152	-90.40
38.403871	-91.17
38.960543	-91.22
39.525284	-90.38
40.098211	-89.05
40.679443	-87.78
41.269100	-86.91
41.867304	-86.49
42.474180	-86.63
43.089852	-87.45
43.714448	-88.64
44.348098	-88.96
44.990933	-87.77
45.643086	-86.13
46.304692	-84.72
46.975888	-83.84
47.656813	-83.13
48.347609	-81.49
49.048418	-79.12
49.759385	-77.18
50.480657	-75.99
51.212385	-75.62
51.954719	-76.23
52.707813	-77.72
53.471824	-79.54
54.246909	-81.42
55.033230	-83.72
55.830948	-86.56
56.640229	-89.67
57.461241	-92.26
58.294153	-93.76
59.139139	-94.08
59.996373	-94.03
60.866033	-94.20
61.748299	-94.97
62.643354	-96.49
63.551382	-97.80
64.472573	-98.38
65.407116	-99.81
66.355206	-101.79
67.317038	-102.37
68.292813	-101.95
69.282731	-101.78
70.286999	-101.94
71.305824	-101.29
72.339416	-99.57
73.387991	-98.71
74.451765	-100.11
75.530959	-102.08
76.625796	-100.07
77.736503	-97.43
78.863310	-96.94
80.006450	-98.07
81.166160	-100.39
82.342680	-103.35
83.536255	-106.48
84.747130	-108.43
85.975557	-108.09
87.221791	-107.83
88.486089	-107.28
89.768713	-106.76
91.069929	-107.70
92.390007	-108.09
93.729219	-108.07
95.087844	-108.37
96.466162	-108.56
97.864459	-108.06
99.283025	-107.09
100.722153	-106.69
102.182141	-108.17
103.663293	-110.96
105.165914	-110.93
106.690316	-108.58
108.236814	-107.20
109.805729	-107.23
111.397386	-107.25
113.012114	-108.64
114.650248	-110.30
116.312128	-108.33
117.998096	-105.27
119.708503	-102.76
121.443703	-103.42
123.204054	-105.67
124.989923	-106.82
126.801678	-108.87
128.639694	-108.81
130.504354	-110.25
132.396041	-113.37
134.315150	-111.56
136.262076	-112.48
138.237223	-114.16
140.241000	-113.89
142.273823	-116.10
144.336111	-119.93
146.428293	-119.76
148.550802	-117.35
150.704076	-117.77
152.888563	-120.84
155.104715	-122.08
157.352990	-125.21
159.633854	-123.20
161.947780	-124.28
164.295247	-120.50
166.676741	-117.23
169.092755	-118.32
171.543790	-118.08
174.030353	-116.99
176.552959	-116.55
179.112131	-115.17
181.708398	-114.45
184.342299	-113.54
187.014379	-113.92
189.725192	-116.58
192.475298	-121.09
195.265267	-121.88
198.095678	-121.70
200.967116	-122.05
203.880176	-124.54
206.835462	-120.36
209.833585	-121.50
212.875166	-122.50
215.960836	-122.91
219.091233	-123.23
222.267006	-119.97
225.488813	-120.55
228.757320	-123.99
232.073205	-126.38
235.437154	-124.61
238.849865	-120.58
242.312043	-120.23
245.824407	-122.52
249.387683	-125.80
253.002609	-124.24
256.669935	-124.83
260.390419	-123.73
264.164832	-125.86
267.993956	-125.31
271.878584	-126.17
275.819521	-128.24
279.817582	-121.61
283.873596	-124.18
287.988403	-122.65
292.162855	-123.57
296.397817	-126.31
300.694165	-122.47
305.052789	-119.91
309.474593	-122.52
313.960491	-120.87
318.511414	-118.38
323.128303	-117.93
327.812115	-118.70
332.563820	-118.94
337.384402	-120.73
342.274859	-117.53
