	Bang-Janick		
Frequency (Hz)	Level (dB)

11.139739	-75.77
11.301211	-75.62
11.465025	-75.39
11.631213	-75.07
11.799810	-74.60
11.970850	-74.05
12.144370	-73.45
12.320405	-72.78
12.498992	-72.08
12.680168	-71.25
12.863969	-70.45
13.050435	-69.68
13.239604	-68.90
13.431515	-68.05
13.626208	-67.36
13.823722	-66.72
14.024100	-66.10
14.227382	-65.65
14.433611	-65.27
14.642829	-65.03
14.855080	-64.91
15.070408	-64.92
15.288856	-65.04
15.510471	-65.30
15.735299	-65.63
15.963385	-66.07
16.194778	-66.58
16.429525	-67.12
16.667674	-67.77
16.909275	-68.38
17.154379	-69.01
17.403035	-69.66
17.655296	-70.16
17.911213	-70.53
18.170840	-70.72
18.434230	-70.72
18.701438	-70.57
18.972519	-70.36
19.247530	-70.14
19.526527	-69.94
19.809568	-69.77
20.096712	-69.64
20.388018	-69.55
20.683546	-69.51
20.983358	-69.51
21.287517	-69.57
21.596084	-69.69
21.909123	-69.85
22.226701	-70.07
22.548881	-70.32
22.875732	-70.60
23.207320	-70.83
23.543715	-70.96
23.884986	-70.97
24.231204	-70.85
24.582441	-70.64
24.938768	-70.38
25.300261	-70.14
25.666993	-69.92
26.039042	-69.77
26.416483	-69.70
26.799396	-69.73
27.187858	-69.80
27.581952	-69.79
27.981758	-69.57
28.387360	-69.16
28.798840	-68.72
29.216286	-68.43
29.639782	-68.42
30.069416	-68.70
30.505279	-69.13
30.947459	-69.49
31.396049	-69.55
31.851141	-69.14
32.312830	-68.24
32.781212	-67.06
33.256382	-65.82
33.738440	-64.67
34.227486	-63.59
34.723620	-62.55
35.226947	-61.44
35.737568	-60.33
36.255592	-59.38
36.781124	-58.71
37.314274	-58.33
37.855152	-58.29
38.403871	-58.61
38.960543	-59.31
39.525284	-60.17
40.098211	-60.78
40.679443	-60.94
41.269100	-60.77
41.867304	-60.51
42.474180	-60.39
43.089852	-60.58
43.714448	-61.02
44.348098	-61.48
44.990933	-61.82
45.643086	-62.07
46.304692	-62.31
46.975888	-62.62
47.656813	-62.83
48.347609	-62.07
49.048418	-60.19
49.759385	-58.21
50.480657	-56.69
51.212385	-55.91
51.954719	-56.04
52.707813	-56.63
53.471824	-56.86
54.246909	-56.82
55.033230	-57.01
55.830948	-56.84
56.640229	-55.85
57.461241	-54.65
58.294153	-53.68
59.139139	-53.06
59.996373	-52.70
60.866033	-52.46
61.748299	-52.43
62.643354	-52.63
63.551382	-52.47
64.472573	-50.32
65.407116	-47.19
66.355206	-45.21
67.317038	-44.61
68.292813	-45.47
69.282731	-47.46
70.286999	-49.46
71.305824	-50.28
72.339416	-50.45
73.387991	-49.65
74.451765	-46.86
75.530959	-43.99
76.625796	-42.58
77.736503	-42.82
78.863310	-44.24
80.006450	-44.19
81.166160	-43.02
82.342680	-42.42
83.536255	-42.53
84.747130	-43.62
85.975557	-44.02
87.221791	-42.13
88.486089	-39.31
89.768713	-37.71
91.069929	-37.67
92.390007	-37.73
93.729219	-37.33
95.087844	-38.35
96.466162	-40.72
97.864459	-42.20
99.283025	-42.85
100.722153	-45.02
102.182141	-48.78
103.663293	-50.11
105.165914	-50.01
106.690316	-49.97
108.236814	-49.95
109.805729	-49.39
111.397386	-49.86
113.012114	-52.82
114.650248	-55.30
116.312128	-51.47
117.998096	-47.04
119.708503	-42.77
121.443703	-40.97
123.204054	-38.39
124.989923	-33.93
126.801678	-32.80
128.639694	-33.29
130.504354	-32.27
132.396041	-32.80
134.315150	-35.52
136.262076	-37.31
138.237223	-36.44
140.241000	-33.53
142.273823	-33.37
144.336111	-32.73
146.428293	-32.43
148.550802	-31.17
150.704076	-31.13
152.888563	-33.41
155.104715	-37.33
157.352990	-40.15
159.633854	-38.41
161.947780	-39.97
164.295247	-43.86
166.676741	-37.84
169.092755	-36.78
171.543790	-38.15
174.030353	-36.70
176.552959	-40.34
179.112131	-46.37
181.708398	-52.03
184.342299	-55.61
187.014379	-57.86
189.725192	-58.68
192.475298	-57.27
195.265267	-50.63
198.095678	-46.73
200.967116	-48.13
203.880176	-50.77
206.835462	-49.03
209.833585	-46.64
212.875166	-45.60
215.960836	-49.66
219.091233	-43.17
222.267006	-43.66
225.488813	-48.40
228.757320	-46.82
232.073205	-48.80
235.437154	-50.74
238.849865	-44.91
242.312043	-45.23
245.824407	-47.74
249.387683	-52.86
253.002609	-56.99
256.669935	-56.39
260.390419	-54.42
264.164832	-55.35
267.993956	-62.70
271.878584	-64.75
275.819521	-61.35
279.817582	-58.56
283.873596	-55.65
287.988403	-53.19
292.162855	-52.70
296.397817	-53.15
300.694165	-50.82
305.052789	-47.33
309.474593	-49.08
313.960491	-51.10
318.511414	-47.21
323.128303	-48.33
327.812115	-47.02
332.563820	-50.30
337.384402	-54.86
342.274859	-49.03
347.236204	-50.95
352.269465	-51.94
357.375684	-48.50
362.555919	-46.30
367.811243	-48.48
373.142743	-47.94
378.551525	-51.05
384.038708	-48.51
389.605429	-43.66
395.252841	-50.08
400.982113	-51.19
406.794432	-52.43
