	Heli-Janick		
Frequency (Hz)	Level (dB)

11.139739	-69.61
11.301211	-69.21
11.465025	-68.81
11.631213	-68.42
11.799810	-68.01
11.970850	-67.63
12.144370	-67.29
12.320405	-66.97
12.498992	-66.69
12.680168	-66.43
12.863969	-66.24
13.050435	-66.12
13.239604	-66.06
13.431515	-66.07
13.626208	-66.14
13.823722	-66.26
14.024100	-66.44
14.227382	-66.58
14.433611	-66.71
14.642829	-66.73
14.855080	-66.62
15.070408	-66.37
15.288856	-66.02
15.510471	-65.59
15.735299	-65.16
15.963385	-64.73
16.194778	-64.33
16.429525	-63.96
16.667674	-63.57
16.909275	-63.26
17.154379	-62.99
17.403035	-62.77
17.655296	-62.58
17.911213	-62.35
18.170840	-62.05
18.434230	-61.77
18.701438	-61.64
18.972519	-61.64
19.247530	-61.36
19.526527	-60.09
19.809568	-57.83
20.096712	-55.27
20.388018	-52.83
20.683546	-50.41
20.983358	-47.81
21.287517	-44.99
21.596084	-42.18
21.909123	-39.59
22.226701	-37.36
22.548881	-35.53
22.875732	-34.10
23.207320	-33.11
23.543715	-32.49
23.884986	-32.19
24.231204	-32.19
24.582441	-32.45
24.938768	-33.01
25.300261	-33.84
25.666993	-35.16
26.039042	-36.92
26.416483	-39.52
26.799396	-42.83
27.187858	-47.11
27.581952	-51.79
27.981758	-54.65
28.387360	-55.86
28.798840	-56.66
29.216286	-56.66
29.639782	-55.91
30.069416	-55.15
30.505279	-54.62
30.947459	-54.35
31.396049	-54.35
31.851141	-54.57
32.312830	-54.82
32.781212	-54.92
33.256382	-54.81
33.738440	-54.46
34.227486	-53.93
34.723620	-53.45
35.226947	-53.25
35.737568	-53.37
36.255592	-53.49
36.781124	-53.04
37.314274	-51.17
37.855152	-47.98
38.403871	-44.75
38.960543	-42.34
39.525284	-41.04
40.098211	-40.76
40.679443	-41.31
41.269100	-42.60
41.867304	-44.78
42.474180	-48.25
43.089852	-53.16
43.714448	-57.04
44.348098	-57.55
44.990933	-57.51
45.643086	-57.33
46.304692	-57.04
46.975888	-56.93
