	Silence-Janick		
Frequency (Hz)	Level (dB)

11.139739	-93.62
11.301211	-93.27
11.465025	-92.91
11.631213	-92.57
11.799810	-92.20
11.970850	-91.87
12.144370	-91.55
12.320405	-91.24
12.498992	-90.95
12.680168	-90.64
12.863969	-90.36
13.050435	-90.10
13.239604	-89.84
13.431515	-89.55
13.626208	-89.29
13.823722	-89.01
14.024100	-88.68
14.227382	-88.37
14.433611	-88.00
14.642829	-87.60
14.855080	-87.15
15.070408	-86.55
15.288856	-85.82
15.510471	-84.79
15.735299	-83.64
15.963385	-82.31
16.194778	-80.95
16.429525	-79.73
16.667674	-78.46
16.909275	-77.48
17.154379	-76.63
17.403035	-75.89
17.655296	-75.36
17.911213	-74.96
18.170840	-74.68
18.434230	-74.54
18.701438	-74.53
18.972519	-74.68
19.247530	-74.99
19.526527	-75.52
19.809568	-76.27
20.096712	-77.26
20.388018	-78.45
20.683546	-79.71
20.983358	-80.84
21.287517	-81.62
21.596084	-81.99
21.909123	-82.13
22.226701	-82.25
22.548881	-82.48
22.875732	-82.85
23.207320	-83.28
23.543715	-83.74
23.884986	-84.19
24.231204	-84.61
24.582441	-85.01
24.938768	-85.47
25.300261	-85.95
25.666993	-86.48
26.039042	-86.84
26.416483	-86.84
26.799396	-86.37
27.187858	-85.57
27.581952	-84.64
27.981758	-83.78
28.387360	-82.99
28.798840	-82.23
29.216286	-81.42
29.639782	-80.58
30.069416	-79.72
30.505279	-78.86
30.947459	-78.01
31.396049	-77.23
31.851141	-76.62
32.312830	-76.24
32.781212	-76.14
33.256382	-76.32
33.738440	-76.78
34.227486	-77.57
34.723620	-78.47
35.226947	-78.96
35.737568	-78.57
36.255592	-77.78
36.781124	-77.29
37.314274	-77.37
37.855152	-78.01
38.403871	-79.17
38.960543	-80.93
39.525284	-83.19
40.098211	-84.88
40.679443	-84.30
41.269100	-82.21
41.867304	-80.07
42.474180	-78.33
43.089852	-76.99
43.714448	-75.96
44.348098	-75.16
44.990933	-74.61
45.643086	-74.46
46.304692	-74.75
46.975888	-75.44
47.656813	-76.52
48.347609	-77.83
49.048418	-79.11
49.759385	-80.28
50.480657	-81.66
51.212385	-83.27
51.954719	-84.52
52.707813	-85.17
53.471824	-85.73
54.246909	-86.11
55.033230	-85.90
55.830948	-85.57
56.640229	-85.42
57.461241	-84.75
58.294153	-83.89
59.139139	-84.29
59.996373	-86.28
60.866033	-88.68
61.748299	-90.05
62.643354	-90.49
63.551382	-91.14
64.472573	-92.18
65.407116	-92.15
66.355206	-91.24
67.317038	-90.25
68.292813	-89.57
69.282731	-90.16
70.286999	-92.66
71.305824	-95.46
72.339416	-96.54
73.387991	-95.57
74.451765	-93.67
75.530959	-93.06
76.625796	-93.89
77.736503	-95.59
78.863310	-96.09
80.006450	-94.49
81.166160	-93.93
82.342680	-95.21
83.536255	-96.82
84.747130	-96.72
85.975557	-95.06
87.221791	-93.66
88.486089	-93.65
89.768713	-94.78
91.069929	-95.20
92.390007	-94.59
93.729219	-94.33
95.087844	-95.02
96.466162	-96.59
97.864459	-97.09
99.283025	-96.94
100.722153	-97.67
102.182141	-98.68
103.663293	-98.44
105.165914	-100.01
106.690316	-102.59
108.236814	-97.78
109.805729	-93.21
111.397386	-92.94
113.012114	-96.19
114.650248	-98.12
116.312128	-96.12
117.998096	-93.76
119.708503	-94.94
121.443703	-95.95
123.204054	-95.19
124.989923	-93.52
126.801678	-92.73
128.639694	-94.09
130.504354	-94.04
132.396041	-96.69
134.315150	-99.99
136.262076	-99.55
138.237223	-97.77
140.241000	-98.82
142.273823	-101.83
144.336111	-102.89
146.428293	-102.66
148.550802	-101.91
150.704076	-101.50
152.888563	-102.29
155.104715	-103.24
157.352990	-105.97
159.633854	-106.07
161.947780	-104.06
164.295247	-100.11
166.676741	-99.50
169.092755	-100.82
171.543790	-102.56
174.030353	-103.49
176.552959	-106.58
179.112131	-106.27
181.708398	-107.28
184.342299	-102.88
187.014379	-103.26
189.725192	-109.78
192.475298	-110.72
195.265267	-109.36
198.095678	-108.69
200.967116	-107.62
203.880176	-111.39
206.835462	-108.95
209.833585	-103.60
212.875166	-108.43
215.960836	-110.82
219.091233	-113.46
222.267006	-110.36
225.488813	-108.74
228.757320	-108.38
232.073205	-106.92
235.437154	-108.25
238.849865	-106.88
242.312043	-107.46
245.824407	-109.40
249.387683	-110.83
253.002609	-110.43
256.669935	-107.60
260.390419	-107.33
264.164832	-109.32
267.993956	-112.98
271.878584	-112.51
275.819521	-112.84
279.817582	-114.49
283.873596	-118.12
287.988403	-117.68
292.162855	-114.70
296.397817	-116.82
300.694165	-116.39
305.052789	-117.65
309.474593	-118.62
313.960491	-115.01
318.511414	-114.58
323.128303	-114.68
327.812115	-112.15
332.563820	-114.76
337.384402	-118.84
342.274859	-113.29
347.236204	-115.41
352.269465	-111.78
357.375684	-111.73
362.555919	-116.43
367.811243	-113.00
373.142743	-113.19
378.551525	-115.15
384.038708	-113.38
389.605429	-111.72
395.252841	-116.15
400.982113	-117.82
406.794432	-115.94
412.691002	-117.64
418.673044	-114.77
424.741797	-120.72
430.898518	-116.80
437.144481	-115.38
443.480981	-109.94
449.909331	-112.16
456.430860	-112.47
463.046920	-112.56
469.758882	-113.67
476.568134	-113.09
483.476089	-114.50
490.484175	-115.61
497.593845	-115.80
504.806572	-118.80
512.123848	-120.58
519.547190	-120.25
527.078134	-117.03
534.718242	-115.76
542.469094	-117.64
550.332296	-117.48
558.309477	-117.45
566.402289	-117.63
574.612408	-116.26
582.941535	-125.00
591.391394	-118.11
599.963735	-118.56
608.660334	-115.32
617.482992	-118.83
626.433537	-122.30
635.513821	-118.30
644.725726	-117.71
654.071160	-119.61
663.552057	-120.69
673.170382	-120.10
682.928127	-117.27
692.827312	-121.05
702.869989	-118.68
713.058235	-121.02
723.394163	-123.21
733.879912	-121.18
744.517654	-123.24
755.309592	-125.20
766.257962	-125.95
777.365030	-121.73
788.633098	-122.95
800.064499	-118.74
811.661600	-119.19
823.426804	-118.71
835.362547	-121.24
847.471301	-120.74
859.755574	-120.03
872.217910	-120.55
884.860890	-121.17
897.687132	-123.41
910.699294	-122.04
923.900070	-122.55
937.292194	-121.11
950.878439	-118.49
964.661620	-121.63
978.644591	-121.73
992.830248	-122.51
1007.221529	-120.58
1021.821414	-118.22
1036.632928	-113.66
1051.659138	-115.58
1066.903156	-113.74
1082.368140	-112.74
1098.057291	-113.36
1113.973860	-114.75
1130.121143	-116.81
1146.502484	-118.96
1163.121276	-121.11
1179.980961	-119.77
1197.085030	-115.77
1214.437027	-114.99
1232.040544	-114.34
1249.899229	-112.54
1268.016778	-114.33
1286.396945	-114.49
1305.043536	-116.03
1323.960414	-118.31
1343.151496	-118.51
1362.620756	-119.69
1382.372227	-123.02
1402.410000	-125.38
1422.738225	-125.00
1443.361112	-127.18
1464.282931	-129.72
1485.508017	-126.89
1507.040765	-125.56
1528.885634	-124.04
1551.047150	-123.94
1573.529901	-124.75
1596.338544	-125.60
1619.477804	-122.65
1642.952471	-126.27
1666.767409	-125.17
1690.927550	-126.30
1715.437896	-126.56
1740.303526	-128.76
1765.529587	-126.72
1791.121306	-128.33
1817.083982	-127.21
1843.422992	-127.65
1870.143792	-129.23
1897.251916	-130.10
1924.752977	-126.70
1952.652672	-129.02
1980.956779	-127.62
2009.671159	-127.54
2038.801761	-127.72
2068.354617	-127.54
2098.335847	-129.37
2128.751662	-127.55
2159.608360	-128.26
2190.912333	-129.78
2222.670063	-126.64
2254.888128	-128.33
2287.573200	-127.04
2320.732050	-127.34
2354.371544	-127.17
2388.498649	-126.41
2423.120434	-126.79
2458.244069	-126.52
2493.876828	-126.85
2530.026092	-126.83
2566.699346	-126.04
2603.904187	-126.92
2641.648320	-126.46
2679.939562	-127.35
2718.785844	-126.11
2758.195211	-127.42
2798.175824	-126.20
2838.735965	-126.54
2879.884033	-125.89
2921.628551	-127.69
2963.978165	-125.01
3006.941645	-125.70
3050.527890	-126.47
3094.745927	-126.45
3139.604913	-126.20
3185.114139	-125.45
3231.283032	-126.56
3278.121151	-124.45
3325.638200	-127.24
3373.844017	-126.11
3422.748588	-125.68
3472.362041	-125.73
3522.694651	-124.82
3573.756843	-125.84
3625.559192	-125.83
3678.112427	-125.26
3731.427432	-125.67
3785.515249	-124.06
3840.387080	-125.77
3896.054290	-126.65
3952.528408	-126.41
4009.821129	-124.92
4067.944321	-124.86
4126.910020	-125.08
4186.730440	-124.44
4247.417969	-123.43
4308.985176	-125.87
4371.444813	-124.89
4434.809815	-126.09
4499.093306	-124.70
4564.308599	-125.06
4630.469202	-124.89
4697.588817	-124.97
4765.681344	-124.95
4834.760887	-124.58
4904.841752	-124.73
4975.938453	-124.41
5048.065717	-123.68
5121.238480	-124.11
5195.471897	-125.38
5270.781343	-124.10
5347.182415	-123.54
5424.690937	-123.53
5503.322961	-123.26
5583.094772	-123.35
5664.022893	-123.67
5746.124083	-124.58
5829.415347	-123.43
5913.913936	-122.83
5999.637349	-123.66
6086.603340	-123.55
6174.829922	-123.53
6264.335367	-123.36
6355.138211	-123.44
6447.257262	-122.21
6540.711597	-122.87
6635.520573	-122.78
6731.703824	-122.88
6829.281272	-122.98
6928.273125	-122.71
7028.699885	-122.57
7130.582353	-122.91
7233.941627	-122.37
7338.799116	-122.86
7445.176537	-123.36
7553.095920	-122.79
7662.579617	-122.46
7773.650302	-122.41
7886.330981	-122.86
8000.644989	-122.29
8116.616003	-123.84
8234.268041	-122.76
8353.625470	-123.00
8474.713009	-122.30
8597.555737	-123.29
8722.179097	-122.57
8848.608897	-122.37
8976.871324	-122.65
9106.992942	-122.71
9239.000700	-122.69
9372.921937	-122.66
9508.784391	-122.90
9646.616199	-122.93
9786.445908	-123.29
9928.302478	-123.06
10072.215288	-122.75
10218.214144	-123.27
10366.329284	-123.04
10516.591384	-123.23
10669.031565	-123.19
10823.681397	-123.35
10980.572911	-123.51
11139.738600	-123.46
11301.211429	-123.66
11465.024840	-123.48
11631.212760	-123.49
11799.809609	-123.04
11970.850305	-122.96
12144.370271	-123.38
12320.405445	-122.66
12498.992285	-123.14
12680.167779	-123.70
12863.969449	-123.21
13050.435363	-123.05
13239.604139	-123.13
13431.514956	-123.41
13626.207560	-122.66
13823.722274	-122.96
14024.100004	-122.33
14227.382252	-123.01
14433.611118	-123.00
14642.829314	-122.71
14855.080172	-123.49
15070.407650	-123.04
15288.856344	-122.32
15510.471498	-122.76
15735.299010	-122.63
15963.385443	-123.12
16194.778036	-123.18
16429.524714	-122.77
16667.674093	-122.62
16909.275497	-122.87
17154.378963	-122.83
17403.035256	-122.75
17655.295873	-122.63
17911.213060	-122.14
18170.839820	-122.52
18434.229924	-122.85
18701.437922	-122.46
18972.519156	-122.59
19247.529769	-122.21
19526.526718	-121.70
19809.567786	-122.23
20096.711592	-122.12
20388.017608	-122.06
20683.546166	-122.06
20983.358471	-122.20
21287.516618	-121.46
21596.083601	-121.61
21909.123326	-121.55
22226.700627	-121.91
