	Bang-No		
Frequency (Hz)	Level (dB)

11.139739	-77.72
11.301211	-77.75
11.465025	-77.80
11.631213	-77.88
11.799810	-78.01
11.970850	-78.17
12.144370	-78.36
12.320405	-78.59
12.498992	-78.84
12.680168	-79.13
12.863969	-79.37
13.050435	-79.55
13.239604	-79.64
13.431515	-79.61
13.626208	-79.45
13.823722	-79.18
14.024100	-78.76
14.227382	-78.35
14.433611	-77.86
14.642829	-77.37
14.855080	-76.90
15.070408	-76.41
15.288856	-75.98
15.510471	-75.55
15.735299	-75.19
15.963385	-74.85
16.194778	-74.57
16.429525	-74.34
16.667674	-74.13
16.909275	-73.97
17.154379	-73.83
17.403035	-73.70
17.655296	-73.58
17.911213	-73.46
18.170840	-73.33
18.434230	-73.18
18.701438	-72.99
18.972519	-72.76
19.247530	-72.48
19.526527	-72.17
19.809568	-71.85
20.096712	-71.57
20.388018	-71.36
20.683546	-71.24
20.983358	-71.21
21.287517	-71.25
21.596084	-71.31
21.909123	-71.34
22.226701	-71.30
22.548881	-71.18
22.875732	-71.00
23.207320	-70.81
23.543715	-70.67
23.884986	-70.58
24.231204	-70.55
24.582441	-70.57
24.938768	-70.63
25.300261	-70.70
25.666993	-70.77
26.039042	-70.77
26.416483	-70.66
26.799396	-70.40
27.187858	-69.99
27.581952	-69.45
27.981758	-68.84
28.387360	-68.20
28.798840	-67.59
29.216286	-67.07
29.639782	-66.69
30.069416	-66.44
30.505279	-66.33
30.947459	-66.32
31.396049	-66.39
31.851141	-66.38
32.312830	-66.11
32.781212	-65.48
33.256382	-64.56
33.738440	-63.49
34.227486	-62.33
34.723620	-61.13
35.226947	-59.87
35.737568	-58.65
36.255592	-57.65
36.781124	-56.99
37.314274	-56.69
37.855152	-56.79
38.403871	-57.35
38.960543	-58.49
39.525284	-60.09
40.098211	-61.66
40.679443	-62.51
41.269100	-62.35
41.867304	-61.65
42.474180	-61.12
43.089852	-61.19
43.714448	-61.67
44.348098	-62.05
