	Heli-No		
Frequency (Hz)	Level (dB)

11.139739	-64.72
11.301211	-64.43
11.465025	-64.20
11.631213	-64.02
11.799810	-63.92
11.970850	-63.89
12.144370	-63.93
12.320405	-64.04
12.498992	-64.22
12.680168	-64.50
12.863969	-64.82
13.050435	-65.16
13.239604	-65.56
13.431515	-66.04
13.626208	-66.46
13.823722	-66.90
14.024100	-67.40
14.227382	-67.80
14.433611	-68.20
14.642829	-68.51
14.855080	-68.70
15.070408	-68.75
15.288856	-68.64
15.510471	-68.42
15.735299	-68.13
15.963385	-67.79
16.194778	-67.39
16.429525	-66.94
16.667674	-66.35
16.909275	-65.77
17.154379	-65.15
17.403035	-64.44
17.655296	-63.68
17.911213	-62.80
18.170840	-61.84
18.434230	-60.96
18.701438	-60.32
18.972519	-59.86
19.247530	-59.28
19.526527	-58.12
19.809568	-56.25
20.096712	-54.06
20.388018	-51.85
20.683546	-49.60
20.983358	-47.13
21.287517	-44.41
21.596084	-41.66
21.909123	-39.12
22.226701	-36.92
22.548881	-35.10
22.875732	-33.68
23.207320	-32.70
23.543715	-32.09
23.884986	-31.80
24.231204	-31.82
24.582441	-32.09
24.938768	-32.66
25.300261	-33.50
25.666993	-34.84
26.039042	-36.60
26.416483	-39.20
26.799396	-42.51
27.187858	-46.85
27.581952	-51.78
27.981758	-55.28
28.387360	-57.34
28.798840	-59.51
29.216286	-61.19
29.639782	-61.43
30.069416	-61.61
30.505279	-62.19
30.947459	-62.69
31.396049	-62.95
31.851141	-62.97
32.312830	-62.37
32.781212	-61.26
33.256382	-60.16
33.738440	-59.37
34.227486	-58.92
34.723620	-58.81
35.226947	-58.97
35.737568	-58.98
36.255592	-57.94
36.781124	-55.59
37.314274	-52.10
37.855152	-48.16
38.403871	-44.70
38.960543	-42.23
39.525284	-40.91
40.098211	-40.59
40.679443	-41.11
41.269100	-42.38
41.867304	-44.55
42.474180	-48.11
43.089852	-53.48
43.714448	-58.88
44.348098	-59.70
44.990933	-58.76
45.643086	-57.34
46.304692	-56.01
46.975888	-55.32
47.656813	-55.34
48.347609	-55.73
49.048418	-55.86
49.759385	-55.30
50.480657	-54.18
51.212385	-53.42
51.954719	-53.68
52.707813	-54.68
53.471824	-55.48
54.246909	-55.58
55.033230	-55.14
55.830948	-54.80
56.640229	-51.22
57.461241	-45.21
58.294153	-40.61
59.139139	-37.37
59.996373	-35.93
60.866033	-36.82
61.748299	-39.94
62.643354	-44.61
63.551382	-50.65
64.472573	-55.71
65.407116	-57.51
66.355206	-58.34
67.317038	-57.31
68.292813	-55.33
69.282731	-53.96
70.286999	-53.71
71.305824	-54.60
72.339416	-54.70
73.387991	-53.92
74.451765	-54.28
75.530959	-54.65
76.625796	-55.14
77.736503	-55.95
78.863310	-54.77
80.006450	-53.01
81.166160	-52.90
82.342680	-54.44
83.536255	-55.52
84.747130	-55.70
85.975557	-56.63
87.221791	-58.41
88.486089	-58.53
89.768713	-57.45
91.069929	-58.06
92.390007	-60.55
93.729219	-60.90
95.087844	-59.64
96.466162	-53.61
97.864459	-43.51
99.283025	-37.47
100.722153	-37.38
102.182141	-42.20
103.663293	-54.53
105.165914	-63.11
106.690316	-63.26
108.236814	-62.61
109.805729	-63.29
111.397386	-64.47
113.012114	-64.49
114.650248	-63.59
116.312128	-64.61
117.998096	-64.03
119.708503	-62.15
121.443703	-59.47
123.204054	-58.46
124.989923	-59.93
126.801678	-58.69
128.639694	-56.81
130.504354	-59.88
132.396041	-62.63
134.315150	-61.73
136.262076	-61.26
138.237223	-60.91
140.241000	-59.15
142.273823	-59.56
144.336111	-59.95
146.428293	-58.37
148.550802	-60.47
150.704076	-58.54
152.888563	-56.67
155.104715	-59.82
157.352990	-61.40
159.633854	-59.98
161.947780	-58.95
164.295247	-59.33
166.676741	-59.97
169.092755	-58.27
171.543790	-61.81
174.030353	-60.30
176.552959	-55.34
179.112131	-43.58
181.708398	-45.26
184.342299	-60.58
187.014379	-66.74
189.725192	-65.88
192.475298	-63.55
195.265267	-62.46
198.095678	-61.50
200.967116	-58.04
203.880176	-57.01
206.835462	-56.57
209.833585	-54.59
212.875166	-55.11
215.960836	-58.65
219.091233	-57.59
222.267006	-57.86
225.488813	-58.65
228.757320	-57.32
