	Spec-126		
Frequency (Hz)	Level (dB)

11.139739	-86.37
11.301211	-85.91
11.465025	-85.51
11.631213	-85.16
11.799810	-84.84
11.970850	-84.60
12.144370	-84.42
12.320405	-84.27
12.498992	-84.15
12.680168	-84.05
12.863969	-83.96
13.050435	-83.87
13.239604	-83.77
13.431515	-83.65
13.626208	-83.52
13.823722	-83.38
14.024100	-83.24
14.227382	-83.11
14.433611	-83.00
14.642829	-82.93
14.855080	-82.89
15.070408	-82.89
15.288856	-82.94
15.510471	-83.05
15.735299	-83.20
15.963385	-83.43
16.194778	-83.75
16.429525	-84.13
16.667674	-84.68
16.909275	-85.27
17.154379	-85.97
17.403035	-86.81
17.655296	-87.57
17.911213	-88.26
18.170840	-88.78
18.434230	-89.02
18.701438	-88.97
18.972519	-88.73
19.247530	-88.34
19.526527	-87.89
19.809568	-87.41
20.096712	-86.96
20.388018	-86.55
20.683546	-86.22
20.983358	-85.94
21.287517	-85.68
21.596084	-85.39
21.909123	-85.02
22.226701	-84.55
22.548881	-84.00
22.875732	-83.38
23.207320	-82.76
23.543715	-82.16
23.884986	-81.57
24.231204	-81.04
24.582441	-80.59
24.938768	-80.20
25.300261	-79.91
25.666993	-79.65
26.039042	-79.42
26.416483	-79.13
26.799396	-78.78
27.187858	-78.35
27.581952	-77.78
27.981758	-77.13
28.387360	-76.45
28.798840	-75.90
29.216286	-75.61
29.639782	-75.73
30.069416	-76.26
30.505279	-77.20
30.947459	-78.47
31.396049	-80.01
31.851141	-81.84
32.312830	-83.99
32.781212	-86.21
33.256382	-87.93
33.738440	-88.48
34.227486	-87.89
34.723620	-86.76
35.226947	-85.54
35.737568	-84.44
36.255592	-83.50
36.781124	-82.72
37.314274	-82.10
37.855152	-81.72
38.403871	-81.62
38.960543	-81.81
39.525284	-82.22
40.098211	-82.70
40.679443	-82.97
41.269100	-82.60
41.867304	-81.64
42.474180	-80.55
43.089852	-79.66
43.714448	-79.14
44.348098	-79.12
44.990933	-79.41
45.643086	-79.34
46.304692	-78.61
46.975888	-77.72
47.656813	-76.99
48.347609	-76.46
49.048418	-76.12
49.759385	-76.10
50.480657	-76.60
51.212385	-77.76
51.954719	-79.70
52.707813	-82.51
53.471824	-85.08
54.246909	-86.19
55.033230	-86.42
55.830948	-83.50
56.640229	-79.33
57.461241	-75.95
58.294153	-73.82
59.139139	-73.26
59.996373	-74.08
60.866033	-76.16
61.748299	-79.71
62.643354	-84.30
