	Pamir-B		
Frequency (Hz)	Level (dB)

11.139739	-74.84
11.301211	-74.90
11.465025	-74.97
11.631213	-75.07
11.799810	-75.22
11.970850	-75.38
12.144370	-75.57
12.320405	-75.76
12.498992	-75.97
12.680168	-76.20
12.863969	-76.37
13.050435	-76.47
13.239604	-76.50
13.431515	-76.43
13.626208	-76.25
13.823722	-76.00
14.024100	-75.66
14.227382	-75.33
14.433611	-74.96
14.642829	-74.63
14.855080	-74.33
15.070408	-74.03
15.288856	-73.79
15.510471	-73.56
15.735299	-73.37
15.963385	-73.19
16.194778	-73.04
16.429525	-72.90
16.667674	-72.76
16.909275	-72.62
17.154379	-72.45
17.403035	-72.22
17.655296	-71.94
17.911213	-71.60
18.170840	-71.20
18.434230	-70.75
18.701438	-70.28
18.972519	-69.78
19.247530	-69.29
19.526527	-68.81
19.809568	-68.38
20.096712	-68.03
20.388018	-67.81
20.683546	-67.73
20.983358	-67.80
21.287517	-67.99
21.596084	-68.26
21.909123	-68.52
22.226701	-68.71
22.548881	-68.79
22.875732	-68.74
23.207320	-68.60
23.543715	-68.43
23.884986	-68.25
24.231204	-68.09
24.582441	-67.97
24.938768	-67.93
25.300261	-67.98
25.666993	-68.14
26.039042	-68.38
26.416483	-68.71
26.799396	-69.07
27.187858	-69.38
27.581952	-69.43
27.981758	-69.02
28.387360	-68.24
28.798840	-67.35
29.216286	-66.60
29.639782	-66.10
30.069416	-65.81
30.505279	-65.63
30.947459	-65.49
31.396049	-65.34
31.851141	-65.14
32.312830	-64.87
32.781212	-64.52
33.256382	-64.03
33.738440	-63.38
34.227486	-62.50
34.723620	-61.41
35.226947	-60.06
35.737568	-58.68
36.255592	-57.54
36.781124	-56.81
37.314274	-56.50
37.855152	-56.62
38.403871	-57.23
38.960543	-58.40
39.525284	-59.90
40.098211	-60.97
40.679443	-61.00
41.269100	-60.31
41.867304	-59.52
42.474180	-59.08
43.089852	-59.22
43.714448	-59.76
44.348098	-60.22
44.990933	-60.39
45.643086	-60.57
46.304692	-60.95
46.975888	-61.23
47.656813	-60.91
48.347609	-59.77
49.048418	-58.10
49.759385	-56.34
50.480657	-54.83
51.212385	-54.14
51.954719	-54.64
52.707813	-55.63
53.471824	-55.34
54.246909	-54.12
55.033230	-53.08
55.830948	-52.26
56.640229	-51.59
57.461241	-51.26
58.294153	-51.27
59.139139	-51.37
59.996373	-51.02
60.866033	-50.01
61.748299	-49.27
62.643354	-49.15
63.551382	-48.64
64.472573	-46.50
65.407116	-43.78
66.355206	-42.29
67.317038	-42.22
68.292813	-43.60
69.282731	-45.96
70.286999	-47.54
71.305824	-47.66
72.339416	-47.76
73.387991	-47.60
74.451765	-45.30
75.530959	-42.29
76.625796	-40.39
77.736503	-39.84
78.863310	-40.42
80.006450	-41.04
81.166160	-41.54
82.342680	-41.66
83.536255	-41.19
84.747130	-41.51
85.975557	-40.28
87.221791	-38.30
88.486089	-36.81
89.768713	-36.39
91.069929	-37.43
92.390007	-38.22
93.729219	-37.29
95.087844	-38.09
96.466162	-40.92
97.864459	-43.10
99.283025	-43.22
100.722153	-44.06
102.182141	-45.09
103.663293	-45.56
105.165914	-46.92
106.690316	-47.73
108.236814	-48.44
109.805729	-47.51
111.397386	-48.06
113.012114	-51.30
114.650248	-52.28
116.312128	-50.35
117.998096	-46.07
119.708503	-40.36
121.443703	-38.13
123.204054	-35.95
124.989923	-31.89
126.801678	-31.90
128.639694	-34.03
130.504354	-32.56
132.396041	-32.84
134.315150	-35.81
136.262076	-35.38
138.237223	-34.22
140.241000	-32.71
142.273823	-33.51
144.336111	-32.18
146.428293	-31.98
148.550802	-31.11
150.704076	-30.87
152.888563	-33.33
155.104715	-35.90
157.352990	-37.08
159.633854	-35.08
161.947780	-36.40
164.295247	-39.26
166.676741	-33.24
169.092755	-32.70
171.543790	-33.26
174.030353	-32.05
176.552959	-36.19
179.112131	-40.88
181.708398	-43.34
184.342299	-45.70
187.014379	-44.04
189.725192	-46.98
192.475298	-49.64
195.265267	-42.04
198.095678	-35.69
200.967116	-34.88
203.880176	-38.21
206.835462	-37.26
209.833585	-35.10
212.875166	-31.59
215.960836	-35.28
219.091233	-31.05
222.267006	-32.29
225.488813	-39.55
228.757320	-34.68
232.073205	-37.10
235.437154	-37.15
238.849865	-34.35
242.312043	-35.41
245.824407	-36.59
249.387683	-40.96
253.002609	-46.90
256.669935	-47.20
260.390419	-48.82
264.164832	-51.13
267.993956	-57.64
271.878584	-52.77
275.819521	-47.03
279.817582	-42.00
283.873596	-38.22
287.988403	-36.45
292.162855	-35.27
296.397817	-37.30
300.694165	-35.69
305.052789	-34.36
309.474593	-36.93
313.960491	-37.51
318.511414	-35.57
323.128303	-37.11
327.812115	-37.45
332.563820	-40.27
337.384402	-43.81
342.274859	-39.28
347.236204	-39.57
352.269465	-40.76
357.375684	-39.97
362.555919	-34.06
367.811243	-40.54
373.142743	-39.65
378.551525	-43.15
384.038708	-39.94
389.605429	-37.44
395.252841	-44.29
400.982113	-42.85
406.794432	-42.22
412.691002	-41.51
418.673044	-41.86
424.741797	-42.59
430.898518	-39.95
437.144481	-38.46
443.480981	-39.60
449.909331	-41.94
456.430860	-44.15
463.046920	-44.32
469.758882	-44.15
476.568134	-43.06
483.476089	-49.74
490.484175	-50.43
497.593845	-53.64
504.806572	-59.14
512.123848	-67.41
519.547190	-64.34
527.078134	-55.63
534.718242	-54.96
542.469094	-54.68
550.332296	-54.76
558.309477	-51.71
566.402289	-51.16
574.612408	-51.73
582.941535	-57.58
591.391394	-53.94
599.963735	-47.57
608.660334	-47.99
617.482992	-53.42
626.433537	-53.41
635.513821	-54.94
644.725726	-59.99
654.071160	-62.46
663.552057	-60.07
673.170382	-62.42
682.928127	-61.91
692.827312	-63.07
702.869989	-61.31
713.058235	-61.63
723.394163	-64.01
733.879912	-62.58
744.517654	-65.09
755.309592	-70.93
766.257962	-71.35
777.365030	-72.60
788.633098	-73.30
800.064499	-70.99
811.661600	-73.60
823.426804	-73.65
835.362547	-80.02
847.471301	-77.59
859.755574	-75.48
872.217910	-74.86
884.860890	-75.13
897.687132	-71.07
910.699294	-72.61
923.900070	-74.55
937.292194	-71.87
950.878439	-72.38
964.661620	-75.94
978.644591	-73.96
992.830248	-75.66
1007.221529	-68.74
1021.821414	-68.23
1036.632928	-62.94
1051.659138	-65.94
1066.903156	-67.99
1082.368140	-66.84
1098.057291	-68.37
1113.973860	-70.02
1130.121143	-68.47
1146.502484	-67.32
1163.121276	-68.83
1179.980961	-72.63
1197.085030	-69.59
1214.437027	-70.57
1232.040544	-71.85
1249.899229	-67.71
1268.016778	-68.49
1286.396945	-71.48
1305.043536	-68.88
1323.960414	-73.09
1343.151496	-73.07
1362.620756	-74.40
1382.372227	-78.62
1402.410000	-78.92
1422.738225	-81.49
1443.361112	-86.31
1464.282931	-89.77
1485.508017	-91.41
1507.040765	-91.02
1528.885634	-91.98
1551.047150	-85.78
1573.529901	-80.85
1596.338544	-78.73
1619.477804	-74.92
1642.952471	-78.61
1666.767409	-75.30
1690.927550	-78.69
1715.437896	-81.03
1740.303526	-82.84
1765.529587	-79.25
1791.121306	-79.50
1817.083982	-80.47
1843.422992	-81.27
1870.143792	-80.89
1897.251916	-81.98
1924.752977	-78.57
1952.652672	-80.51
1980.956779	-78.96
2009.671159	-81.24
2038.801761	-81.97
2068.354617	-85.42
2098.335847	-97.14
2128.751662	-95.49
2159.608360	-90.68
2190.912333	-90.38
2222.670063	-90.37
2254.888128	-85.68
2287.573200	-84.50
2320.732050	-85.06
2354.371544	-87.69
2388.498649	-87.89
2423.120434	-91.50
2458.244069	-93.74
2493.876828	-100.63
2530.026092	-104.58
2566.699346	-99.95
2603.904187	-102.24
2641.648320	-106.14
2679.939562	-98.25
2718.785844	-95.43
2758.195211	-95.95
2798.175824	-98.44
2838.735965	-98.31
2879.884033	-98.33
2921.628551	-99.75
2963.978165	-103.34
3006.941645	-104.01
3050.527890	-107.84
3094.745927	-104.60
3139.604913	-108.34
3185.114139	-105.66
3231.283032	-100.27
3278.121151	-97.00
3325.638200	-96.02
3373.844017	-96.62
3422.748588	-93.65
3472.362041	-92.57
3522.694651	-93.23
3573.756843	-96.79
3625.559192	-98.99
3678.112427	-98.83
3731.427432	-97.52
3785.515249	-94.40
3840.387080	-96.98
3896.054290	-96.27
3952.528408	-99.00
4009.821129	-98.50
4067.944321	-104.92
4126.910020	-96.40
4186.730440	-91.64
4247.417969	-91.93
4308.985176	-92.77
4371.444813	-93.86
4434.809815	-95.48
4499.093306	-96.49
4564.308599	-94.25
4630.469202	-97.16
4697.588817	-98.91
4765.681344	-98.80
4834.760887	-98.72
4904.841752	-100.93
4975.938453	-106.46
5048.065717	-95.09
5121.238480	-93.21
5195.471897	-94.76
5270.781343	-101.70
5347.182415	-112.64
5424.690937	-101.85
5503.322961	-98.98
5583.094772	-105.14
5664.022893	-99.99
5746.124083	-100.64
5829.415347	-99.30
5913.913936	-105.07
5999.637349	-106.86
6086.603340	-103.79
6174.829922	-100.19
6264.335367	-101.35
6355.138211	-96.12
6447.257262	-95.87
6540.711597	-94.99
6635.520573	-93.66
6731.703824	-93.93
6829.281272	-94.85
6928.273125	-98.07
7028.699885	-97.51
7130.582353	-98.45
7233.941627	-100.91
7338.799116	-106.01
7445.176537	-107.08
7553.095920	-106.21
7662.579617	-111.10
7773.650302	-109.80
7886.330981	-107.09
8000.644989	-112.18
8116.616003	-113.98
8234.268041	-114.02
8353.625470	-116.36
8474.713009	-114.63
8597.555737	-114.62
8722.179097	-116.47
8848.608897	-112.71
8976.871324	-120.88
9106.992942	-119.68
9239.000700	-119.76
9372.921937	-118.17
9508.784391	-117.84
9646.616199	-121.24
9786.445908	-120.24
9928.302478	-121.75
10072.215288	-121.29
10218.214144	-117.72
10366.329284	-118.74
10516.591384	-118.58
10669.031565	-118.22
10823.681397	-118.50
10980.572911	-121.74
11139.738600	-120.67
11301.211429	-120.31
11465.024840	-122.01
11631.212760	-122.03
11799.809609	-122.38
11970.850305	-121.73
12144.370271	-119.75
12320.405445	-118.23
12498.992285	-116.15
12680.167779	-115.04
12863.969449	-115.76
13050.435363	-116.42
13239.604139	-120.62
13431.514956	-120.22
13626.207560	-121.10
13823.722274	-121.26
14024.100004	-121.98
14227.382252	-121.78
14433.611118	-122.54
14642.829314	-122.27
14855.080172	-122.06
15070.407650	-122.44
15288.856344	-122.49
15510.471498	-122.45
15735.299010	-122.78
15963.385443	-122.34
16194.778036	-122.22
16429.524714	-122.62
16667.674093	-122.37
16909.275497	-122.41
17154.378963	-122.10
17403.035256	-122.17
17655.295873	-122.50
17911.213060	-121.80
18170.839820	-122.29
18434.229924	-122.39
18701.437922	-122.18
18972.519156	-122.02
19247.529769	-122.13
19526.526718	-122.26
19809.567786	-121.56
20096.711592	-121.90
20388.017608	-121.16
20683.546166	-121.19
20983.358471	-121.78
21287.516618	-121.37
21596.083601	-121.88
21909.123326	-121.43
22226.700627	-121.35
