	Pamir-H		
Frequency (Hz)	Level (dB)

11.139739	-64.73
11.301211	-64.28
11.465025	-63.86
11.631213	-63.47
11.799810	-63.08
11.970850	-62.74
12.144370	-62.44
12.320405	-62.17
12.498992	-61.95
12.680168	-61.75
12.863969	-61.62
13.050435	-61.54
13.239604	-61.53
13.431515	-61.60
13.626208	-61.72
13.823722	-61.91
14.024100	-62.21
14.227382	-62.49
14.433611	-62.84
14.642829	-63.17
14.855080	-63.45
15.070408	-63.68
15.288856	-63.81
15.510471	-63.88
15.735299	-63.91
15.963385	-63.91
16.194778	-63.91
16.429525	-63.89
16.667674	-63.86
16.909275	-63.84
17.154379	-63.85
17.403035	-63.89
17.655296	-63.87
17.911213	-63.71
18.170840	-63.35
18.434230	-62.88
18.701438	-62.53
18.972519	-62.20
19.247530	-61.38
19.526527	-59.52
19.809568	-56.91
20.096712	-54.25
20.388018	-51.80
20.683546	-49.43
20.983358	-46.90
21.287517	-44.16
21.596084	-41.40
21.909123	-38.85
22.226701	-36.65
22.548881	-34.83
22.875732	-33.40
23.207320	-32.43
23.543715	-31.82
23.884986	-31.52
24.231204	-31.54
24.582441	-31.80
24.938768	-32.38
25.300261	-33.22
25.666993	-34.55
26.039042	-36.31
26.416483	-38.92
26.799396	-42.23
27.187858	-46.51
27.581952	-51.18
27.981758	-54.03
28.387360	-55.35
28.798840	-56.53
29.216286	-57.31
29.639782	-57.42
30.069416	-57.52
30.505279	-57.76
30.947459	-57.91
31.396049	-57.92
31.851141	-57.89
32.312830	-57.80
32.781212	-57.62
33.256382	-57.30
33.738440	-56.72
34.227486	-55.87
34.723620	-54.97
35.226947	-54.14
35.737568	-53.35
36.255592	-52.44
36.781124	-51.30
37.314274	-49.40
37.855152	-46.49
38.403871	-43.43
38.960543	-41.10
39.525284	-39.83
40.098211	-39.55
40.679443	-40.09
41.269100	-41.36
41.867304	-43.52
42.474180	-46.94
43.089852	-51.83
43.714448	-56.20
44.348098	-57.64
44.990933	-58.37
45.643086	-58.48
46.304692	-57.90
46.975888	-57.22
47.656813	-56.72
48.347609	-56.50
49.048418	-56.49
49.759385	-56.52
50.480657	-56.40
51.212385	-56.19
51.954719	-56.03
52.707813	-55.71
53.471824	-55.02
54.246909	-54.38
55.033230	-54.04
55.830948	-53.87
56.640229	-50.11
57.461241	-44.09
58.294153	-39.54
59.139139	-36.36
59.996373	-34.96
60.866033	-35.88
61.748299	-39.07
62.643354	-43.76
63.551382	-49.04
64.472573	-51.37
65.407116	-51.90
66.355206	-53.22
67.317038	-54.89
68.292813	-55.81
69.282731	-55.81
70.286999	-55.69
71.305824	-55.56
72.339416	-55.19
73.387991	-54.77
74.451765	-54.72
75.530959	-54.78
76.625796	-54.78
77.736503	-55.01
78.863310	-55.93
80.006450	-56.98
81.166160	-56.74
82.342680	-55.31
83.536255	-54.45
84.747130	-55.21
85.975557	-56.55
87.221791	-56.81
88.486089	-56.24
89.768713	-56.05
91.069929	-56.57
92.390007	-57.57
93.729219	-58.55
95.087844	-58.58
96.466162	-51.32
97.864459	-41.06
99.283025	-35.03
100.722153	-34.98
102.182141	-39.87
103.663293	-52.34
105.165914	-60.27
106.690316	-60.67
108.236814	-60.47
109.805729	-59.09
111.397386	-59.94
113.012114	-61.03
114.650248	-61.78
116.312128	-62.77
117.998096	-62.04
119.708503	-59.29
121.443703	-55.58
123.204054	-54.43
124.989923	-55.97
126.801678	-57.08
128.639694	-56.60
130.504354	-57.03
132.396041	-56.60
134.315150	-56.50
136.262076	-56.79
138.237223	-57.26
140.241000	-56.52
142.273823	-56.93
144.336111	-56.05
146.428293	-56.14
148.550802	-55.67
150.704076	-55.69
152.888563	-55.59
155.104715	-55.88
157.352990	-54.63
159.633854	-53.46
161.947780	-54.87
164.295247	-52.07
166.676741	-51.23
169.092755	-52.43
171.543790	-53.48
174.030353	-56.66
176.552959	-49.88
179.112131	-38.31
181.708398	-40.04
184.342299	-54.91
187.014379	-57.49
189.725192	-56.22
192.475298	-55.86
195.265267	-55.18
198.095678	-52.49
200.967116	-51.95
203.880176	-51.65
206.835462	-51.25
209.833585	-51.19
212.875166	-51.79
215.960836	-50.86
219.091233	-51.62
222.267006	-51.73
225.488813	-53.14
228.757320	-54.78
232.073205	-55.19
235.437154	-52.94
238.849865	-53.45
242.312043	-54.68
245.824407	-55.87
249.387683	-56.61
253.002609	-55.27
256.669935	-54.15
260.390419	-52.48
264.164832	-52.33
267.993956	-51.44
271.878584	-52.15
275.819521	-53.85
279.817582	-52.91
283.873596	-54.65
287.988403	-57.50
292.162855	-57.49
296.397817	-55.64
300.694165	-56.10
305.052789	-57.36
309.474593	-56.84
313.960491	-57.79
318.511414	-56.93
323.128303	-56.35
327.812115	-58.13
332.563820	-56.99
337.384402	-40.17
342.274859	-38.83
347.236204	-59.72
352.269465	-62.24
357.375684	-62.56
362.555919	-61.27
367.811243	-61.22
373.142743	-61.40
378.551525	-62.85
384.038708	-62.03
389.605429	-64.30
395.252841	-64.20
400.982113	-62.94
406.794432	-64.90
412.691002	-64.84
418.673044	-63.93
424.741797	-64.95
430.898518	-65.34
437.144481	-66.08
443.480981	-64.22
449.909331	-66.44
456.430860	-66.45
463.046920	-67.78
469.758882	-69.55
476.568134	-70.55
483.476089	-71.79
490.484175	-73.27
497.593845	-74.28
504.806572	-76.74
512.123848	-75.34
519.547190	-75.94
527.078134	-75.60
534.718242	-75.60
542.469094	-74.91
550.332296	-73.66
558.309477	-75.69
566.402289	-74.92
574.612408	-74.99
582.941535	-76.86
591.391394	-75.64
599.963735	-52.75
608.660334	-75.94
617.482992	-77.53
626.433537	-75.51
635.513821	-76.75
644.725726	-78.70
654.071160	-78.72
663.552057	-79.40
673.170382	-80.00
682.928127	-79.04
692.827312	-79.43
702.869989	-79.28
713.058235	-79.81
723.394163	-79.90
733.879912	-82.81
744.517654	-84.40
755.309592	-84.67
766.257962	-83.99
777.365030	-86.32
788.633098	-87.80
800.064499	-90.49
811.661600	-90.25
823.426804	-88.77
835.362547	-89.69
847.471301	-88.58
859.755574	-88.13
872.217910	-89.38
884.860890	-89.49
897.687132	-89.48
910.699294	-91.57
923.900070	-92.12
937.292194	-93.13
950.878439	-94.66
964.661620	-96.33
978.644591	-97.38
992.830248	-69.76
1007.221529	-69.35
1021.821414	-94.72
1036.632928	-94.70
1051.659138	-95.34
1066.903156	-95.97
1082.368140	-95.90
1098.057291	-95.72
1113.973860	-97.07
1130.121143	-96.30
1146.502484	-96.50
1163.121276	-97.93
1179.980961	-99.66
1197.085030	-100.46
1214.437027	-101.02
1232.040544	-101.95
1249.899229	-101.54
1268.016778	-101.40
1286.396945	-102.39
1305.043536	-102.39
1323.960414	-103.03
1343.151496	-104.39
1362.620756	-104.72
1382.372227	-104.61
1402.410000	-104.14
1422.738225	-105.52
1443.361112	-105.56
1464.282931	-104.25
1485.508017	-104.72
1507.040765	-104.54
1528.885634	-105.76
1551.047150	-105.40
