	Pamir-S		
Frequency (Hz)	Level (dB)

11.139739	-86.75
11.301211	-86.32
11.465025	-85.93
11.631213	-85.60
11.799810	-85.30
11.970850	-85.09
12.144370	-84.94
12.320405	-84.84
12.498992	-84.79
12.680168	-84.81
12.863969	-84.88
13.050435	-85.00
13.239604	-85.17
13.431515	-85.44
13.626208	-85.71
13.823722	-86.01
14.024100	-86.33
14.227382	-86.51
14.433611	-86.51
14.642829	-86.27
14.855080	-85.76
15.070408	-85.02
15.288856	-84.22
15.510471	-83.30
15.735299	-82.47
15.963385	-81.63
16.194778	-80.87
16.429525	-80.19
16.667674	-79.52
16.909275	-78.98
17.154379	-78.50
17.403035	-78.08
17.655296	-77.77
17.911213	-77.54
18.170840	-77.39
18.434230	-77.34
18.701438	-77.40
18.972519	-77.57
19.247530	-77.88
19.526527	-78.35
19.809568	-78.99
20.096712	-79.81
20.388018	-80.74
20.683546	-81.69
20.983358	-82.51
21.287517	-83.08
21.596084	-83.37
21.909123	-83.46
22.226701	-83.46
22.548881	-83.43
22.875732	-83.44
23.207320	-83.53
23.543715	-83.75
23.884986	-84.06
24.231204	-84.15
24.582441	-83.64
24.938768	-82.24
25.300261	-80.43
25.666993	-78.25
26.039042	-76.17
26.416483	-74.07
26.799396	-72.31
27.187858	-70.94
27.581952	-70.04
27.981758	-69.70
28.387360	-69.88
28.798840	-70.58
29.216286	-71.74
29.639782	-73.24
30.069416	-75.08
30.505279	-77.33
30.947459	-80.06
31.396049	-83.06
31.851141	-85.37
32.312830	-86.31
32.781212	-86.54
33.256382	-86.29
33.738440	-85.22
34.227486	-83.62
34.723620	-82.31
35.226947	-81.58
35.737568	-81.52
36.255592	-81.99
36.781124	-82.77
37.314274	-83.61
37.855152	-84.18
38.403871	-84.16
38.960543	-83.33
39.525284	-81.88
40.098211	-80.25
40.679443	-78.85
41.269100	-77.88
41.867304	-77.40
42.474180	-77.53
43.089852	-78.53
43.714448	-80.50
44.348098	-82.94
44.990933	-84.60
45.643086	-85.11
46.304692	-85.08
46.975888	-84.23
47.656813	-82.73
48.347609	-81.44
49.048418	-80.67
49.759385	-80.37
50.480657	-80.46
51.212385	-80.75
51.954719	-80.95
52.707813	-80.97
53.471824	-80.58
54.246909	-78.88
55.033230	-76.57
55.830948	-75.45
56.640229	-75.84
57.461241	-77.23
58.294153	-78.97
59.139139	-80.16
59.996373	-80.75
60.866033	-82.44
61.748299	-86.16
62.643354	-91.19
63.551382	-96.21
64.472573	-98.08
65.407116	-95.58
66.355206	-92.80
67.317038	-91.46
68.292813	-92.56
69.282731	-95.42
70.286999	-97.30
71.305824	-97.31
72.339416	-96.45
73.387991	-96.23
74.451765	-97.65
75.530959	-98.97
76.625796	-98.74
77.736503	-98.30
78.863310	-97.80
80.006450	-96.01
81.166160	-94.15
82.342680	-93.42
83.536255	-93.88
84.747130	-94.28
85.975557	-93.57
87.221791	-92.97
88.486089	-94.45
89.768713	-99.57
91.069929	-105.24
92.390007	-106.94
93.729219	-105.79
95.087844	-104.36
96.466162	-103.93
97.864459	-103.49
99.283025	-100.68
100.722153	-99.82
102.182141	-101.43
103.663293	-104.16
105.165914	-104.60
106.690316	-104.08
108.236814	-105.33
109.805729	-105.06
111.397386	-102.04
113.012114	-103.03
114.650248	-106.76
116.312128	-106.02
117.998096	-102.56
119.708503	-101.64
121.443703	-103.45
123.204054	-103.78
124.989923	-104.59
126.801678	-105.88
128.639694	-103.68
130.504354	-103.90
132.396041	-106.90
134.315150	-105.80
136.262076	-105.20
138.237223	-105.91
140.241000	-100.27
142.273823	-99.45
144.336111	-104.05
146.428293	-105.53
148.550802	-102.85
150.704076	-103.57
152.888563	-106.18
155.104715	-109.09
157.352990	-109.24
159.633854	-104.58
161.947780	-103.05
164.295247	-103.56
166.676741	-102.14
169.092755	-104.45
171.543790	-109.52
174.030353	-102.50
176.552959	-99.84
179.112131	-104.94
181.708398	-105.59
184.342299	-96.51
187.014379	-96.98
189.725192	-108.46
192.475298	-108.96
195.265267	-110.19
198.095678	-105.38
200.967116	-103.37
203.880176	-99.24
206.835462	-99.02
209.833585	-103.13
212.875166	-107.50
215.960836	-108.91
219.091233	-105.64
222.267006	-103.69
225.488813	-108.10
228.757320	-107.58
232.073205	-106.76
235.437154	-106.04
238.849865	-105.01
242.312043	-107.15
245.824407	-109.18
249.387683	-107.86
253.002609	-107.77
256.669935	-108.45
260.390419	-107.89
264.164832	-108.92
267.993956	-107.76
271.878584	-110.73
275.819521	-113.12
279.817582	-113.24
283.873596	-112.20
287.988403	-111.89
292.162855	-115.76
296.397817	-108.99
300.694165	-103.86
305.052789	-112.61
309.474593	-111.45
313.960491	-111.21
318.511414	-111.54
323.128303	-108.48
327.812115	-110.41
332.563820	-106.76
337.384402	-109.05
342.274859	-114.13
347.236204	-111.77
352.269465	-109.43
357.375684	-115.03
362.555919	-115.94
367.811243	-115.86
373.142743	-117.36
378.551525	-115.22
384.038708	-117.04
389.605429	-113.50
395.252841	-120.28
400.982113	-118.43
406.794432	-118.51
412.691002	-116.81
418.673044	-118.44
424.741797	-120.17
430.898518	-116.12
437.144481	-117.18
443.480981	-117.16
449.909331	-116.40
456.430860	-116.20
463.046920	-116.36
469.758882	-123.24
476.568134	-122.33
483.476089	-126.14
490.484175	-122.41
497.593845	-124.43
504.806572	-122.28
512.123848	-120.85
519.547190	-124.46
527.078134	-124.92
534.718242	-126.96
542.469094	-129.62
550.332296	-127.13
558.309477	-128.57
566.402289	-127.76
574.612408	-126.33
582.941535	-126.28
591.391394	-126.66
599.963735	-126.98
608.660334	-130.91
617.482992	-132.11
626.433537	-129.75
635.513821	-129.65
644.725726	-123.97
654.071160	-127.34
663.552057	-125.53
673.170382	-127.87
682.928127	-129.78
692.827312	-129.86
702.869989	-127.78
713.058235	-129.57
723.394163	-126.05
733.879912	-128.13
744.517654	-132.11
755.309592	-128.70
766.257962	-129.64
777.365030	-128.95
788.633098	-131.16
800.064499	-131.80
811.661600	-128.97
823.426804	-131.54
835.362547	-130.50
847.471301	-130.78
859.755574	-130.82
872.217910	-130.02
884.860890	-130.87
897.687132	-130.51
910.699294	-130.76
923.900070	-130.47
937.292194	-132.33
950.878439	-130.83
964.661620	-132.96
978.644591	-130.19
992.830248	-130.49
1007.221529	-130.47
1021.821414	-131.74
1036.632928	-128.56
1051.659138	-129.80
1066.903156	-131.65
1082.368140	-130.27
1098.057291	-129.66
1113.973860	-128.93
1130.121143	-131.70
1146.502484	-129.55
1163.121276	-131.71
1179.980961	-130.71
1197.085030	-129.19
1214.437027	-129.33
1232.040544	-130.56
1249.899229	-129.76
1268.016778	-130.40
1286.396945	-130.22
1305.043536	-129.34
1323.960414	-129.73
1343.151496	-128.97
1362.620756	-130.65
1382.372227	-129.78
1402.410000	-128.30
1422.738225	-130.50
1443.361112	-131.16
1464.282931	-129.58
1485.508017	-130.11
1507.040765	-128.80
1528.885634	-129.59
1551.047150	-132.55
1573.529901	-130.54
1596.338544	-129.50
1619.477804	-130.15
1642.952471	-129.23
1666.767409	-130.38
1690.927550	-129.15
1715.437896	-129.83
1740.303526	-128.46
1765.529587	-130.35
1791.121306	-130.05
1817.083982	-128.81
1843.422992	-129.25
1870.143792	-127.44
