	Bang-SennOff		
Frequency (Hz)	Level (dB)

11.139739	-79.39
11.301211	-79.16
11.465025	-78.95
11.631213	-78.79
11.799810	-78.67
11.970850	-78.60
12.144370	-78.58
12.320405	-78.61
12.498992	-78.68
12.680168	-78.81
12.863969	-78.95
13.050435	-79.10
13.239604	-79.27
13.431515	-79.47
13.626208	-79.63
13.823722	-79.79
14.024100	-79.97
14.227382	-80.10
14.433611	-80.25
14.642829	-80.39
14.855080	-80.52
15.070408	-80.65
15.288856	-80.75
15.510471	-80.85
15.735299	-80.92
15.963385	-80.98
16.194778	-81.00
16.429525	-81.00
16.667674	-80.96
16.909275	-80.89
17.154379	-80.79
17.403035	-80.66
17.655296	-80.51
17.911213	-80.32
18.170840	-80.08
18.434230	-79.76
18.701438	-79.35
18.972519	-78.85
19.247530	-78.25
19.526527	-77.61
19.809568	-76.96
20.096712	-76.36
20.388018	-75.83
20.683546	-75.39
20.983358	-75.02
21.287517	-74.68
21.596084	-74.32
21.909123	-73.91
22.226701	-73.43
22.548881	-72.92
22.875732	-72.44
23.207320	-72.07
23.543715	-71.84
23.884986	-71.77
24.231204	-71.86
24.582441	-72.07
24.938768	-72.40
25.300261	-72.76
25.666993	-73.20
26.039042	-73.61
26.416483	-74.00
26.799396	-74.24
27.187858	-74.28
27.581952	-74.01
27.981758	-73.44
28.387360	-72.70
28.798840	-72.02
29.216286	-71.62
29.639782	-71.61
30.069416	-72.00
30.505279	-72.64
30.947459	-73.26
31.396049	-73.59
31.851141	-73.58
32.312830	-73.36
32.781212	-72.96
33.256382	-72.23
33.738440	-71.06
34.227486	-69.57
34.723620	-68.13
35.226947	-66.83
35.737568	-65.71
36.255592	-64.73
36.781124	-63.83
37.314274	-63.09
37.855152	-62.73
38.403871	-62.96
38.960543	-63.90
39.525284	-65.37
40.098211	-66.78
40.679443	-67.52
41.269100	-67.51
41.867304	-67.08
42.474180	-66.61
43.089852	-66.33
43.714448	-66.31
44.348098	-66.54
44.990933	-66.96
45.643086	-67.41
46.304692	-67.69
46.975888	-67.63
47.656813	-67.16
48.347609	-66.48
49.048418	-65.70
49.759385	-64.66
50.480657	-63.41
51.212385	-62.65
51.954719	-62.80
52.707813	-63.20
53.471824	-62.75
54.246909	-62.00
55.033230	-61.75
55.830948	-61.83
56.640229	-61.79
57.461241	-61.21
58.294153	-59.70
59.139139	-57.46
59.996373	-55.69
60.866033	-54.82
61.748299	-54.28
62.643354	-53.83
63.551382	-54.12
64.472573	-54.74
65.407116	-54.33
66.355206	-54.12
67.317038	-54.80
68.292813	-55.09
69.282731	-54.38
70.286999	-53.79
71.305824	-54.74
72.339416	-56.43
73.387991	-55.22
74.451765	-51.98
75.530959	-49.97
76.625796	-49.30
77.736503	-49.32
78.863310	-49.42
80.006450	-50.99
81.166160	-53.65
82.342680	-54.13
83.536255	-52.96
84.747130	-50.84
85.975557	-48.36
87.221791	-48.48
88.486089	-50.71
89.768713	-51.71
91.069929	-51.68
92.390007	-52.17
93.729219	-51.77
95.087844	-49.84
