	Heli-SennOff		
Frequency (Hz)	Level (dB)

11.139739	-60.14
11.301211	-59.73
11.465025	-59.37
11.631213	-59.07
11.799810	-58.81
11.970850	-58.63
12.144370	-58.50
12.320405	-58.43
12.498992	-58.41
12.680168	-58.45
12.863969	-58.54
13.050435	-58.66
13.239604	-58.84
13.431515	-59.11
13.626208	-59.39
13.823722	-59.73
14.024100	-60.18
14.227382	-60.58
14.433611	-61.06
14.642829	-61.51
14.855080	-61.87
15.070408	-62.17
15.288856	-62.32
15.510471	-62.39
15.735299	-62.36
15.963385	-62.30
16.194778	-62.21
16.429525	-62.13
16.667674	-62.04
16.909275	-61.98
17.154379	-61.96
17.403035	-62.00
17.655296	-62.04
17.911213	-62.04
18.170840	-61.97
18.434230	-61.89
18.701438	-61.98
18.972519	-62.22
19.247530	-62.08
19.526527	-60.59
19.809568	-57.90
20.096712	-55.05
20.388018	-52.43
20.683546	-49.91
20.983358	-47.26
21.287517	-44.43
21.596084	-41.61
21.909123	-39.03
22.226701	-36.81
22.548881	-34.98
22.875732	-33.54
23.207320	-32.56
23.543715	-31.95
23.884986	-31.65
24.231204	-31.65
24.582441	-31.91
24.938768	-32.48
25.300261	-33.31
25.666993	-34.64
26.039042	-36.40
26.416483	-39.01
26.799396	-42.33
27.187858	-46.65
27.581952	-51.46
27.981758	-54.57
28.387360	-56.20
28.798840	-57.85
29.216286	-59.19
29.639782	-59.68
30.069416	-60.14
30.505279	-60.69
30.947459	-60.65
31.396049	-59.78
31.851141	-58.36
32.312830	-56.62
32.781212	-54.98
33.256382	-53.75
33.738440	-53.06
34.227486	-52.94
34.723620	-53.28
35.226947	-53.89
35.737568	-54.45
36.255592	-54.37
36.781124	-53.18
37.314274	-50.67
37.855152	-47.33
38.403871	-44.15
38.960543	-41.80
39.525284	-40.51
40.098211	-40.19
40.679443	-40.68
41.269100	-41.90
41.867304	-44.04
42.474180	-47.54
43.089852	-52.82
43.714448	-58.21
44.348098	-59.56
44.990933	-59.33
45.643086	-59.08
46.304692	-59.16
46.975888	-59.38
47.656813	-59.37
48.347609	-59.48
49.048418	-60.08
49.759385	-60.95
50.480657	-61.21
51.212385	-60.55
51.954719	-59.40
52.707813	-58.18
53.471824	-57.12
54.246909	-56.56
55.033230	-56.43
55.830948	-55.87
56.640229	-51.22
57.461241	-45.22
58.294153	-40.66
59.139139	-37.38
59.996373	-35.91
60.866033	-36.77
61.748299	-39.88
62.643354	-44.58
63.551382	-50.47
64.472573	-53.26
65.407116	-52.99
66.355206	-53.56
67.317038	-54.93
68.292813	-55.70
69.282731	-55.57
70.286999	-55.56
71.305824	-56.06
72.339416	-56.35
73.387991	-56.20
74.451765	-56.61
75.530959	-58.04
76.625796	-58.38
77.736503	-56.63
78.863310	-55.88
80.006450	-56.47
81.166160	-57.68
82.342680	-58.57
83.536255	-58.98
84.747130	-58.79
85.975557	-59.56
87.221791	-61.10
88.486089	-60.52
89.768713	-59.15
91.069929	-59.59
92.390007	-61.45
93.729219	-63.23
95.087844	-63.78
96.466162	-55.14
97.864459	-44.82
99.283025	-38.77
100.722153	-38.71
102.182141	-43.59
103.663293	-55.91
105.165914	-61.58
106.690316	-61.93
108.236814	-64.84
109.805729	-67.54
111.397386	-68.05
113.012114	-68.47
114.650248	-65.91
116.312128	-63.90
117.998096	-63.23
119.708503	-60.88
121.443703	-59.31
123.204054	-59.48
124.989923	-57.14
126.801678	-55.29
128.639694	-56.81
130.504354	-58.53
132.396041	-58.02
134.315150	-56.38
136.262076	-58.77
138.237223	-61.78
140.241000	-58.18
142.273823	-57.84
144.336111	-60.37
146.428293	-60.55
148.550802	-60.85
150.704076	-60.51
152.888563	-62.49
155.104715	-59.40
157.352990	-61.12
159.633854	-57.68
161.947780	-58.78
164.295247	-60.28
166.676741	-60.40
169.092755	-62.68
171.543790	-64.76
174.030353	-64.06
176.552959	-54.21
179.112131	-42.14
181.708398	-43.72
184.342299	-58.61
187.014379	-65.74
189.725192	-65.96
192.475298	-62.43
195.265267	-62.86
198.095678	-61.57
200.967116	-59.73
203.880176	-54.84
206.835462	-55.99
209.833585	-56.99
212.875166	-56.70
215.960836	-56.68
219.091233	-60.50
222.267006	-57.69
225.488813	-56.36
228.757320	-57.57
232.073205	-58.35
235.437154	-56.65
238.849865	-58.52
242.312043	-62.76
245.824407	-61.72
249.387683	-62.40
253.002609	-59.80
256.669935	-59.51
260.390419	-59.58
264.164832	-62.33
267.993956	-60.64
271.878584	-62.00
275.819521	-59.53
279.817582	-59.20
283.873596	-64.29
287.988403	-62.02
292.162855	-61.43
296.397817	-62.70
