	Silence-SennOff		
Frequency (Hz)	Level (dB)

11.139739	-88.42
11.301211	-88.11
11.465025	-87.84
11.631213	-87.63
11.799810	-87.48
11.970850	-87.42
12.144370	-87.41
12.320405	-87.47
12.498992	-87.58
12.680168	-87.75
12.863969	-87.92
13.050435	-88.07
13.239604	-88.21
13.431515	-88.31
13.626208	-88.32
13.823722	-88.28
14.024100	-88.18
14.227382	-88.05
14.433611	-87.89
14.642829	-87.72
14.855080	-87.54
15.070408	-87.35
15.288856	-87.13
15.510471	-86.84
15.735299	-86.48
15.963385	-86.02
16.194778	-85.47
16.429525	-84.87
16.667674	-84.16
16.909275	-83.51
17.154379	-82.85
17.403035	-82.17
17.655296	-81.57
17.911213	-80.99
18.170840	-80.42
18.434230	-79.86
18.701438	-79.31
18.972519	-78.77
19.247530	-78.22
19.526527	-77.66
19.809568	-77.09
20.096712	-76.50
20.388018	-75.88
20.683546	-75.24
20.983358	-74.62
21.287517	-74.05
21.596084	-73.60
21.909123	-73.29
22.226701	-73.14
22.548881	-73.12
22.875732	-73.12
23.207320	-73.00
23.543715	-72.65
23.884986	-72.05
24.231204	-71.37
24.582441	-70.77
24.938768	-70.34
25.300261	-70.16
25.666993	-70.20
26.039042	-70.42
26.416483	-70.86
26.799396	-71.45
27.187858	-72.18
27.581952	-72.95
27.981758	-73.47
28.387360	-73.59
28.798840	-73.38
29.216286	-73.15
29.639782	-73.12
30.069416	-73.28
30.505279	-73.40
30.947459	-73.20
31.396049	-72.63
31.851141	-71.96
32.312830	-71.47
32.781212	-71.27
33.256382	-71.35
33.738440	-71.66
34.227486	-72.18
34.723620	-72.83
35.226947	-73.47
35.737568	-73.91
36.255592	-74.16
36.781124	-74.40
37.314274	-74.80
37.855152	-75.36
38.403871	-75.99
38.960543	-76.58
39.525284	-76.89
40.098211	-76.69
40.679443	-76.07
41.269100	-75.24
41.867304	-74.30
42.474180	-73.24
43.089852	-72.08
43.714448	-70.97
44.348098	-70.01
44.990933	-69.32
45.643086	-69.14
46.304692	-69.55
46.975888	-70.42
47.656813	-71.62
48.347609	-72.81
49.048418	-73.35
49.759385	-72.66
50.480657	-71.24
51.212385	-70.38
51.954719	-70.82
52.707813	-72.10
53.471824	-72.72
54.246909	-72.74
55.033230	-73.45
55.830948	-74.81
56.640229	-76.09
57.461241	-77.04
58.294153	-77.95
59.139139	-79.19
59.996373	-81.14
60.866033	-83.89
61.748299	-87.27
62.643354	-89.66
63.551382	-89.79
64.472573	-89.22
65.407116	-89.07
66.355206	-89.48
67.317038	-87.91
68.292813	-83.60
69.282731	-79.89
70.286999	-78.12
71.305824	-78.91
72.339416	-81.65
73.387991	-84.78
74.451765	-85.39
75.530959	-85.05
76.625796	-86.23
77.736503	-89.14
78.863310	-89.81
80.006450	-89.87
81.166160	-90.59
82.342680	-90.95
83.536255	-91.48
84.747130	-92.58
85.975557	-94.60
87.221791	-97.36
88.486089	-99.90
89.768713	-98.95
91.069929	-96.03
92.390007	-94.20
93.729219	-92.94
95.087844	-93.95
96.466162	-96.55
97.864459	-96.08
99.283025	-93.92
100.722153	-94.46
102.182141	-93.21
103.663293	-88.17
105.165914	-81.63
106.690316	-78.34
108.236814	-79.52
109.805729	-85.37
111.397386	-91.69
113.012114	-91.22
114.650248	-94.62
116.312128	-99.03
117.998096	-96.34
119.708503	-94.19
121.443703	-95.91
123.204054	-97.30
124.989923	-97.88
126.801678	-97.90
128.639694	-96.70
130.504354	-94.96
132.396041	-98.70
134.315150	-102.98
136.262076	-98.22
138.237223	-93.49
140.241000	-88.09
142.273823	-88.00
144.336111	-92.98
146.428293	-102.78
148.550802	-107.61
150.704076	-106.93
152.888563	-108.36
155.104715	-105.55
157.352990	-105.59
159.633854	-110.05
161.947780	-111.37
164.295247	-108.70
166.676741	-104.37
169.092755	-104.56
171.543790	-106.02
174.030353	-103.64
176.552959	-105.52
179.112131	-104.25
181.708398	-105.21
184.342299	-102.46
187.014379	-102.00
189.725192	-106.10
192.475298	-109.53
195.265267	-113.76
198.095678	-111.67
200.967116	-105.01
203.880176	-105.52
206.835462	-103.00
209.833585	-105.64
212.875166	-107.53
215.960836	-107.26
219.091233	-106.96
222.267006	-108.54
225.488813	-108.39
228.757320	-109.85
232.073205	-112.99
235.437154	-112.84
238.849865	-109.72
242.312043	-113.40
245.824407	-112.53
249.387683	-113.35
253.002609	-116.86
256.669935	-117.12
260.390419	-114.16
264.164832	-118.19
267.993956	-121.00
271.878584	-117.33
275.819521	-117.14
279.817582	-117.00
283.873596	-118.91
287.988403	-117.60
292.162855	-116.22
296.397817	-114.96
300.694165	-108.62
305.052789	-109.93
309.474593	-112.98
313.960491	-112.25
318.511414	-108.51
323.128303	-108.18
327.812115	-110.66
332.563820	-108.79
337.384402	-110.45
342.274859	-104.42
347.236204	-103.41
352.269465	-103.72
357.375684	-102.52
362.555919	-98.04
367.811243	-103.12
373.142743	-101.08
378.551525	-103.71
384.038708	-103.54
389.605429	-99.81
395.252841	-106.03
400.982113	-107.42
406.794432	-108.50
412.691002	-106.59
418.673044	-105.11
424.741797	-102.95
430.898518	-99.12
437.144481	-96.23
443.480981	-95.35
449.909331	-97.99
456.430860	-97.65
463.046920	-96.37
469.758882	-95.64
476.568134	-92.89
483.476089	-97.75
490.484175	-97.90
497.593845	-100.55
504.806572	-103.84
512.123848	-102.82
519.547190	-101.94
527.078134	-100.51
534.718242	-103.14
542.469094	-107.92
550.332296	-108.58
558.309477	-108.87
566.402289	-107.45
574.612408	-108.82
582.941535	-110.52
591.391394	-107.38
599.963735	-101.02
608.660334	-98.98
617.482992	-101.07
626.433537	-101.96
635.513821	-102.19
644.725726	-101.81
654.071160	-102.38
663.552057	-101.90
673.170382	-105.86
682.928127	-105.22
692.827312	-107.27
702.869989	-101.57
713.058235	-101.46
723.394163	-100.76
733.879912	-98.04
744.517654	-98.91
755.309592	-103.91
766.257962	-101.55
777.365030	-100.60
788.633098	-99.26
800.064499	-94.77
811.661600	-95.14
823.426804	-96.43
835.362547	-102.03
847.471301	-98.48
859.755574	-97.37
872.217910	-97.41
884.860890	-95.77
897.687132	-92.92
910.699294	-95.33
923.900070	-96.17
937.292194	-93.52
950.878439	-93.10
964.661620	-97.54
978.644591	-95.53
992.830248	-98.10
1007.221529	-92.35
1021.821414	-92.65
1036.632928	-86.98
1051.659138	-89.29
1066.903156	-89.40
1082.368140	-86.92
1098.057291	-87.79
1113.973860	-90.94
1130.121143	-91.15
1146.502484	-91.65
1163.121276	-93.61
1179.980961	-97.06
1197.085030	-91.96
1214.437027	-91.57
1232.040544	-91.62
1249.899229	-87.94
1268.016778	-88.78
1286.396945	-91.22
1305.043536	-90.06
1323.960414	-94.86
1343.151496	-95.57
1362.620756	-96.98
1382.372227	-100.56
1402.410000	-102.15
1422.738225	-105.26
1443.361112	-111.00
1464.282931	-118.53
1485.508017	-120.69
1507.040765	-114.99
1528.885634	-111.61
1551.047150	-110.67
1573.529901	-109.59
1596.338544	-108.72
1619.477804	-106.41
1642.952471	-109.81
1666.767409	-106.99
1690.927550	-112.24
1715.437896	-113.92
1740.303526	-116.58
1765.529587	-115.62
1791.121306	-117.00
1817.083982	-117.11
1843.422992	-118.74
1870.143792	-118.81
1897.251916	-118.80
1924.752977	-117.00
1952.652672	-120.33
1980.956779	-121.12
2009.671159	-122.33
2038.801761	-127.08
2068.354617	-124.94
2098.335847	-122.49
2128.751662	-118.79
2159.608360	-119.93
2190.912333	-117.36
2222.670063	-119.22
2254.888128	-119.82
2287.573200	-119.85
2320.732050	-122.16
2354.371544	-118.62
2388.498649	-114.04
2423.120434	-113.97
2458.244069	-112.33
2493.876828	-113.64
2530.026092	-111.76
2566.699346	-113.22
2603.904187	-115.60
2641.648320	-118.17
2679.939562	-120.92
2718.785844	-123.01
2758.195211	-121.12
2798.175824	-121.37
2838.735965	-118.23
2879.884033	-119.66
2921.628551	-120.60
2963.978165	-123.30
3006.941645	-123.14
3050.527890	-119.94
3094.745927	-119.79
3139.604913	-121.59
3185.114139	-121.17
3231.283032	-120.93
3278.121151	-121.99
3325.638200	-124.21
3373.844017	-124.59
3422.748588	-124.34
3472.362041	-125.44
3522.694651	-125.62
3573.756843	-124.64
3625.559192	-123.71
3678.112427	-123.88
3731.427432	-123.70
3785.515249	-124.29
3840.387080	-122.93
3896.054290	-124.62
3952.528408	-124.24
4009.821129	-125.49
4067.944321	-125.14
4126.910020	-124.43
4186.730440	-123.22
4247.417969	-125.37
4308.985176	-124.63
4371.444813	-123.66
4434.809815	-123.61
4499.093306	-123.28
4564.308599	-123.18
4630.469202	-122.70
4697.588817	-121.71
4765.681344	-122.27
4834.760887	-121.54
4904.841752	-120.43
4975.938453	-118.90
5048.065717	-116.66
5121.238480	-114.59
5195.471897	-116.59
5270.781343	-119.77
5347.182415	-119.85
5424.690937	-120.32
5503.322961	-121.91
5583.094772	-121.07
5664.022893	-119.43
5746.124083	-120.39
5829.415347	-120.08
5913.913936	-119.47
5999.637349	-118.10
6086.603340	-115.67
6174.829922	-116.45
6264.335367	-117.44
6355.138211	-115.54
6447.257262	-113.59
6540.711597	-116.47
6635.520573	-116.14
6731.703824	-116.76
6829.281272	-115.03
6928.273125	-116.31
7028.699885	-115.32
7130.582353	-115.63
7233.941627	-116.05
7338.799116	-117.92
7445.176537	-118.21
7553.095920	-119.43
7662.579617	-119.37
7773.650302	-118.75
7886.330981	-119.92
8000.644989	-120.56
8116.616003	-121.12
8234.268041	-120.56
8353.625470	-121.00
8474.713009	-121.23
8597.555737	-120.47
8722.179097	-120.84
8848.608897	-120.98
8976.871324	-120.81
9106.992942	-120.31
9239.000700	-120.78
9372.921937	-121.14
9508.784391	-121.66
9646.616199	-120.62
9786.445908	-121.25
9928.302478	-120.89
10072.215288	-121.39
10218.214144	-121.67
10366.329284	-122.39
10516.591384	-122.69
10669.031565	-122.61
10823.681397	-122.33
10980.572911	-122.24
11139.738600	-122.57
11301.211429	-122.71
11465.024840	-123.21
11631.212760	-122.86
11799.809609	-123.24
11970.850305	-123.41
12144.370271	-123.15
12320.405445	-122.40
12498.992285	-122.78
12680.167779	-122.36
12863.969449	-122.43
13050.435363	-122.17
13239.604139	-122.50
13431.514956	-122.55
13626.207560	-123.17
13823.722274	-122.78
14024.100004	-122.50
14227.382252	-122.01
14433.611118	-122.69
14642.829314	-122.14
14855.080172	-123.23
15070.407650	-122.77
15288.856344	-123.27
15510.471498	-122.89
15735.299010	-122.06
15963.385443	-123.30
16194.778036	-122.48
16429.524714	-123.41
16667.674093	-122.95
16909.275497	-122.89
17154.378963	-122.12
17403.035256	-122.63
17655.295873	-122.77
17911.213060	-121.96
18170.839820	-122.15
18434.229924	-122.48
18701.437922	-122.36
18972.519156	-122.00
19247.529769	-121.95
19526.526718	-122.11
19809.567786	-121.98
20096.711592	-122.34
20388.017608	-122.19
20683.546166	-122.34
20983.358471	-121.82
21287.516618	-122.11
21596.083601	-121.61
21909.123326	-121.72
22226.700627	-121.55
