	Bang-SennOn		
Frequency (Hz)	Level (dB)

11.139739	-80.15
11.301211	-80.05
11.465025	-79.96
11.631213	-79.90
11.799810	-79.87
11.970850	-79.89
12.144370	-79.96
12.320405	-80.06
12.498992	-80.21
12.680168	-80.43
12.863969	-80.66
13.050435	-80.92
13.239604	-81.19
13.431515	-81.54
13.626208	-81.83
13.823722	-82.14
14.024100	-82.50
14.227382	-82.78
14.433611	-83.08
14.642829	-83.33
14.855080	-83.53
15.070408	-83.68
15.288856	-83.72
15.510471	-83.65
15.735299	-83.46
15.963385	-83.13
16.194778	-82.68
16.429525	-82.19
16.667674	-81.60
16.909275	-81.10
17.154379	-80.65
17.403035	-80.30
17.655296	-80.10
17.911213	-80.02
18.170840	-80.07
18.434230	-80.22
18.701438	-80.39
18.972519	-80.54
19.247530	-80.60
19.526527	-80.52
19.809568	-80.30
20.096712	-79.97
20.388018	-79.55
20.683546	-79.08
20.983358	-78.57
21.287517	-78.01
21.596084	-77.40
21.909123	-76.73
22.226701	-76.03
22.548881	-75.36
22.875732	-74.78
23.207320	-74.39
23.543715	-74.23
23.884986	-74.31
24.231204	-74.62
24.582441	-75.07
24.938768	-75.59
25.300261	-75.97
25.666993	-76.19
26.039042	-76.24
26.416483	-76.19
26.799396	-76.05
27.187858	-75.76
27.581952	-75.19
27.981758	-74.33
28.387360	-73.34
28.798840	-72.44
29.216286	-71.82
29.639782	-71.56
30.069416	-71.59
30.505279	-71.74
30.947459	-71.79
31.396049	-71.67
31.851141	-71.51
32.312830	-71.56
32.781212	-71.87
33.256382	-72.09
33.738440	-71.52
34.227486	-70.10
34.723620	-68.68
35.226947	-67.73
35.737568	-67.28
36.255592	-67.08
36.781124	-66.78
37.314274	-66.31
37.855152	-66.00
38.403871	-66.20
38.960543	-67.06
39.525284	-68.35
40.098211	-69.47
40.679443	-69.92
41.269100	-69.78
41.867304	-69.42
42.474180	-69.22
43.089852	-69.45
43.714448	-69.95
44.348098	-70.27
44.990933	-70.23
45.643086	-70.18
46.304692	-70.28
46.975888	-70.31
47.656813	-69.93
48.347609	-68.99
49.048418	-67.69
49.759385	-66.52
50.480657	-65.75
51.212385	-65.25
51.954719	-64.91
52.707813	-64.63
53.471824	-64.44
54.246909	-64.61
55.033230	-65.34
55.830948	-65.48
56.640229	-64.10
57.461241	-62.54
58.294153	-60.57
59.139139	-57.86
59.996373	-56.26
60.866033	-56.66
61.748299	-57.81
62.643354	-57.54
63.551382	-56.84
64.472573	-56.27
65.407116	-55.60
66.355206	-55.50
67.317038	-56.25
68.292813	-57.08
69.282731	-56.53
70.286999	-55.52
71.305824	-56.15
72.339416	-57.48
73.387991	-56.85
74.451765	-54.27
75.530959	-51.79
76.625796	-50.66
77.736503	-51.02
78.863310	-52.58
80.006450	-54.89
81.166160	-57.30
82.342680	-58.54
83.536255	-57.55
84.747130	-54.47
85.975557	-50.41
87.221791	-49.67
88.486089	-51.64
89.768713	-54.32
91.069929	-55.85
92.390007	-56.14
93.729219	-54.46
95.087844	-51.67
96.466162	-52.11
97.864459	-55.30
99.283025	-57.95
100.722153	-58.92
102.182141	-59.65
103.663293	-57.66
105.165914	-57.13
106.690316	-56.85
108.236814	-56.52
109.805729	-59.00
111.397386	-61.84
113.012114	-63.86
114.650248	-64.33
116.312128	-61.11
117.998096	-55.92
119.708503	-51.88
121.443703	-51.86
123.204054	-53.99
124.989923	-53.01
126.801678	-53.06
128.639694	-52.13
130.504354	-48.93
132.396041	-46.20
134.315150	-47.54
136.262076	-48.37
138.237223	-48.31
140.241000	-48.97
142.273823	-48.60
144.336111	-47.33
146.428293	-47.74
148.550802	-47.64
150.704076	-45.52
152.888563	-46.20
155.104715	-45.11
157.352990	-46.53
159.633854	-49.58
161.947780	-54.04
164.295247	-54.91
166.676741	-52.81
169.092755	-51.52
171.543790	-52.16
174.030353	-52.56
176.552959	-50.98
179.112131	-51.69
181.708398	-56.02
184.342299	-56.97
187.014379	-55.76
189.725192	-57.10
192.475298	-61.25
195.265267	-61.29
198.095678	-53.27
200.967116	-46.74
203.880176	-48.12
206.835462	-50.02
209.833585	-50.23
212.875166	-50.02
215.960836	-49.80
219.091233	-45.17
222.267006	-48.33
225.488813	-45.19
228.757320	-48.82
232.073205	-51.23
235.437154	-51.96
238.849865	-56.90
242.312043	-55.40
245.824407	-59.57
249.387683	-64.34
253.002609	-69.50
256.669935	-70.57
260.390419	-67.88
264.164832	-63.73
267.993956	-61.74
271.878584	-56.75
275.819521	-55.59
279.817582	-58.06
283.873596	-54.37
287.988403	-52.92
292.162855	-51.13
296.397817	-48.11
300.694165	-47.65
305.052789	-49.70
309.474593	-48.17
313.960491	-45.79
318.511414	-47.87
323.128303	-46.14
327.812115	-45.94
332.563820	-46.93
337.384402	-52.89
342.274859	-52.86
347.236204	-54.70
352.269465	-50.21
357.375684	-50.62
362.555919	-46.66
367.811243	-46.48
373.142743	-47.36
378.551525	-52.56
384.038708	-47.48
389.605429	-49.76
395.252841	-48.23
400.982113	-49.06
406.794432	-49.23
412.691002	-50.21
418.673044	-45.94
424.741797	-46.31
430.898518	-48.09
437.144481	-46.65
443.480981	-43.45
449.909331	-47.40
456.430860	-45.47
463.046920	-48.68
469.758882	-46.77
476.568134	-50.93
483.476089	-51.88
490.484175	-54.46
497.593845	-55.51
504.806572	-57.87
512.123848	-62.91
519.547190	-71.47
527.078134	-62.62
534.718242	-60.07
542.469094	-56.26
550.332296	-56.57
558.309477	-55.10
566.402289	-54.15
574.612408	-53.56
582.941535	-56.79
591.391394	-58.93
599.963735	-56.08
608.660334	-55.40
617.482992	-57.56
626.433537	-59.06
635.513821	-58.77
644.725726	-60.74
654.071160	-64.60
663.552057	-64.23
673.170382	-65.66
682.928127	-63.02
692.827312	-63.12
702.869989	-63.44
713.058235	-61.26
723.394163	-64.08
733.879912	-63.21
744.517654	-70.47
755.309592	-68.46
766.257962	-69.62
777.365030	-71.26
788.633098	-69.66
800.064499	-63.41
811.661600	-64.26
823.426804	-64.65
835.362547	-64.36
847.471301	-65.31
859.755574	-64.47
872.217910	-64.64
884.860890	-65.04
897.687132	-62.72
910.699294	-61.89
923.900070	-64.01
937.292194	-59.99
950.878439	-61.43
964.661620	-64.52
978.644591	-61.96
992.830248	-62.38
1007.221529	-61.16
1021.821414	-59.31
1036.632928	-58.78
1051.659138	-60.88
1066.903156	-60.51
1082.368140	-58.33
1098.057291	-58.78
1113.973860	-56.28
1130.121143	-59.91
1146.502484	-60.35
1163.121276	-61.07
1179.980961	-59.04
1197.085030	-60.42
1214.437027	-61.17
1232.040544	-61.97
1249.899229	-60.98
1268.016778	-64.50
1286.396945	-66.24
1305.043536	-64.68
1323.960414	-65.71
1343.151496	-68.45
1362.620756	-65.26
1382.372227	-63.62
1402.410000	-62.25
1422.738225	-66.57
1443.361112	-63.23
1464.282931	-62.79
1485.508017	-60.69
1507.040765	-62.39
1528.885634	-62.55
1551.047150	-67.14
1573.529901	-64.10
1596.338544	-64.32
1619.477804	-66.20
1642.952471	-67.84
1666.767409	-67.65
1690.927550	-64.98
1715.437896	-66.44
1740.303526	-68.57
1765.529587	-69.45
1791.121306	-70.42
1817.083982	-71.13
1843.422992	-71.53
1870.143792	-71.42
1897.251916	-71.25
1924.752977	-72.26
1952.652672	-73.38
1980.956779	-75.52
2009.671159	-74.34
2038.801761	-71.12
2068.354617	-70.31
2098.335847	-69.86
2128.751662	-69.32
2159.608360	-71.28
2190.912333	-71.84
2222.670063	-73.43
2254.888128	-71.50
2287.573200	-70.12
2320.732050	-76.20
2354.371544	-78.20
2388.498649	-75.82
2423.120434	-75.26
2458.244069	-76.96
2493.876828	-75.01
2530.026092	-77.06
2566.699346	-78.06
2603.904187	-77.43
2641.648320	-77.69
2679.939562	-76.70
2718.785844	-81.06
2758.195211	-78.77
2798.175824	-77.87
2838.735965	-79.00
2879.884033	-80.60
2921.628551	-82.06
2963.978165	-82.54
3006.941645	-85.08
3050.527890	-83.22
3094.745927	-81.24
3139.604913	-84.51
3185.114139	-84.11
3231.283032	-83.67
3278.121151	-85.27
3325.638200	-88.70
3373.844017	-89.88
3422.748588	-87.54
3472.362041	-87.42
3522.694651	-88.88
3573.756843	-91.27
3625.559192	-91.16
3678.112427	-92.42
3731.427432	-94.66
3785.515249	-95.32
3840.387080	-87.85
3896.054290	-91.05
3952.528408	-90.09
4009.821129	-94.81
4067.944321	-92.63
4126.910020	-91.04
4186.730440	-91.22
4247.417969	-90.69
4308.985176	-93.08
4371.444813	-92.58
4434.809815	-96.11
4499.093306	-90.80
4564.308599	-92.86
4630.469202	-93.36
4697.588817	-90.95
4765.681344	-88.74
4834.760887	-89.41
4904.841752	-89.11
4975.938453	-91.29
5048.065717	-87.58
5121.238480	-91.30
5195.471897	-92.85
5270.781343	-90.64
5347.182415	-89.80
5424.690937	-86.92
5503.322961	-87.75
5583.094772	-91.26
5664.022893	-87.36
5746.124083	-89.81
5829.415347	-88.53
5913.913936	-89.51
5999.637349	-90.22
6086.603340	-87.67
6174.829922	-88.72
6264.335367	-84.92
6355.138211	-86.38
6447.257262	-84.52
6540.711597	-89.51
6635.520573	-85.45
6731.703824	-85.96
6829.281272	-87.18
6928.273125	-91.30
7028.699885	-91.16
7130.582353	-91.78
7233.941627	-92.64
7338.799116	-90.96
7445.176537	-98.51
7553.095920	-94.80
7662.579617	-97.05
7773.650302	-100.16
7886.330981	-102.97
8000.644989	-100.78
8116.616003	-103.95
8234.268041	-100.11
8353.625470	-98.95
8474.713009	-101.21
8597.555737	-100.58
8722.179097	-99.78
8848.608897	-102.46
8976.871324	-101.29
9106.992942	-100.69
9239.000700	-100.13
9372.921937	-104.49
9508.784391	-108.88
9646.616199	-109.82
9786.445908	-108.33
9928.302478	-106.16
10072.215288	-104.73
10218.214144	-107.89
10366.329284	-113.81
10516.591384	-111.50
10669.031565	-114.61
10823.681397	-115.22
10980.572911	-114.60
11139.738600	-117.94
11301.211429	-118.49
11465.024840	-119.06
11631.212760	-118.21
11799.809609	-120.33
11970.850305	-120.18
12144.370271	-117.88
12320.405445	-118.59
12498.992285	-118.93
12680.167779	-117.82
12863.969449	-118.33
13050.435363	-118.24
13239.604139	-120.06
13431.514956	-121.02
13626.207560	-121.03
13823.722274	-121.05
14024.100004	-121.86
14227.382252	-120.46
14433.611118	-120.96
14642.829314	-122.31
14855.080172	-122.19
15070.407650	-121.80
15288.856344	-122.02
15510.471498	-120.05
15735.299010	-120.28
15963.385443	-119.96
16194.778036	-120.97
16429.524714	-121.55
16667.674093	-121.22
16909.275497	-121.77
17154.378963	-121.57
17403.035256	-121.31
17655.295873	-121.45
17911.213060	-121.79
18170.839820	-121.22
18434.229924	-121.77
18701.437922	-122.37
18972.519156	-121.95
19247.529769	-121.73
19526.526718	-122.24
19809.567786	-121.32
20096.711592	-121.96
20388.017608	-121.82
20683.546166	-121.31
20983.358471	-121.45
21287.516618	-121.11
21596.083601	-121.40
21909.123326	-121.06
22226.700627	-121.04
