	Heli-SennOn		
Frequency (Hz)	Level (dB)

11.139739	-66.85
11.301211	-66.55
11.465025	-66.32
11.631213	-66.15
11.799810	-66.04
11.970850	-66.03
12.144370	-66.08
12.320405	-66.20
12.498992	-66.38
12.680168	-66.66
12.863969	-66.97
13.050435	-67.29
13.239604	-67.62
13.431515	-67.99
13.626208	-68.25
13.823722	-68.45
14.024100	-68.59
14.227382	-68.59
14.433611	-68.48
14.642829	-68.25
14.855080	-67.88
15.070408	-67.37
15.288856	-66.80
15.510471	-66.09
15.735299	-65.37
15.963385	-64.58
16.194778	-63.76
16.429525	-62.97
16.667674	-62.12
16.909275	-61.44
17.154379	-60.84
17.403035	-60.33
17.655296	-59.95
17.911213	-59.63
18.170840	-59.35
18.434230	-59.14
18.701438	-59.06
18.972519	-59.08
19.247530	-58.95
19.526527	-58.15
19.809568	-56.48
20.096712	-54.33
20.388018	-52.11
20.683546	-49.83
20.983358	-47.31
21.287517	-44.57
21.596084	-41.79
21.909123	-39.23
22.226701	-37.02
22.548881	-35.20
22.875732	-33.77
23.207320	-32.80
23.543715	-32.19
23.884986	-31.90
24.231204	-31.92
24.582441	-32.19
24.938768	-32.77
25.300261	-33.61
25.666993	-34.94
26.039042	-36.71
26.416483	-39.31
26.799396	-42.61
27.187858	-46.88
27.581952	-51.51
27.981758	-54.38
28.387360	-55.83
28.798840	-57.27
29.216286	-58.41
29.639782	-58.78
30.069416	-58.96
30.505279	-58.96
30.947459	-58.33
31.396049	-57.17
31.851141	-55.77
32.312830	-54.27
32.781212	-52.90
33.256382	-51.89
33.738440	-51.35
34.227486	-51.33
34.723620	-51.78
35.226947	-52.54
35.737568	-53.38
36.255592	-53.86
36.781124	-53.40
37.314274	-51.34
37.855152	-48.04
38.403871	-44.79
38.960543	-42.39
39.525284	-41.11
40.098211	-40.83
40.679443	-41.40
41.269100	-42.69
41.867304	-44.84
42.474180	-48.21
43.089852	-52.89
43.714448	-56.79
44.348098	-57.82
44.990933	-57.98
45.643086	-57.55
46.304692	-56.64
46.975888	-55.55
47.656813	-54.56
48.347609	-54.17
49.048418	-54.71
49.759385	-56.10
50.480657	-57.76
51.212385	-58.63
51.954719	-57.74
52.707813	-55.79
53.471824	-53.90
54.246909	-52.65
55.033230	-52.17
55.830948	-52.57
56.640229	-50.76
57.461241	-45.19
58.294153	-40.54
59.139139	-37.27
59.996373	-35.82
60.866033	-36.72
61.748299	-39.90
62.643354	-44.56
63.551382	-49.85
64.472573	-52.31
65.407116	-52.70
66.355206	-53.83
67.317038	-55.73
68.292813	-57.25
69.282731	-57.30
70.286999	-56.35
71.305824	-55.23
72.339416	-54.74
73.387991	-55.11
74.451765	-56.18
75.530959	-57.06
76.625796	-56.50
77.736503	-55.40
78.863310	-55.26
80.006450	-55.86
81.166160	-56.33
82.342680	-56.79
83.536255	-57.94
84.747130	-57.88
85.975557	-57.80
87.221791	-57.63
88.486089	-57.74
89.768713	-58.51
91.069929	-58.43
92.390007	-58.32
93.729219	-58.91
95.087844	-56.90
96.466162	-52.40
97.864459	-43.82
99.283025	-37.81
100.722153	-37.69
102.182141	-42.49
103.663293	-54.82
105.165914	-63.34
106.690316	-64.00
108.236814	-64.07
109.805729	-63.25
111.397386	-65.18
113.012114	-64.98
114.650248	-62.24
116.312128	-62.03
117.998096	-62.93
119.708503	-57.54
121.443703	-54.80
123.204054	-56.01
124.989923	-56.94
126.801678	-56.73
128.639694	-59.26
130.504354	-59.52
132.396041	-56.38
134.315150	-55.48
136.262076	-57.09
138.237223	-60.19
140.241000	-56.86
142.273823	-55.65
144.336111	-58.91
146.428293	-55.84
148.550802	-55.20
150.704076	-52.64
152.888563	-53.72
155.104715	-57.75
157.352990	-57.96
159.633854	-60.59
161.947780	-58.77
164.295247	-56.62
166.676741	-56.22
169.092755	-57.57
171.543790	-59.71
174.030353	-61.53
176.552959	-53.59
179.112131	-42.25
181.708398	-43.86
184.342299	-59.52
187.014379	-63.36
189.725192	-62.33
192.475298	-64.47
195.265267	-61.29
198.095678	-60.93
200.967116	-59.83
203.880176	-57.39
206.835462	-61.76
209.833585	-55.66
212.875166	-55.77
215.960836	-57.53
219.091233	-58.13
222.267006	-58.36
225.488813	-60.49
228.757320	-59.07
232.073205	-58.36
235.437154	-65.48
238.849865	-62.64
242.312043	-66.53
245.824407	-62.58
249.387683	-61.20
253.002609	-63.86
256.669935	-63.70
260.390419	-63.28
264.164832	-62.18
267.993956	-61.35
271.878584	-58.59
