	Silence-SennOn		
Frequency (Hz)	Level (dB)

11.139739	-94.55
11.301211	-94.29
11.465025	-94.01
11.631213	-93.71
11.799810	-93.38
11.970850	-93.06
12.144370	-92.75
12.320405	-92.44
12.498992	-92.13
12.680168	-91.79
12.863969	-91.47
13.050435	-91.16
13.239604	-90.85
13.431515	-90.51
13.626208	-90.21
13.823722	-89.92
14.024100	-89.62
14.227382	-89.38
14.433611	-89.14
14.642829	-88.95
14.855080	-88.79
15.070408	-88.67
15.288856	-88.60
15.510471	-88.56
15.735299	-88.57
15.963385	-88.62
16.194778	-88.74
16.429525	-88.89
16.667674	-89.12
16.909275	-89.35
17.154379	-89.61
17.403035	-89.85
17.655296	-89.99
17.911213	-90.03
18.170840	-89.96
18.434230	-89.79
18.701438	-89.59
18.972519	-89.39
19.247530	-89.20
19.526527	-88.98
19.809568	-88.64
20.096712	-88.06
20.388018	-87.20
20.683546	-86.12
20.983358	-84.97
21.287517	-83.89
21.596084	-82.94
21.909123	-82.17
22.226701	-81.56
22.548881	-81.08
22.875732	-80.66
23.207320	-80.30
23.543715	-79.93
23.884986	-79.52
24.231204	-79.06
24.582441	-78.53
24.938768	-77.87
25.300261	-77.19
25.666993	-76.50
26.039042	-75.96
26.416483	-75.60
26.799396	-75.46
27.187858	-75.55
27.581952	-75.87
27.981758	-76.41
28.387360	-77.22
28.798840	-78.35
29.216286	-79.81
29.639782	-81.44
30.069416	-83.04
30.505279	-84.34
30.947459	-85.09
31.396049	-85.14
31.851141	-84.58
32.312830	-83.67
32.781212	-82.74
33.256382	-82.03
33.738440	-81.74
34.227486	-81.97
34.723620	-82.64
35.226947	-83.49
35.737568	-84.14
36.255592	-84.51
36.781124	-84.85
37.314274	-85.12
37.855152	-84.40
38.403871	-82.42
38.960543	-80.24
39.525284	-78.64
40.098211	-77.67
40.679443	-77.32
41.269100	-77.71
41.867304	-79.06
42.474180	-81.29
43.089852	-83.48
43.714448	-83.95
44.348098	-82.86
44.990933	-81.40
45.643086	-80.25
46.304692	-79.55
46.975888	-79.43
47.656813	-79.92
48.347609	-80.48
49.048418	-80.28
49.759385	-79.49
50.480657	-78.67
51.212385	-77.89
51.954719	-77.12
52.707813	-76.48
53.471824	-76.12
54.246909	-76.22
55.033230	-76.89
55.830948	-77.56
56.640229	-77.27
57.461241	-76.03
58.294153	-74.47
59.139139	-73.10
59.996373	-72.52
60.866033	-73.35
61.748299	-75.68
62.643354	-79.43
63.551382	-84.79
64.472573	-89.28
65.407116	-90.53
66.355206	-88.76
67.317038	-86.76
68.292813	-86.67
69.282731	-88.18
70.286999	-90.81
71.305824	-93.02
72.339416	-93.50
73.387991	-93.16
74.451765	-92.70
75.530959	-92.59
76.625796	-93.42
77.736503	-95.57
78.863310	-96.69
80.006450	-93.78
81.166160	-92.42
82.342680	-93.62
83.536255	-96.53
84.747130	-98.55
85.975557	-97.69
87.221791	-96.98
88.486089	-97.64
89.768713	-99.73
91.069929	-102.80
92.390007	-104.17
93.729219	-104.40
95.087844	-105.73
96.466162	-105.31
97.864459	-103.60
99.283025	-104.02
100.722153	-104.34
102.182141	-102.94
103.663293	-103.48
105.165914	-101.50
106.690316	-98.86
108.236814	-99.01
109.805729	-98.87
111.397386	-98.09
113.012114	-99.22
114.650248	-98.33
116.312128	-96.61
117.998096	-96.45
119.708503	-95.41
121.443703	-95.01
123.204054	-96.38
124.989923	-97.68
126.801678	-99.39
128.639694	-101.87
130.504354	-104.16
132.396041	-105.31
134.315150	-104.18
136.262076	-105.20
138.237223	-108.06
140.241000	-106.86
142.273823	-105.09
144.336111	-106.13
146.428293	-109.84
148.550802	-111.33
150.704076	-112.26
152.888563	-110.49
155.104715	-109.04
157.352990	-107.74
159.633854	-107.32
161.947780	-108.92
164.295247	-111.46
166.676741	-108.82
169.092755	-109.03
171.543790	-107.01
174.030353	-107.09
176.552959	-109.28
179.112131	-111.22
181.708398	-110.44
184.342299	-105.60
187.014379	-103.78
189.725192	-111.12
192.475298	-111.68
195.265267	-107.60
198.095678	-108.00
200.967116	-106.11
203.880176	-106.05
206.835462	-106.68
209.833585	-105.47
212.875166	-109.88
215.960836	-108.15
219.091233	-108.67
222.267006	-104.27
225.488813	-102.98
228.757320	-103.37
232.073205	-104.61
235.437154	-103.78
238.849865	-109.46
242.312043	-105.91
245.824407	-106.16
249.387683	-103.14
253.002609	-105.63
256.669935	-104.47
260.390419	-108.73
264.164832	-108.73
267.993956	-110.24
271.878584	-115.66
275.819521	-116.69
279.817582	-116.07
283.873596	-113.89
287.988403	-117.14
292.162855	-116.16
296.397817	-113.99
300.694165	-109.93
305.052789	-114.42
309.474593	-112.74
313.960491	-113.37
318.511414	-114.94
323.128303	-113.40
327.812115	-110.30
332.563820	-110.32
337.384402	-113.56
342.274859	-111.76
347.236204	-112.63
352.269465	-110.80
357.375684	-109.13
362.555919	-109.98
367.811243	-109.68
373.142743	-108.59
378.551525	-112.59
384.038708	-110.14
389.605429	-107.67
395.252841	-112.54
400.982113	-110.90
406.794432	-116.77
412.691002	-113.25
418.673044	-110.39
424.741797	-108.00
430.898518	-107.30
437.144481	-103.05
443.480981	-100.50
449.909331	-106.75
456.430860	-102.51
463.046920	-102.84
469.758882	-105.57
476.568134	-105.17
483.476089	-103.37
490.484175	-105.50
497.593845	-106.01
504.806572	-111.07
512.123848	-112.49
519.547190	-110.25
527.078134	-109.35
534.718242	-110.24
542.469094	-115.34
550.332296	-114.91
558.309477	-116.77
566.402289	-112.76
574.612408	-112.71
582.941535	-114.77
591.391394	-116.78
599.963735	-113.12
608.660334	-111.56
617.482992	-111.41
626.433537	-113.60
635.513821	-112.13
644.725726	-109.99
654.071160	-110.36
663.552057	-114.27
673.170382	-113.13
682.928127	-110.77
692.827312	-113.88
702.869989	-110.66
713.058235	-111.35
723.394163	-112.39
733.879912	-110.40
744.517654	-112.15
755.309592	-112.90
766.257962	-116.36
777.365030	-112.67
788.633098	-108.89
800.064499	-107.34
811.661600	-107.57
823.426804	-108.45
835.362547	-112.72
847.471301	-110.42
859.755574	-109.92
872.217910	-108.47
884.860890	-110.82
897.687132	-107.90
910.699294	-108.62
923.900070	-111.76
937.292194	-109.17
950.878439	-107.33
964.661620	-109.23
978.644591	-109.19
992.830248	-110.62
1007.221529	-108.13
1021.821414	-105.87
1036.632928	-101.88
1051.659138	-103.41
1066.903156	-102.00
1082.368140	-100.17
1098.057291	-99.83
1113.973860	-101.21
1130.121143	-103.14
1146.502484	-104.31
1163.121276	-106.29
1179.980961	-105.75
1197.085030	-101.34
1214.437027	-101.09
1232.040544	-99.42
1249.899229	-96.88
1268.016778	-98.24
1286.396945	-98.01
1305.043536	-98.53
1323.960414	-100.93
1343.151496	-100.86
1362.620756	-102.23
1382.372227	-105.11
1402.410000	-107.49
1422.738225	-108.28
1443.361112	-109.97
1464.282931	-111.88
1485.508017	-112.28
1507.040765	-111.72
1528.885634	-109.47
1551.047150	-108.38
1573.529901	-108.51
1596.338544	-107.70
1619.477804	-106.55
1642.952471	-110.45
1666.767409	-107.80
1690.927550	-108.85
1715.437896	-111.10
1740.303526	-112.31
1765.529587	-110.83
1791.121306	-110.77
1817.083982	-113.39
1843.422992	-111.86
1870.143792	-110.59
1897.251916	-112.26
1924.752977	-113.57
1952.652672	-112.98
1980.956779	-114.57
2009.671159	-113.81
2038.801761	-113.83
2068.354617	-112.95
2098.335847	-113.81
2128.751662	-114.00
2159.608360	-112.38
2190.912333	-111.62
2222.670063	-111.94
2254.888128	-113.32
2287.573200	-113.46
2320.732050	-114.09
2354.371544	-112.81
2388.498649	-112.79
2423.120434	-113.19
2458.244069	-114.57
2493.876828	-113.93
2530.026092	-112.35
2566.699346	-111.78
2603.904187	-114.60
2641.648320	-115.18
2679.939562	-116.49
2718.785844	-116.65
