	Bang-SonyInEar-Off		
Frequency (Hz)	Level (dB)

11.139739	-80.76
11.301211	-81.03
11.465025	-81.29
11.631213	-81.52
11.799810	-81.73
11.970850	-81.85
12.144370	-81.89
12.320405	-81.84
12.498992	-81.70
12.680168	-81.43
12.863969	-81.09
13.050435	-80.69
13.239604	-80.23
13.431515	-79.66
13.626208	-79.14
13.823722	-78.61
14.024100	-78.00
14.227382	-77.49
14.433611	-76.94
14.642829	-76.42
14.855080	-75.93
15.070408	-75.44
15.288856	-75.03
15.510471	-74.62
15.735299	-74.28
15.963385	-73.99
16.194778	-73.76
16.429525	-73.59
16.667674	-73.46
16.909275	-73.38
17.154379	-73.31
17.403035	-73.25
17.655296	-73.18
17.911213	-73.08
18.170840	-72.95
18.434230	-72.76
18.701438	-72.51
18.972519	-72.21
19.247530	-71.85
19.526527	-71.45
19.809568	-71.05
20.096712	-70.69
20.388018	-70.40
20.683546	-70.20
20.983358	-70.08
21.287517	-70.02
21.596084	-69.97
21.909123	-69.86
22.226701	-69.67
22.548881	-69.39
22.875732	-69.07
23.207320	-68.76
23.543715	-68.49
23.884986	-68.29
24.231204	-68.17
24.582441	-68.13
24.938768	-68.16
25.300261	-68.27
25.666993	-68.48
26.039042	-68.73
26.416483	-69.05
26.799396	-69.36
27.187858	-69.61
27.581952	-69.69
27.981758	-69.47
28.387360	-68.98
28.798840	-68.35
29.216286	-67.73
29.639782	-67.23
30.069416	-66.85
30.505279	-66.57
30.947459	-66.35
31.396049	-66.18
31.851141	-66.00
32.312830	-65.74
32.781212	-65.36
33.256382	-64.83
33.738440	-64.14
34.227486	-63.23
34.723620	-62.03
35.226947	-60.51
35.737568	-58.94
36.255592	-57.66
36.781124	-56.81
37.314274	-56.42
37.855152	-56.45
38.403871	-56.97
38.960543	-58.03
39.525284	-59.48
40.098211	-60.77
40.679443	-61.34
41.269100	-61.14
41.867304	-60.59
42.474180	-60.20
43.089852	-60.29
43.714448	-60.73
44.348098	-61.12
44.990933	-61.31
45.643086	-61.52
46.304692	-61.90
46.975888	-62.12
47.656813	-61.67
48.347609	-60.36
49.048418	-58.53
49.759385	-56.59
50.480657	-54.91
51.212385	-54.09
51.954719	-54.47
52.707813	-55.44
53.471824	-55.40
54.246909	-54.38
55.033230	-53.36
55.830948	-52.62
56.640229	-52.15
57.461241	-51.91
58.294153	-51.90
59.139139	-52.17
59.996373	-52.16
60.866033	-51.15
61.748299	-50.34
62.643354	-50.28
63.551382	-49.85
64.472573	-47.76
65.407116	-45.10
66.355206	-43.61
67.317038	-43.50
68.292813	-44.85
69.282731	-47.27
70.286999	-49.06
71.305824	-49.10
72.339416	-49.09
73.387991	-49.06
74.451765	-46.97
75.530959	-44.04
76.625796	-42.16
77.736503	-41.66
78.863310	-42.31
80.006450	-42.95
81.166160	-43.38
82.342680	-43.55
83.536255	-43.20
84.747130	-43.59
85.975557	-42.58
87.221791	-40.58
88.486089	-38.94
89.768713	-38.44
91.069929	-39.45
92.390007	-40.31
93.729219	-39.55
95.087844	-40.49
96.466162	-43.46
97.864459	-45.86
99.283025	-46.42
100.722153	-47.77
102.182141	-49.43
103.663293	-50.48
105.165914	-52.39
106.690316	-53.63
108.236814	-54.19
109.805729	-52.65
111.397386	-52.70
113.012114	-55.50
114.650248	-55.86
116.312128	-52.62
117.998096	-47.63
119.708503	-41.50
121.443703	-39.29
123.204054	-37.67
124.989923	-33.87
126.801678	-33.92
128.639694	-36.07
130.504354	-34.76
132.396041	-35.19
134.315150	-38.32
136.262076	-38.20
