	Heli-SonyInEar-Off		
Frequency (Hz)	Level (dB)

11.139739	-65.28
11.301211	-64.97
11.465025	-64.71
11.631213	-64.50
11.799810	-64.34
11.970850	-64.24
12.144370	-64.20
12.320405	-64.21
12.498992	-64.26
12.680168	-64.39
12.863969	-64.55
13.050435	-64.74
13.239604	-64.97
13.431515	-65.29
13.626208	-65.57
13.823722	-65.89
14.024100	-66.28
14.227382	-66.60
14.433611	-66.93
14.642829	-67.18
14.855080	-67.31
15.070408	-67.32
15.288856	-67.20
15.510471	-67.00
15.735299	-66.80
15.963385	-66.60
16.194778	-66.43
16.429525	-66.27
16.667674	-66.09
16.909275	-65.93
17.154379	-65.78
17.403035	-65.62
17.655296	-65.34
17.911213	-64.81
18.170840	-64.02
18.434230	-63.14
18.701438	-62.44
18.972519	-61.79
19.247530	-60.77
19.526527	-58.97
19.809568	-56.58
20.096712	-54.12
20.388018	-51.81
20.683546	-49.53
20.983358	-47.06
21.287517	-44.34
21.596084	-41.58
21.909123	-39.02
22.226701	-36.82
22.548881	-35.00
22.875732	-33.57
23.207320	-32.59
23.543715	-31.97
23.884986	-31.67
24.231204	-31.68
24.582441	-31.94
24.938768	-32.51
25.300261	-33.34
25.666993	-34.66
26.039042	-36.43
26.416483	-39.02
26.799396	-42.33
27.187858	-46.62
27.581952	-51.41
27.981758	-54.62
28.387360	-56.44
28.798840	-58.30
29.216286	-59.64
29.639782	-59.73
30.069416	-59.58
30.505279	-59.57
30.947459	-59.49
31.396049	-59.31
31.851141	-58.99
32.312830	-58.30
32.781212	-57.35
33.256382	-56.50
33.738440	-56.05
34.227486	-56.08
34.723620	-56.58
35.226947	-57.43
35.737568	-58.07
36.255592	-57.12
36.781124	-54.44
37.314274	-50.85
37.855152	-47.12
38.403871	-43.86
38.960543	-41.52
39.525284	-40.29
40.098211	-40.07
40.679443	-40.70
41.269100	-42.08
41.867304	-44.34
42.474180	-47.90
43.089852	-52.91
43.714448	-56.31
44.348098	-55.80
44.990933	-55.04
45.643086	-54.79
46.304692	-55.16
46.975888	-56.09
47.656813	-57.43
48.347609	-58.48
49.048418	-58.19
49.759385	-57.14
50.480657	-56.32
51.212385	-55.71
51.954719	-55.12
52.707813	-54.81
53.471824	-55.02
54.246909	-55.32
55.033230	-55.04
55.830948	-54.84
56.640229	-51.53
57.461241	-45.48
58.294153	-40.71
59.139139	-37.28
59.996373	-35.72
60.866033	-36.54
61.748299	-39.54
62.643354	-43.93
63.551382	-49.21
64.472573	-53.08
65.407116	-54.00
66.355206	-54.25
67.317038	-54.66
68.292813	-55.48
69.282731	-56.00
70.286999	-55.79
71.305824	-55.78
72.339416	-55.71
73.387991	-55.29
74.451765	-55.10
75.530959	-56.17
76.625796	-58.57
77.736503	-61.23
78.863310	-63.45
80.006450	-63.58
81.166160	-61.22
82.342680	-59.24
83.536255	-58.49
84.747130	-58.12
85.975557	-57.54
87.221791	-57.78
88.486089	-59.09
89.768713	-60.67
91.069929	-60.34
92.390007	-58.04
93.729219	-57.90
95.087844	-60.34
96.466162	-55.15
97.864459	-44.97
99.283025	-38.97
100.722153	-38.93
102.182141	-43.83
103.663293	-56.10
105.165914	-63.08
106.690316	-63.56
108.236814	-63.03
109.805729	-62.34
111.397386	-62.15
113.012114	-63.49
114.650248	-66.14
116.312128	-65.44
117.998096	-60.73
119.708503	-58.86
121.443703	-58.16
123.204054	-57.20
124.989923	-59.42
126.801678	-63.77
128.639694	-60.77
130.504354	-58.38
132.396041	-58.80
134.315150	-59.43
136.262076	-59.52
138.237223	-59.58
140.241000	-58.47
142.273823	-57.37
144.336111	-58.96
146.428293	-60.16
148.550802	-58.90
150.704076	-59.68
152.888563	-58.15
155.104715	-56.73
157.352990	-58.82
159.633854	-58.22
161.947780	-56.31
164.295247	-57.30
166.676741	-59.22
169.092755	-57.85
171.543790	-56.88
174.030353	-59.45
176.552959	-54.50
179.112131	-42.69
181.708398	-44.24
184.342299	-56.95
187.014379	-64.74
189.725192	-66.63
192.475298	-63.76
195.265267	-62.99
198.095678	-61.03
200.967116	-57.68
203.880176	-56.45
206.835462	-55.43
209.833585	-57.74
212.875166	-58.07
215.960836	-58.73
219.091233	-59.41
222.267006	-58.58
225.488813	-58.58
228.757320	-60.52
232.073205	-60.08
235.437154	-59.93
238.849865	-59.46
242.312043	-61.75
245.824407	-62.16
249.387683	-64.13
253.002609	-65.97
256.669935	-63.78
260.390419	-62.40
264.164832	-61.88
267.993956	-59.86
271.878584	-60.62
275.819521	-61.15
279.817582	-61.62
283.873596	-64.04
287.988403	-62.62
292.162855	-60.74
296.397817	-61.33
300.694165	-62.57
305.052789	-61.18
309.474593	-59.32
313.960491	-62.00
318.511414	-60.98
323.128303	-59.41
327.812115	-57.60
332.563820	-57.62
337.384402	-41.86
342.274859	-40.40
347.236204	-60.80
352.269465	-64.18
357.375684	-62.59
362.555919	-62.50
367.811243	-63.08
373.142743	-61.06
378.551525	-59.52
384.038708	-63.68
389.605429	-63.31
395.252841	-62.22
400.982113	-60.08
406.794432	-63.54
412.691002	-63.40
418.673044	-64.13
424.741797	-63.05
430.898518	-61.58
437.144481	-58.79
443.480981	-61.75
449.909331	-60.73
456.430860	-62.29
463.046920	-61.26
469.758882	-60.90
476.568134	-63.07
483.476089	-67.13
490.484175	-63.16
497.593845	-65.43
504.806572	-63.29
512.123848	-64.60
519.547190	-65.94
527.078134	-64.99
534.718242	-63.27
542.469094	-64.31
550.332296	-63.12
558.309477	-66.22
566.402289	-62.39
574.612408	-66.28
582.941535	-68.74
591.391394	-68.20
599.963735	-44.42
608.660334	-69.98
617.482992	-69.99
626.433537	-68.28
635.513821	-69.03
644.725726	-67.71
654.071160	-66.49
663.552057	-67.30
673.170382	-69.58
682.928127	-69.05
692.827312	-68.14
702.869989	-69.84
713.058235	-71.12
723.394163	-71.58
733.879912	-72.47
744.517654	-72.19
755.309592	-70.44
766.257962	-73.39
777.365030	-70.35
788.633098	-71.12
800.064499	-70.14
811.661600	-70.28
823.426804	-68.13
835.362547	-71.11
847.471301	-70.50
859.755574	-72.31
872.217910	-71.57
884.860890	-71.70
897.687132	-72.55
910.699294	-75.21
923.900070	-71.86
937.292194	-73.03
950.878439	-71.21
964.661620	-73.85
978.644591	-74.31
992.830248	-48.05
1007.221529	-47.63
1021.821414	-71.12
1036.632928	-71.46
1051.659138	-71.43
1066.903156	-72.86
1082.368140	-72.89
1098.057291	-71.46
1113.973860	-71.28
1130.121143	-72.65
1146.502484	-73.74
1163.121276	-75.31
1179.980961	-76.61
1197.085030	-75.03
1214.437027	-75.94
1232.040544	-77.05
1249.899229	-75.40
1268.016778	-76.51
1286.396945	-78.37
1305.043536	-77.51
1323.960414	-77.27
1343.151496	-76.73
1362.620756	-76.24
1382.372227	-76.96
1402.410000	-79.14
1422.738225	-78.99
1443.361112	-78.47
1464.282931	-79.53
1485.508017	-78.39
1507.040765	-77.96
1528.885634	-77.13
1551.047150	-76.44
1573.529901	-77.97
1596.338544	-78.79
1619.477804	-79.65
1642.952471	-80.94
1666.767409	-81.61
1690.927550	-81.08
1715.437896	-82.30
1740.303526	-84.61
1765.529587	-82.59
1791.121306	-80.29
1817.083982	-80.11
1843.422992	-80.67
1870.143792	-80.15
1897.251916	-56.91
1924.752977	-81.35
1952.652672	-81.37
1980.956779	-82.66
2009.671159	-83.21
2038.801761	-82.70
2068.354617	-82.22
2098.335847	-82.50
2128.751662	-83.37
2159.608360	-82.40
2190.912333	-81.99
2222.670063	-80.62
2254.888128	-80.09
2287.573200	-80.49
2320.732050	-79.16
2354.371544	-79.98
2388.498649	-78.93
2423.120434	-78.96
2458.244069	-79.31
2493.876828	-77.84
2530.026092	-76.92
2566.699346	-77.71
2603.904187	-75.88
2641.648320	-77.37
2679.939562	-75.95
2718.785844	-75.92
2758.195211	-75.20
2798.175824	-74.98
2838.735965	-74.51
2879.884033	-75.58
2921.628551	-76.26
2963.978165	-77.56
3006.941645	-75.70
3050.527890	-75.89
3094.745927	-77.26
3139.604913	-77.14
3185.114139	-76.39
3231.283032	-75.81
3278.121151	-74.88
3325.638200	-76.01
3373.844017	-76.06
3422.748588	-76.95
3472.362041	-69.61
3522.694651	-52.10
3573.756843	-76.06
3625.559192	-77.67
3678.112427	-78.06
3731.427432	-75.29
3785.515249	-75.96
3840.387080	-77.04
3896.054290	-76.39
3952.528408	-77.75
4009.821129	-77.35
4067.944321	-77.03
4126.910020	-77.90
4186.730440	-78.20
4247.417969	-77.73
4308.985176	-78.33
4371.444813	-80.80
4434.809815	-80.95
4499.093306	-50.66
4564.308599	-80.89
4630.469202	-81.61
4697.588817	-84.59
4765.681344	-83.84
4834.760887	-82.75
4904.841752	-83.49
4975.938453	-83.97
5048.065717	-83.84
5121.238480	-83.96
5195.471897	-84.18
5270.781343	-85.55
5347.182415	-88.25
5424.690937	-89.75
5503.322961	-89.34
5583.094772	-88.74
5664.022893	-88.19
5746.124083	-89.36
5829.415347	-91.05
5913.913936	-90.72
5999.637349	-89.82
6086.603340	-89.16
6174.829922	-89.32
6264.335367	-90.63
6355.138211	-91.35
6447.257262	-91.67
6540.711597	-91.06
6635.520573	-93.14
6731.703824	-94.71
6829.281272	-95.85
6928.273125	-95.67
7028.699885	-95.26
7130.582353	-96.11
7233.941627	-99.58
7338.799116	-100.10
7445.176537	-101.58
7553.095920	-99.58
7662.579617	-100.82
7773.650302	-101.53
7886.330981	-100.61
8000.644989	-102.03
8116.616003	-103.05
8234.268041	-103.78
8353.625470	-103.66
8474.713009	-105.18
8597.555737	-104.36
8722.179097	-103.75
8848.608897	-103.38
8976.871324	-106.92
9106.992942	-107.96
9239.000700	-106.29
9372.921937	-105.57
9508.784391	-105.44
9646.616199	-105.70
9786.445908	-105.13
9928.302478	-106.56
10072.215288	-107.50
10218.214144	-105.62
10366.329284	-107.01
10516.591384	-106.98
10669.031565	-107.29
10823.681397	-109.08
10980.572911	-109.08
11139.738600	-108.60
11301.211429	-109.37
11465.024840	-110.04
11631.212760	-110.17
11799.809609	-111.55
11970.850305	-111.51
12144.370271	-111.68
12320.405445	-113.02
12498.992285	-114.03
12680.167779	-113.96
12863.969449	-115.36
13050.435363	-115.68
13239.604139	-115.74
13431.514956	-117.00
13626.207560	-118.24
13823.722274	-119.12
14024.100004	-118.78
14227.382252	-115.82
14433.611118	-107.49
14642.829314	-112.04
14855.080172	-115.23
15070.407650	-118.76
15288.856344	-121.39
15510.471498	-121.19
15735.299010	-121.45
15963.385443	-121.81
16194.778036	-121.48
16429.524714	-121.23
16667.674093	-121.12
16909.275497	-121.27
17154.378963	-120.64
17403.035256	-120.89
17655.295873	-120.54
17911.213060	-120.80
18170.839820	-120.96
18434.229924	-120.29
18701.437922	-119.87
18972.519156	-119.77
19247.529769	-119.04
19526.526718	-119.92
19809.567786	-120.56
20096.711592	-121.63
20388.017608	-121.92
20683.546166	-121.09
20983.358471	-120.96
21287.516618	-121.38
21596.083601	-121.23
21909.123326	-121.24
22226.700627	-121.36
