	Silence-SonyInEar-Off		
Frequency (Hz)	Level (dB)

11.139739	-90.22
11.301211	-89.84
11.465025	-89.49
11.631213	-89.20
11.799810	-88.93
11.970850	-88.73
12.144370	-88.57
12.320405	-88.45
12.498992	-88.37
12.680168	-88.32
12.863969	-88.31
13.050435	-88.32
13.239604	-88.35
13.431515	-88.43
13.626208	-88.50
13.823722	-88.58
14.024100	-88.66
14.227382	-88.68
14.433611	-88.64
14.642829	-88.52
14.855080	-88.31
15.070408	-88.00
15.288856	-87.65
15.510471	-87.25
15.735299	-86.88
15.963385	-86.52
16.194778	-86.21
16.429525	-85.96
16.667674	-85.75
16.909275	-85.61
17.154379	-85.52
17.403035	-85.49
17.655296	-85.53
17.911213	-85.63
18.170840	-85.79
18.434230	-85.99
18.701438	-86.18
18.972519	-86.31
19.247530	-86.36
19.526527	-86.29
19.809568	-86.15
20.096712	-86.00
20.388018	-85.88
20.683546	-85.86
20.983358	-85.95
21.287517	-86.14
21.596084	-86.40
21.909123	-86.69
22.226701	-86.94
22.548881	-87.14
22.875732	-87.29
23.207320	-87.41
23.543715	-87.56
23.884986	-87.72
24.231204	-87.82
24.582441	-87.73
24.938768	-87.29
25.300261	-86.56
25.666993	-85.60
26.039042	-84.66
26.416483	-83.71
26.799396	-82.91
27.187858	-82.22
27.581952	-81.69
27.981758	-81.35
28.387360	-81.18
28.798840	-81.14
29.216286	-81.17
29.639782	-81.21
30.069416	-81.22
30.505279	-81.17
30.947459	-81.04
31.396049	-80.85
31.851141	-80.67
32.312830	-80.61
32.781212	-80.73
33.256382	-81.07
33.738440	-81.68
34.227486	-82.63
34.723620	-83.81
35.226947	-84.90
35.737568	-85.23
36.255592	-84.78
36.781124	-84.17
37.314274	-83.74
37.855152	-83.60
38.403871	-83.81
38.960543	-84.36
39.525284	-85.00
40.098211	-85.35
40.679443	-85.47
41.269100	-85.83
41.867304	-86.72
42.474180	-88.02
43.089852	-89.18
43.714448	-89.45
44.348098	-88.67
44.990933	-87.48
45.643086	-86.64
46.304692	-86.07
46.975888	-85.14
47.656813	-83.68
48.347609	-82.25
49.048418	-81.16
49.759385	-80.61
50.480657	-80.76
51.212385	-81.44
51.954719	-82.25
52.707813	-82.90
53.471824	-83.11
54.246909	-82.10
55.033230	-80.15
55.830948	-78.70
56.640229	-78.13
57.461241	-78.54
58.294153	-79.92
59.139139	-81.31
59.996373	-81.75
60.866033	-81.96
61.748299	-82.70
62.643354	-84.47
63.551382	-86.60
64.472573	-88.02
65.407116	-89.69
66.355206	-91.89
67.317038	-93.70
68.292813	-94.75
69.282731	-95.46
70.286999	-96.30
71.305824	-96.91
72.339416	-96.78
73.387991	-95.81
74.451765	-93.07
75.530959	-89.16
76.625796	-87.99
77.736503	-89.93
78.863310	-94.74
80.006450	-103.20
81.166160	-103.79
82.342680	-102.08
83.536255	-102.28
84.747130	-103.70
85.975557	-105.50
87.221791	-107.59
88.486089	-109.03
89.768713	-108.09
91.069929	-106.70
92.390007	-104.66
93.729219	-101.79
95.087844	-100.16
96.466162	-101.97
97.864459	-104.55
99.283025	-104.61
100.722153	-105.46
102.182141	-105.83
103.663293	-106.25
105.165914	-106.10
106.690316	-104.74
108.236814	-104.75
109.805729	-103.47
111.397386	-102.93
113.012114	-106.33
114.650248	-106.91
116.312128	-104.06
117.998096	-102.14
119.708503	-102.17
121.443703	-104.21
123.204054	-104.51
124.989923	-103.34
126.801678	-100.61
128.639694	-99.55
130.504354	-102.47
132.396041	-107.99
134.315150	-110.18
136.262076	-108.58
138.237223	-107.43
140.241000	-107.41
142.273823	-103.86
144.336111	-106.13
146.428293	-108.89
148.550802	-107.61
150.704076	-107.26
152.888563	-107.76
155.104715	-109.32
157.352990	-110.56
159.633854	-111.02
161.947780	-111.74
164.295247	-104.04
166.676741	-102.92
169.092755	-103.46
171.543790	-102.18
174.030353	-104.16
176.552959	-110.10
179.112131	-112.46
181.708398	-113.61
184.342299	-103.99
187.014379	-103.56
189.725192	-108.52
192.475298	-111.95
195.265267	-116.82
198.095678	-112.33
200.967116	-111.73
203.880176	-109.42
206.835462	-103.92
209.833585	-99.19
212.875166	-104.40
215.960836	-112.01
219.091233	-111.27
222.267006	-108.91
225.488813	-107.16
228.757320	-109.80
232.073205	-108.37
235.437154	-110.30
238.849865	-108.17
242.312043	-107.48
245.824407	-108.96
249.387683	-111.67
253.002609	-115.09
256.669935	-112.40
260.390419	-108.67
264.164832	-115.14
267.993956	-118.09
271.878584	-121.22
275.819521	-118.78
279.817582	-118.96
283.873596	-120.99
287.988403	-117.39
292.162855	-116.60
296.397817	-115.81
300.694165	-109.29
305.052789	-111.50
309.474593	-112.24
313.960491	-111.36
318.511414	-108.65
323.128303	-107.87
327.812115	-109.06
332.563820	-107.42
337.384402	-108.41
342.274859	-104.29
347.236204	-103.97
352.269465	-103.16
357.375684	-102.78
362.555919	-97.78
367.811243	-103.81
373.142743	-101.55
378.551525	-105.44
384.038708	-103.61
389.605429	-100.90
395.252841	-108.20
400.982113	-108.00
406.794432	-109.33
412.691002	-108.10
418.673044	-105.98
424.741797	-105.29
430.898518	-99.79
437.144481	-97.03
443.480981	-97.02
449.909331	-99.17
456.430860	-99.05
463.046920	-97.58
469.758882	-97.40
476.568134	-94.13
483.476089	-98.70
490.484175	-99.04
497.593845	-102.78
504.806572	-104.66
512.123848	-104.72
519.547190	-102.94
527.078134	-101.81
534.718242	-104.78
542.469094	-112.70
550.332296	-111.79
558.309477	-111.93
566.402289	-110.24
574.612408	-112.33
582.941535	-114.86
591.391394	-109.35
599.963735	-102.89
608.660334	-101.54
617.482992	-105.08
626.433537	-106.61
635.513821	-104.63
644.725726	-105.32
654.071160	-105.42
663.552057	-104.14
673.170382	-109.08
682.928127	-109.82
692.827312	-111.52
702.869989	-106.67
713.058235	-105.11
723.394163	-104.70
733.879912	-101.97
744.517654	-102.18
755.309592	-106.60
766.257962	-104.50
777.365030	-102.95
788.633098	-102.39
800.064499	-97.80
811.661600	-98.39
823.426804	-99.47
835.362547	-105.22
847.471301	-103.22
859.755574	-101.86
872.217910	-102.81
884.860890	-101.87
897.687132	-99.84
910.699294	-102.90
923.900070	-103.13
937.292194	-99.85
950.878439	-99.88
964.661620	-103.59
978.644591	-100.73
992.830248	-103.27
1007.221529	-97.07
1021.821414	-96.80
1036.632928	-91.04
1051.659138	-93.01
1066.903156	-93.39
1082.368140	-91.05
1098.057291	-91.74
1113.973860	-94.76
1130.121143	-95.28
1146.502484	-95.97
1163.121276	-97.38
1179.980961	-99.43
1197.085030	-93.39
1214.437027	-92.43
1232.040544	-92.20
1249.899229	-88.34
1268.016778	-88.86
1286.396945	-91.27
1305.043536	-89.74
1323.960414	-94.51
1343.151496	-94.39
1362.620756	-94.86
1382.372227	-97.52
1402.410000	-98.98
1422.738225	-102.32
1443.361112	-111.77
1464.282931	-114.32
1485.508017	-110.49
1507.040765	-106.55
1528.885634	-104.16
1551.047150	-103.54
1573.529901	-101.40
1596.338544	-100.90
1619.477804	-98.13
1642.952471	-101.03
1666.767409	-98.87
1690.927550	-102.82
1715.437896	-104.60
1740.303526	-107.58
1765.529587	-107.64
1791.121306	-108.28
1817.083982	-107.09
1843.422992	-106.83
1870.143792	-105.32
1897.251916	-105.87
1924.752977	-101.31
1952.652672	-103.94
1980.956779	-104.98
2009.671159	-108.08
2038.801761	-110.08
2068.354617	-116.36
2098.335847	-119.71
2128.751662	-116.72
2159.608360	-112.76
2190.912333	-106.88
2222.670063	-106.89
2254.888128	-107.66
2287.573200	-111.14
2320.732050	-103.39
2354.371544	-100.43
2388.498649	-97.55
2423.120434	-96.41
2458.244069	-94.64
2493.876828	-95.87
2530.026092	-93.20
2566.699346	-93.83
2603.904187	-96.16
2641.648320	-98.09
2679.939562	-102.33
2718.785844	-104.57
2758.195211	-105.81
2798.175824	-106.48
2838.735965	-107.14
2879.884033	-105.82
2921.628551	-102.93
2963.978165	-101.88
3006.941645	-102.34
3050.527890	-100.66
3094.745927	-100.24
3139.604913	-99.29
3185.114139	-98.27
3231.283032	-95.68
3278.121151	-96.75
3325.638200	-101.52
3373.844017	-100.25
3422.748588	-98.92
3472.362041	-99.83
3522.694651	-100.25
3573.756843	-99.09
3625.559192	-101.55
3678.112427	-98.46
3731.427432	-97.98
3785.515249	-94.52
3840.387080	-97.96
3896.054290	-102.35
3952.528408	-101.32
4009.821129	-104.09
4067.944321	-104.75
4126.910020	-103.96
4186.730440	-101.80
4247.417969	-101.27
4308.985176	-106.39
4371.444813	-104.13
4434.809815	-102.52
4499.093306	-105.22
4564.308599	-104.73
4630.469202	-103.88
4697.588817	-103.97
4765.681344	-105.23
4834.760887	-104.28
4904.841752	-103.56
4975.938453	-104.94
5048.065717	-104.24
5121.238480	-105.86
5195.471897	-107.71
5270.781343	-107.31
5347.182415	-103.78
5424.690937	-103.88
5503.322961	-106.25
5583.094772	-106.36
5664.022893	-108.83
5746.124083	-110.19
5829.415347	-109.16
5913.913936	-108.44
5999.637349	-108.48
6086.603340	-107.52
6174.829922	-108.00
6264.335367	-109.40
6355.138211	-108.45
6447.257262	-107.42
6540.711597	-107.60
6635.520573	-109.51
6731.703824	-110.03
6829.281272	-110.14
6928.273125	-111.67
7028.699885	-112.43
7130.582353	-112.79
7233.941627	-112.75
7338.799116	-115.25
7445.176537	-114.44
7553.095920	-114.80
7662.579617	-114.82
7773.650302	-115.25
7886.330981	-113.88
8000.644989	-115.55
8116.616003	-117.26
8234.268041	-116.48
8353.625470	-116.84
8474.713009	-116.93
8597.555737	-116.62
8722.179097	-115.45
8848.608897	-113.85
8976.871324	-115.66
9106.992942	-115.12
9239.000700	-115.18
9372.921937	-113.61
9508.784391	-113.05
9646.616199	-113.63
9786.445908	-112.64
9928.302478	-112.23
10072.215288	-112.78
10218.214144	-112.05
10366.329284	-112.45
10516.591384	-113.18
10669.031565	-114.13
10823.681397	-114.92
10980.572911	-115.29
11139.738600	-115.45
11301.211429	-115.69
11465.024840	-116.71
11631.212760	-117.63
11799.809609	-118.42
11970.850305	-118.84
12144.370271	-118.11
12320.405445	-119.02
12498.992285	-119.33
12680.167779	-118.78
12863.969449	-119.55
13050.435363	-119.83
13239.604139	-120.36
13431.514956	-120.19
13626.207560	-121.30
13823.722274	-122.02
14024.100004	-121.81
14227.382252	-122.45
14433.611118	-122.40
14642.829314	-121.63
14855.080172	-121.90
15070.407650	-122.47
15288.856344	-122.60
15510.471498	-122.56
15735.299010	-122.19
15963.385443	-122.50
16194.778036	-122.52
16429.524714	-122.61
16667.674093	-122.68
16909.275497	-121.96
17154.378963	-121.40
17403.035256	-121.96
17655.295873	-122.08
17911.213060	-121.54
18170.839820	-121.60
18434.229924	-121.34
18701.437922	-121.50
18972.519156	-120.32
19247.529769	-120.54
19526.526718	-121.25
19809.567786	-121.17
20096.711592	-121.47
20388.017608	-121.50
20683.546166	-121.92
20983.358471	-121.75
21287.516618	-121.61
21596.083601	-121.72
21909.123326	-121.14
22226.700627	-121.64
