	Bang-SonyInEar-On		
Frequency (Hz)	Level (dB)

11.139739	-78.60
11.301211	-78.68
11.465025	-78.76
11.631213	-78.83
11.799810	-78.90
11.970850	-78.94
12.144370	-78.94
12.320405	-78.90
12.498992	-78.79
12.680168	-78.59
12.863969	-78.29
13.050435	-77.91
13.239604	-77.43
13.431515	-76.81
13.626208	-76.23
13.823722	-75.62
14.024100	-74.93
14.227382	-74.35
14.433611	-73.74
14.642829	-73.19
14.855080	-72.68
15.070408	-72.18
15.288856	-71.76
15.510471	-71.35
15.735299	-71.02
15.963385	-70.73
16.194778	-70.51
16.429525	-70.35
16.667674	-70.23
16.909275	-70.18
17.154379	-70.16
17.403035	-70.17
17.655296	-70.21
17.911213	-70.26
18.170840	-70.33
18.434230	-70.39
18.701438	-70.42
18.972519	-70.42
19.247530	-70.37
19.526527	-70.27
19.809568	-70.15
20.096712	-70.04
20.388018	-69.97
20.683546	-69.98
20.983358	-70.08
21.287517	-70.27
21.596084	-70.53
21.909123	-70.82
22.226701	-71.13
22.548881	-71.44
22.875732	-71.74
23.207320	-72.01
23.543715	-72.26
23.884986	-72.48
24.231204	-72.63
24.582441	-72.68
24.938768	-72.59
25.300261	-72.36
25.666993	-72.00
26.039042	-71.61
26.416483	-71.20
26.799396	-70.83
27.187858	-70.46
27.581952	-70.03
27.981758	-69.54
28.387360	-69.02
28.798840	-68.58
29.216286	-68.37
29.639782	-68.48
30.069416	-68.90
30.505279	-69.49
30.947459	-69.96
31.396049	-70.02
31.851141	-69.56
32.312830	-68.66
32.781212	-67.55
33.256382	-66.38
33.738440	-65.24
34.227486	-64.12
34.723620	-62.99
35.226947	-61.77
35.737568	-60.57
36.255592	-59.56
36.781124	-58.88
37.314274	-58.54
37.855152	-58.53
38.403871	-58.84
38.960543	-59.46
39.525284	-60.22
40.098211	-60.82
40.679443	-61.12
41.269100	-61.23
41.867304	-61.29
42.474180	-61.41
43.089852	-61.66
43.714448	-61.99
44.348098	-62.22
44.990933	-62.31
45.643086	-62.35
46.304692	-62.44
46.975888	-62.59
47.656813	-62.64
48.347609	-62.04
49.048418	-60.59
49.759385	-58.79
50.480657	-57.16
51.212385	-56.23
51.954719	-56.25
52.707813	-56.80
53.471824	-57.13
54.246909	-57.31
55.033230	-57.80
55.830948	-58.08
56.640229	-57.38
57.461241	-56.00
58.294153	-54.64
59.139139	-53.73
59.996373	-53.21
60.866033	-52.89
61.748299	-52.91
62.643354	-53.35
63.551382	-53.67
64.472573	-51.80
65.407116	-48.57
66.355206	-46.49
67.317038	-45.79
