	Heli-SonyInEar-On		
Frequency (Hz)	Level (dB)

11.139739	-70.13
11.301211	-70.03
11.465025	-69.96
11.631213	-69.93
11.799810	-69.95
11.970850	-70.00
12.144370	-70.10
12.320405	-70.22
12.498992	-70.37
12.680168	-70.57
12.863969	-70.74
13.050435	-70.87
13.239604	-70.95
13.431515	-70.95
13.626208	-70.85
13.823722	-70.69
14.024100	-70.46
14.227382	-70.25
14.433611	-70.04
14.642829	-69.85
14.855080	-69.69
15.070408	-69.53
15.288856	-69.40
15.510471	-69.30
15.735299	-69.24
15.963385	-69.19
16.194778	-69.10
16.429525	-68.92
16.667674	-68.60
16.909275	-68.27
17.154379	-67.96
17.403035	-67.68
17.655296	-67.29
17.911213	-66.62
18.170840	-65.63
18.434230	-64.56
18.701438	-63.72
18.972519	-62.92
19.247530	-61.65
19.526527	-59.49
19.809568	-56.81
20.096712	-54.20
20.388018	-51.81
20.683546	-49.50
20.983358	-47.00
21.287517	-44.28
21.596084	-41.52
21.909123	-38.97
22.226701	-36.76
22.548881	-34.94
22.875732	-33.51
23.207320	-32.53
23.543715	-31.92
23.884986	-31.63
24.231204	-31.64
24.582441	-31.91
24.938768	-32.48
25.300261	-33.32
25.666993	-34.65
26.039042	-36.41
26.416483	-39.02
26.799396	-42.35
27.187858	-46.71
27.581952	-51.60
27.981758	-54.71
28.387360	-55.96
28.798840	-56.77
29.216286	-56.97
29.639782	-56.67
30.069416	-56.56
30.505279	-56.75
30.947459	-57.05
31.396049	-57.37
31.851141	-57.54
32.312830	-57.20
32.781212	-56.35
33.256382	-55.43
33.738440	-54.80
34.227486	-54.56
34.723620	-54.71
35.226947	-55.20
35.737568	-55.88
36.255592	-56.32
36.781124	-55.76
37.314274	-53.25
37.855152	-49.41
38.403871	-45.85
38.960543	-43.30
39.525284	-41.89
40.098211	-41.47
40.679443	-41.82
41.269100	-42.83
41.867304	-44.58
42.474180	-47.23
43.089852	-50.66
43.714448	-54.17
44.348098	-57.46
44.990933	-60.68
45.643086	-62.78
46.304692	-63.26
46.975888	-62.65
47.656813	-61.71
48.347609	-60.68
49.048418	-59.60
49.759385	-58.80
50.480657	-58.21
51.212385	-56.68
51.954719	-54.26
52.707813	-52.46
53.471824	-51.69
54.246909	-51.75
55.033230	-52.52
55.830948	-53.82
56.640229	-51.10
57.461241	-44.87
58.294153	-40.14
59.139139	-36.84
59.996373	-35.38
60.866033	-36.29
61.748299	-39.53
62.643354	-44.51
63.551382	-51.66
64.472573	-57.91
65.407116	-56.22
66.355206	-55.35
67.317038	-55.63
68.292813	-55.57
69.282731	-54.34
70.286999	-53.35
71.305824	-54.20
72.339416	-56.37
73.387991	-58.03
74.451765	-57.74
75.530959	-56.42
76.625796	-55.56
77.736503	-55.35
78.863310	-55.42
80.006450	-55.99
81.166160	-56.37
82.342680	-55.33
83.536255	-53.97
84.747130	-53.95
85.975557	-55.13
87.221791	-57.03
88.486089	-58.51
89.768713	-59.57
91.069929	-61.50
92.390007	-60.02
93.729219	-57.44
95.087844	-57.57
96.466162	-55.04
97.864459	-45.25
99.283025	-39.20
100.722153	-39.11
102.182141	-43.94
103.663293	-56.01
105.165914	-62.13
106.690316	-62.14
108.236814	-63.47
109.805729	-66.98
111.397386	-69.75
113.012114	-69.25
114.650248	-65.06
116.312128	-62.24
117.998096	-62.61
119.708503	-63.97
121.443703	-62.37
123.204054	-58.77
124.989923	-55.89
126.801678	-56.67
128.639694	-58.60
130.504354	-57.70
132.396041	-58.52
134.315150	-59.94
136.262076	-61.39
138.237223	-61.06
140.241000	-59.85
142.273823	-61.00
144.336111	-58.79
146.428293	-56.42
148.550802	-56.80
150.704076	-58.20
152.888563	-61.84
155.104715	-62.41
157.352990	-60.83
159.633854	-62.48
161.947780	-60.74
164.295247	-58.00
166.676741	-57.32
169.092755	-60.25
171.543790	-61.16
174.030353	-62.69
176.552959	-55.10
179.112131	-43.07
181.708398	-44.79
184.342299	-57.62
187.014379	-62.33
189.725192	-61.23
192.475298	-61.10
195.265267	-60.22
198.095678	-64.03
200.967116	-59.32
203.880176	-58.69
206.835462	-58.43
209.833585	-56.78
212.875166	-55.00
215.960836	-57.84
219.091233	-57.30
222.267006	-55.39
225.488813	-56.57
228.757320	-60.48
232.073205	-60.11
235.437154	-59.93
238.849865	-60.65
242.312043	-61.19
245.824407	-61.15
249.387683	-60.53
253.002609	-62.26
256.669935	-63.16
260.390419	-64.87
264.164832	-64.13
267.993956	-60.01
271.878584	-61.95
275.819521	-66.60
279.817582	-62.38
283.873596	-61.53
287.988403	-62.21
292.162855	-62.28
296.397817	-61.71
300.694165	-59.06
305.052789	-58.79
309.474593	-62.65
313.960491	-63.20
318.511414	-60.41
323.128303	-58.35
327.812115	-57.06
332.563820	-56.58
337.384402	-41.38
342.274859	-40.09
347.236204	-63.23
352.269465	-59.83
357.375684	-58.53
362.555919	-59.33
367.811243	-60.07
373.142743	-61.72
378.551525	-61.79
384.038708	-63.48
389.605429	-60.30
395.252841	-60.00
400.982113	-60.92
406.794432	-61.85
412.691002	-60.71
418.673044	-63.29
424.741797	-63.84
430.898518	-62.44
437.144481	-59.59
443.480981	-58.67
449.909331	-60.97
456.430860	-58.31
463.046920	-62.56
469.758882	-62.05
476.568134	-64.91
483.476089	-66.27
490.484175	-67.36
497.593845	-66.53
504.806572	-67.32
512.123848	-64.98
519.547190	-66.91
527.078134	-63.73
534.718242	-61.19
542.469094	-62.72
550.332296	-62.78
558.309477	-62.56
566.402289	-64.91
574.612408	-64.50
582.941535	-66.16
591.391394	-64.61
599.963735	-44.14
608.660334	-66.14
617.482992	-67.34
626.433537	-69.01
635.513821	-67.81
644.725726	-69.16
654.071160	-69.53
663.552057	-67.28
673.170382	-66.41
682.928127	-68.20
692.827312	-68.21
702.869989	-70.80
713.058235	-67.32
723.394163	-73.18
733.879912	-71.23
744.517654	-69.87
755.309592	-71.93
766.257962	-72.64
777.365030	-69.34
788.633098	-69.84
800.064499	-69.18
811.661600	-69.25
823.426804	-68.99
835.362547	-68.19
847.471301	-73.28
859.755574	-71.88
872.217910	-73.06
884.860890	-71.40
897.687132	-70.40
910.699294	-74.22
923.900070	-72.52
937.292194	-72.29
950.878439	-73.41
964.661620	-72.41
978.644591	-74.11
992.830248	-47.77
1007.221529	-47.38
1021.821414	-73.42
1036.632928	-72.46
1051.659138	-71.34
1066.903156	-69.89
1082.368140	-71.13
1098.057291	-71.76
1113.973860	-73.36
1130.121143	-73.45
1146.502484	-72.99
1163.121276	-75.85
1179.980961	-75.16
1197.085030	-75.39
1214.437027	-76.09
1232.040544	-77.01
1249.899229	-77.32
1268.016778	-76.62
1286.396945	-78.37
1305.043536	-76.13
1323.960414	-75.53
1343.151496	-76.55
1362.620756	-76.77
1382.372227	-75.65
1402.410000	-78.97
1422.738225	-79.68
1443.361112	-79.36
1464.282931	-79.14
1485.508017	-78.43
1507.040765	-77.62
1528.885634	-77.36
1551.047150	-77.88
1573.529901	-78.20
1596.338544	-79.83
1619.477804	-80.67
1642.952471	-80.78
1666.767409	-81.30
