	Silence-SonyInEar-On		
Frequency (Hz)	Level (dB)

11.139739	-84.24
11.301211	-83.97
11.465025	-83.76
11.631213	-83.60
11.799810	-83.52
11.970850	-83.51
12.144370	-83.57
12.320405	-83.70
12.498992	-83.90
12.680168	-84.20
12.863969	-84.53
13.050435	-84.88
13.239604	-85.27
13.431515	-85.74
13.626208	-86.12
13.823722	-86.51
14.024100	-86.93
14.227382	-87.25
14.433611	-87.59
14.642829	-87.88
14.855080	-88.13
15.070408	-88.35
15.288856	-88.50
15.510471	-88.61
15.735299	-88.65
15.963385	-88.63
16.194778	-88.55
16.429525	-88.42
16.667674	-88.22
16.909275	-87.99
17.154379	-87.73
17.403035	-87.42
17.655296	-87.10
17.911213	-86.76
18.170840	-86.40
18.434230	-86.01
18.701438	-85.61
18.972519	-85.18
19.247530	-84.74
19.526527	-84.29
19.809568	-83.81
20.096712	-83.33
20.388018	-82.85
20.683546	-82.36
20.983358	-81.89
21.287517	-81.43
21.596084	-81.02
21.909123	-80.64
22.226701	-80.32
22.548881	-80.07
22.875732	-79.90
23.207320	-79.84
23.543715	-79.92
23.884986	-80.18
24.231204	-80.61
24.582441	-81.19
24.938768	-81.98
25.300261	-82.83
25.666993	-83.84
26.039042	-84.81
26.416483	-85.68
26.799396	-86.11
27.187858	-86.07
27.581952	-85.71
27.981758	-85.31
28.387360	-84.98
28.798840	-84.79
29.216286	-84.80
29.639782	-85.06
30.069416	-85.57
30.505279	-86.27
30.947459	-87.01
31.396049	-87.53
31.851141	-87.52
32.312830	-86.77
32.781212	-85.47
33.256382	-83.91
33.738440	-82.32
34.227486	-80.77
34.723620	-79.38
35.226947	-78.10
35.737568	-77.00
36.255592	-76.21
36.781124	-75.86
37.314274	-75.99
37.855152	-76.53
38.403871	-77.41
38.960543	-78.53
39.525284	-79.65
40.098211	-80.31
40.679443	-80.40
41.269100	-80.32
41.867304	-80.34
42.474180	-80.37
43.089852	-80.26
43.714448	-80.00
44.348098	-79.65
44.990933	-79.37
45.643086	-79.43
46.304692	-79.96
46.975888	-80.84
47.656813	-81.88
48.347609	-82.72
49.048418	-83.07
49.759385	-83.11
50.480657	-83.35
51.212385	-83.87
51.954719	-84.49
52.707813	-85.20
53.471824	-86.12
54.246909	-86.94
55.033230	-87.01
55.830948	-86.51
56.640229	-85.99
57.461241	-85.83
58.294153	-86.16
59.139139	-86.97
59.996373	-88.16
60.866033	-89.37
61.748299	-89.45
62.643354	-87.59
63.551382	-84.98
64.472573	-83.37
65.407116	-83.39
66.355206	-84.53
67.317038	-86.32
68.292813	-88.35
69.282731	-90.21
70.286999	-91.66
71.305824	-92.40
72.339416	-93.05
73.387991	-93.90
74.451765	-94.35
75.530959	-95.28
76.625796	-95.62
77.736503	-94.67
78.863310	-94.88
80.006450	-96.64
81.166160	-98.62
82.342680	-98.56
83.536255	-98.35
84.747130	-99.56
85.975557	-101.56
87.221791	-102.45
88.486089	-102.18
89.768713	-102.43
91.069929	-103.06
92.390007	-102.99
93.729219	-103.06
95.087844	-103.21
96.466162	-102.58
97.864459	-102.10
99.283025	-101.33
100.722153	-101.42
102.182141	-100.28
103.663293	-99.80
105.165914	-100.59
106.690316	-100.58
108.236814	-102.27
109.805729	-103.67
111.397386	-101.25
113.012114	-100.27
114.650248	-99.57
116.312128	-98.70
117.998096	-99.78
119.708503	-99.88
121.443703	-99.80
123.204054	-102.72
124.989923	-104.94
126.801678	-104.30
128.639694	-101.96
130.504354	-102.67
132.396041	-105.26
134.315150	-105.10
136.262076	-104.73
138.237223	-104.78
140.241000	-106.08
142.273823	-106.86
144.336111	-105.46
146.428293	-105.23
148.550802	-108.24
150.704076	-108.49
152.888563	-108.62
155.104715	-108.85
157.352990	-109.87
159.633854	-110.68
161.947780	-110.58
164.295247	-107.29
166.676741	-106.86
169.092755	-107.87
171.543790	-108.08
174.030353	-108.46
176.552959	-108.08
179.112131	-109.14
181.708398	-111.56
184.342299	-103.17
187.014379	-104.30
189.725192	-111.32
192.475298	-109.55
195.265267	-110.69
198.095678	-109.54
200.967116	-104.74
203.880176	-99.87
206.835462	-93.76
209.833585	-92.29
212.875166	-96.25
215.960836	-104.01
219.091233	-106.57
222.267006	-109.19
225.488813	-110.35
228.757320	-108.59
232.073205	-110.11
235.437154	-111.59
238.849865	-112.74
242.312043	-113.94
245.824407	-114.27
249.387683	-117.47
253.002609	-118.47
256.669935	-118.50
260.390419	-117.49
264.164832	-119.23
267.993956	-118.18
271.878584	-117.92
275.819521	-120.56
279.817582	-120.40
283.873596	-119.63
287.988403	-118.63
292.162855	-115.43
296.397817	-114.42
300.694165	-109.40
305.052789	-111.49
309.474593	-112.10
313.960491	-111.43
318.511414	-109.76
323.128303	-107.90
327.812115	-107.70
332.563820	-109.45
337.384402	-109.14
342.274859	-104.55
347.236204	-103.32
352.269465	-103.52
357.375684	-103.46
362.555919	-97.66
367.811243	-103.47
373.142743	-101.87
378.551525	-105.93
384.038708	-103.61
389.605429	-101.03
395.252841	-107.64
400.982113	-107.56
406.794432	-108.64
412.691002	-106.80
418.673044	-103.43
424.741797	-103.42
430.898518	-99.44
437.144481	-97.78
443.480981	-97.16
449.909331	-99.05
456.430860	-99.09
463.046920	-98.26
469.758882	-96.87
476.568134	-94.29
483.476089	-98.91
490.484175	-99.43
497.593845	-102.22
504.806572	-104.89
512.123848	-104.13
519.547190	-103.58
527.078134	-101.95
534.718242	-105.28
542.469094	-111.85
550.332296	-112.27
558.309477	-114.15
566.402289	-112.86
574.612408	-112.17
582.941535	-114.31
591.391394	-110.92
599.963735	-103.89
608.660334	-102.13
617.482992	-105.47
626.433537	-104.97
635.513821	-104.60
644.725726	-105.23
654.071160	-105.54
663.552057	-104.53
673.170382	-110.05
682.928127	-110.71
692.827312	-113.61
702.869989	-107.88
713.058235	-106.24
723.394163	-105.67
733.879912	-102.55
744.517654	-103.13
755.309592	-106.34
766.257962	-104.40
777.365030	-102.67
788.633098	-102.87
800.064499	-97.99
811.661600	-98.36
823.426804	-99.67
835.362547	-104.93
847.471301	-104.19
859.755574	-102.87
872.217910	-104.25
884.860890	-102.70
897.687132	-101.14
910.699294	-105.00
923.900070	-104.61
937.292194	-101.49
950.878439	-101.29
964.661620	-104.57
978.644591	-100.92
992.830248	-103.24
1007.221529	-97.13
1021.821414	-97.12
1036.632928	-91.79
1051.659138	-94.25
1066.903156	-94.70
1082.368140	-92.41
1098.057291	-93.05
1113.973860	-95.79
1130.121143	-96.76
1146.502484	-98.08
1163.121276	-100.54
1179.980961	-101.90
1197.085030	-95.70
1214.437027	-93.99
1232.040544	-93.52
1249.899229	-89.49
1268.016778	-89.85
1286.396945	-92.29
1305.043536	-90.63
1323.960414	-95.27
1343.151496	-95.10
1362.620756	-95.38
1382.372227	-98.14
1402.410000	-99.55
1422.738225	-102.09
1443.361112	-109.52
1464.282931	-118.94
1485.508017	-117.08
1507.040765	-112.62
1528.885634	-108.89
1551.047150	-106.66
1573.529901	-103.57
1596.338544	-102.97
1619.477804	-99.37
1642.952471	-102.06
1666.767409	-100.11
1690.927550	-104.02
1715.437896	-106.36
1740.303526	-110.87
1765.529587	-112.34
1791.121306	-111.32
1817.083982	-107.82
1843.422992	-105.50
1870.143792	-104.50
1897.251916	-105.35
1924.752977	-101.13
1952.652672	-103.37
1980.956779	-103.72
2009.671159	-106.62
2038.801761	-107.43
2068.354617	-111.08
2098.335847	-113.82
2128.751662	-113.43
2159.608360	-112.05
2190.912333	-107.46
2222.670063	-109.05
2254.888128	-110.59
2287.573200	-110.74
2320.732050	-102.38
2354.371544	-100.17
2388.498649	-97.53
2423.120434	-96.81
2458.244069	-95.48
2493.876828	-96.06
2530.026092	-93.63
2566.699346	-94.10
2603.904187	-96.15
2641.648320	-97.92
2679.939562	-100.95
2718.785844	-102.52
2758.195211	-104.99
2798.175824	-106.02
2838.735965	-104.61
2879.884033	-103.87
2921.628551	-102.12
