	Bang-Sony		
Frequency (Hz)	Level (dB)

11.139739	-75.71
11.301211	-75.56
11.465025	-75.45
11.631213	-75.38
11.799810	-75.37
11.970850	-75.42
12.144370	-75.52
12.320405	-75.68
12.498992	-75.90
12.680168	-76.22
12.863969	-76.55
13.050435	-76.90
13.239604	-77.27
13.431515	-77.71
13.626208	-78.05
13.823722	-78.36
14.024100	-78.68
14.227382	-78.88
14.433611	-79.03
14.642829	-79.10
14.855080	-79.09
15.070408	-78.99
15.288856	-78.84
15.510471	-78.64
15.735299	-78.43
15.963385	-78.22
16.194778	-78.04
16.429525	-77.90
16.667674	-77.79
16.909275	-77.72
17.154379	-77.68
17.403035	-77.67
17.655296	-77.69
17.911213	-77.70
18.170840	-77.70
18.434230	-77.63
18.701438	-77.41
18.972519	-77.03
19.247530	-76.47
19.526527	-75.81
19.809568	-75.11
20.096712	-74.46
20.388018	-73.91
20.683546	-73.48
20.983358	-73.17
21.287517	-72.96
21.596084	-72.85
21.909123	-72.82
22.226701	-72.85
22.548881	-72.94
22.875732	-73.07
23.207320	-73.20
23.543715	-73.29
23.884986	-73.32
24.231204	-73.29
24.582441	-73.23
24.938768	-73.19
25.300261	-73.18
25.666993	-73.18
26.039042	-73.12
26.416483	-72.95
26.799396	-72.62
27.187858	-72.19
27.581952	-71.67
27.981758	-71.16
28.387360	-70.65
28.798840	-70.15
29.216286	-69.64
29.639782	-69.14
30.069416	-68.68
30.505279	-68.30
30.947459	-68.05
31.396049	-67.95
31.851141	-68.03
32.312830	-68.33
32.781212	-68.80
33.256382	-69.23
33.738440	-69.20
34.227486	-68.24
34.723620	-66.39
35.226947	-64.06
35.737568	-61.89
36.255592	-60.22
36.781124	-59.12
37.314274	-58.52
37.855152	-58.45
38.403871	-59.01
38.960543	-60.41
39.525284	-62.65
40.098211	-65.24
40.679443	-66.87
41.269100	-66.64
41.867304	-65.48
42.474180	-64.54
43.089852	-64.25
43.714448	-64.38
44.348098	-64.47
44.990933	-64.46
45.643086	-64.79
46.304692	-65.59
46.975888	-65.82
47.656813	-64.48
48.347609	-62.50
49.048418	-60.61
49.759385	-58.82
50.480657	-57.27
51.212385	-56.54
51.954719	-57.00
52.707813	-57.82
53.471824	-57.14
54.246909	-55.48
55.033230	-54.04
55.830948	-53.15
56.640229	-52.85
57.461241	-53.17
58.294153	-53.87
59.139139	-53.89
59.996373	-52.89
60.866033	-51.71
61.748299	-50.93
62.643354	-50.51
63.551382	-49.72
64.472573	-48.11
65.407116	-46.34
66.355206	-45.66
67.317038	-46.38
68.292813	-48.32
69.282731	-50.16
70.286999	-49.95
71.305824	-49.65
72.339416	-49.93
73.387991	-49.99
74.451765	-48.41
75.530959	-45.51
76.625796	-43.10
77.736503	-41.64
78.863310	-41.18
80.006450	-41.90
81.166160	-43.95
82.342680	-45.19
83.536255	-43.55
84.747130	-42.58
85.975557	-40.06
87.221791	-38.30
88.486089	-37.93
89.768713	-38.56
91.069929	-40.03
92.390007	-40.68
93.729219	-38.71
95.087844	-38.52
96.466162	-41.12
97.864459	-45.60
99.283025	-46.94
100.722153	-46.05
102.182141	-45.10
103.663293	-45.22
105.165914	-47.24
106.690316	-49.27
108.236814	-50.28
109.805729	-50.46
111.397386	-51.91
113.012114	-55.12
114.650248	-54.71
116.312128	-53.69
117.998096	-48.49
119.708503	-41.70
121.443703	-39.34
123.204054	-37.89
124.989923	-34.97
126.801678	-36.51
128.639694	-41.87
130.504354	-38.72
132.396041	-37.69
134.315150	-40.14
136.262076	-37.60
138.237223	-36.51
140.241000	-36.81
142.273823	-38.51
144.336111	-35.82
146.428293	-35.69
148.550802	-36.88
150.704076	-36.32
152.888563	-38.80
155.104715	-38.07
157.352990	-38.60
159.633854	-39.19
161.947780	-41.51
164.295247	-44.31
166.676741	-39.67
169.092755	-39.88
171.543790	-38.89
174.030353	-38.72
176.552959	-42.20
179.112131	-44.47
181.708398	-45.62
184.342299	-47.78
187.014379	-46.08
189.725192	-50.19
192.475298	-57.07
195.265267	-53.63
198.095678	-45.39
200.967116	-42.80
203.880176	-45.92
206.835462	-47.21
209.833585	-45.75
212.875166	-41.78
215.960836	-44.40
219.091233	-40.96
222.267006	-42.94
225.488813	-45.68
228.757320	-42.03
232.073205	-43.45
235.437154	-41.50
238.849865	-40.53
242.312043	-40.50
245.824407	-39.80
249.387683	-42.78
253.002609	-48.57
256.669935	-47.63
260.390419	-49.84
264.164832	-51.81
