	Heli-Sony		
Frequency (Hz)	Level (dB)

11.139739	-61.55
11.301211	-61.17
11.465025	-60.86
11.631213	-60.62
11.799810	-60.46
11.970850	-60.40
12.144370	-60.43
12.320405	-60.54
12.498992	-60.73
12.680168	-61.04
12.863969	-61.41
13.050435	-61.84
13.239604	-62.34
13.431515	-63.00
13.626208	-63.63
13.823722	-64.35
14.024100	-65.29
14.227382	-66.17
14.433611	-67.29
14.642829	-68.48
14.855080	-69.68
15.070408	-70.94
15.288856	-71.84
15.510471	-72.46
15.735299	-72.61
15.963385	-72.45
16.194778	-72.00
16.429525	-71.38
16.667674	-70.56
16.909275	-69.87
17.154379	-69.30
17.403035	-68.84
17.655296	-68.33
17.911213	-67.55
18.170840	-66.48
18.434230	-65.43
18.701438	-64.75
18.972519	-64.21
19.247530	-63.05
19.526527	-60.61
19.809568	-57.53
20.096712	-54.61
20.388018	-52.01
20.683546	-49.56
20.983358	-46.99
21.287517	-44.24
21.596084	-41.49
21.909123	-38.95
22.226701	-36.76
22.548881	-34.95
22.875732	-33.53
23.207320	-32.56
23.543715	-31.95
23.884986	-31.66
24.231204	-31.68
24.582441	-31.96
24.938768	-32.54
25.300261	-33.39
25.666993	-34.72
26.039042	-36.50
26.416483	-39.11
26.799396	-42.45
27.187858	-46.84
27.581952	-51.82
27.981758	-55.16
28.387360	-56.90
28.798840	-58.70
29.216286	-60.09
29.639782	-60.34
30.069416	-60.49
30.505279	-60.87
30.947459	-61.05
31.396049	-60.95
31.851141	-60.72
32.312830	-60.33
32.781212	-59.73
33.256382	-58.92
33.738440	-57.88
34.227486	-56.67
34.723620	-55.62
35.226947	-54.86
35.737568	-54.31
36.255592	-53.64
36.781124	-52.53
37.314274	-50.41
37.855152	-47.21
38.403871	-43.99
38.960543	-41.60
39.525284	-40.31
40.098211	-40.04
40.679443	-40.61
41.269100	-41.93
41.867304	-44.15
42.474180	-47.74
43.089852	-53.29
43.714448	-59.62
44.348098	-61.58
44.990933	-61.43
45.643086	-60.53
46.304692	-59.34
46.975888	-58.28
47.656813	-57.27
48.347609	-56.07
49.048418	-54.73
49.759385	-53.76
50.480657	-53.47
51.212385	-53.82
51.954719	-54.66
52.707813	-55.13
53.471824	-54.17
54.246909	-52.90
55.033230	-52.28
55.830948	-52.48
56.640229	-50.33
57.461241	-44.71
58.294153	-40.14
59.139139	-36.95
59.996373	-35.53
60.866033	-36.42
61.748299	-39.52
62.643354	-44.10
63.551382	-49.89
64.472573	-54.89
65.407116	-56.78
66.355206	-58.10
67.317038	-58.70
68.292813	-57.03
69.282731	-54.46
70.286999	-52.87
71.305824	-52.90
72.339416	-53.80
73.387991	-54.60
74.451765	-55.03
75.530959	-56.29
76.625796	-58.34
77.736503	-57.38
78.863310	-53.90
80.006450	-51.76
81.166160	-51.82
82.342680	-54.31
83.536255	-57.68
84.747130	-55.87
85.975557	-53.22
87.221791	-53.59
88.486089	-56.45
89.768713	-57.31
91.069929	-55.64
92.390007	-55.51
93.729219	-57.72
95.087844	-58.20
96.466162	-49.38
97.864459	-39.04
99.283025	-33.04
100.722153	-33.02
102.182141	-37.95
103.663293	-50.60
105.165914	-61.37
106.690316	-64.85
108.236814	-65.18
109.805729	-62.92
111.397386	-61.98
113.012114	-60.84
114.650248	-58.90
116.312128	-59.97
117.998096	-60.82
119.708503	-59.52
121.443703	-57.30
123.204054	-59.40
124.989923	-58.85
126.801678	-54.99
128.639694	-54.60
130.504354	-57.45
132.396041	-58.59
134.315150	-56.55
136.262076	-56.73
138.237223	-62.11
140.241000	-62.25
142.273823	-58.23
144.336111	-54.74
146.428293	-56.33
148.550802	-59.65
150.704076	-57.78
152.888563	-55.83
155.104715	-54.15
157.352990	-53.40
159.633854	-56.12
161.947780	-60.07
164.295247	-62.16
166.676741	-61.55
169.092755	-62.71
171.543790	-61.84
174.030353	-60.67
176.552959	-51.73
179.112131	-39.75
181.708398	-41.66
184.342299	-57.07
187.014379	-60.41
189.725192	-61.70
192.475298	-64.37
195.265267	-64.03
198.095678	-60.02
200.967116	-59.69
203.880176	-60.27
206.835462	-59.66
209.833585	-61.99
212.875166	-61.73
215.960836	-61.83
219.091233	-63.01
222.267006	-60.27
225.488813	-60.22
228.757320	-62.96
232.073205	-65.57
235.437154	-60.45
238.849865	-56.18
242.312043	-59.22
245.824407	-62.39
249.387683	-58.61
253.002609	-57.91
256.669935	-57.86
260.390419	-57.87
264.164832	-55.21
267.993956	-57.76
271.878584	-57.28
275.819521	-56.95
279.817582	-58.40
283.873596	-59.23
287.988403	-64.87
292.162855	-67.89
296.397817	-67.30
300.694165	-62.26
305.052789	-63.86
309.474593	-65.80
313.960491	-67.59
318.511414	-64.98
323.128303	-63.71
327.812115	-65.93
332.563820	-63.87
337.384402	-47.11
342.274859	-45.65
347.236204	-66.50
352.269465	-67.14
357.375684	-65.21
362.555919	-65.87
367.811243	-64.86
373.142743	-67.97
378.551525	-67.08
384.038708	-65.89
389.605429	-63.68
395.252841	-65.13
400.982113	-66.47
406.794432	-66.34
412.691002	-67.94
418.673044	-68.01
424.741797	-67.44
430.898518	-66.18
437.144481	-68.30
443.480981	-63.96
449.909331	-64.96
456.430860	-65.02
