	Silence-Sony		
Frequency (Hz)	Level (dB)

11.139739	-91.71
11.301211	-91.40
11.465025	-91.08
11.631213	-90.75
11.799810	-90.37
11.970850	-90.00
12.144370	-89.63
12.320405	-89.27
12.498992	-88.90
12.680168	-88.50
12.863969	-88.13
13.050435	-87.79
13.239604	-87.45
13.431515	-87.09
13.626208	-86.78
13.823722	-86.49
14.024100	-86.18
14.227382	-85.94
14.433611	-85.71
14.642829	-85.51
14.855080	-85.35
15.070408	-85.21
15.288856	-85.11
15.510471	-85.03
15.735299	-84.97
15.963385	-84.93
16.194778	-84.91
16.429525	-84.90
16.667674	-84.91
16.909275	-84.93
17.154379	-84.97
17.403035	-85.05
17.655296	-85.15
17.911213	-85.27
18.170840	-85.43
18.434230	-85.62
18.701438	-85.80
18.972519	-85.98
19.247530	-86.12
19.526527	-86.22
19.809568	-86.26
20.096712	-86.22
20.388018	-86.10
20.683546	-85.89
20.983358	-85.63
21.287517	-85.35
21.596084	-85.10
21.909123	-84.93
22.226701	-84.88
22.548881	-84.95
22.875732	-85.13
23.207320	-85.37
23.543715	-85.61
23.884986	-85.85
24.231204	-86.05
24.582441	-86.23
24.938768	-86.42
25.300261	-86.60
25.666993	-86.80
26.039042	-86.94
26.416483	-87.01
26.799396	-86.97
27.187858	-86.81
27.581952	-86.57
27.981758	-86.29
28.387360	-86.01
28.798840	-85.79
29.216286	-85.69
29.639782	-85.77
30.069416	-86.04
30.505279	-86.47
30.947459	-86.98
31.396049	-87.49
31.851141	-87.84
32.312830	-87.84
32.781212	-87.38
33.256382	-86.59
33.738440	-85.64
34.227486	-84.70
34.723620	-84.00
35.226947	-83.68
35.737568	-83.82
36.255592	-84.23
36.781124	-84.52
37.314274	-84.29
37.855152	-83.50
38.403871	-82.36
38.960543	-81.11
39.525284	-79.93
40.098211	-78.93
40.679443	-78.23
41.269100	-77.93
41.867304	-78.07
42.474180	-78.52
43.089852	-79.17
43.714448	-80.01
44.348098	-81.17
44.990933	-82.75
45.643086	-84.48
46.304692	-85.69
