	Sony-B		
Frequency (Hz)	Level (dB)

11.139739	-78.70
11.301211	-78.39
11.465025	-78.10
11.631213	-77.84
11.799810	-77.61
11.970850	-77.44
12.144370	-77.30
12.320405	-77.20
12.498992	-77.12
12.680168	-77.06
12.863969	-77.01
13.050435	-76.97
13.239604	-76.92
13.431515	-76.86
13.626208	-76.80
13.823722	-76.73
14.024100	-76.66
14.227382	-76.60
14.433611	-76.54
14.642829	-76.51
14.855080	-76.49
15.070408	-76.50
15.288856	-76.51
15.510471	-76.54
15.735299	-76.55
15.963385	-76.54
16.194778	-76.49
16.429525	-76.41
16.667674	-76.29
16.909275	-76.15
17.154379	-76.01
17.403035	-75.88
17.655296	-75.79
17.911213	-75.74
18.170840	-75.74
18.434230	-75.79
18.701438	-75.89
18.972519	-76.03
19.247530	-76.22
19.526527	-76.45
19.809568	-76.70
20.096712	-76.91
20.388018	-77.03
20.683546	-77.01
20.983358	-76.84
21.287517	-76.57
21.596084	-76.30
21.909123	-76.11
22.226701	-76.05
22.548881	-76.14
22.875732	-76.37
23.207320	-76.67
23.543715	-76.99
23.884986	-77.31
24.231204	-77.56
24.582441	-77.73
24.938768	-77.83
25.300261	-77.82
25.666993	-77.74
26.039042	-77.59
26.416483	-77.41
26.799396	-77.23
27.187858	-77.02
27.581952	-76.75
27.981758	-76.41
28.387360	-76.03
28.798840	-75.74
29.216286	-75.68
29.639782	-75.99
30.069416	-76.72
30.505279	-77.80
30.947459	-78.98
31.396049	-79.84
31.851141	-80.13
32.312830	-79.91
32.781212	-79.38
33.256382	-78.62
33.738440	-77.70
34.227486	-76.68
34.723620	-75.69
35.226947	-74.78
35.737568	-73.99
36.255592	-73.35
36.781124	-72.89
37.314274	-72.63
37.855152	-72.60
38.403871	-72.82
38.960543	-73.31
39.525284	-74.01
40.098211	-74.82
40.679443	-75.62
41.269100	-76.21
41.867304	-76.50
42.474180	-76.71
43.089852	-77.13
43.714448	-77.72
44.348098	-78.18
44.990933	-78.39
45.643086	-78.62
46.304692	-79.07
46.975888	-79.54
47.656813	-79.69
48.347609	-79.20
49.048418	-77.98
49.759385	-76.06
50.480657	-74.04
51.212385	-72.88
51.954719	-72.99
52.707813	-73.97
53.471824	-74.85
54.246909	-75.26
55.033230	-75.49
55.830948	-75.46
56.640229	-75.15
57.461241	-74.89
58.294153	-74.59
59.139139	-73.70
59.996373	-72.57
60.866033	-71.75
61.748299	-71.10
62.643354	-70.58
63.551382	-70.49
64.472573	-70.19
65.407116	-68.95
66.355206	-68.01
67.317038	-67.80
68.292813	-67.91
69.282731	-68.22
70.286999	-68.67
71.305824	-69.11
72.339416	-69.58
73.387991	-69.41
74.451765	-68.01
75.530959	-66.80
76.625796	-66.23
77.736503	-66.21
78.863310	-66.47
80.006450	-66.06
81.166160	-65.33
82.342680	-64.75
83.536255	-64.35
84.747130	-64.04
85.975557	-62.65
87.221791	-62.41
88.486089	-62.81
89.768713	-62.14
91.069929	-61.63
92.390007	-61.76
93.729219	-61.74
95.087844	-62.01
96.466162	-63.11
97.864459	-64.85
99.283025	-66.48
100.722153	-68.17
102.182141	-69.79
103.663293	-69.54
105.165914	-69.00
106.690316	-68.40
108.236814	-68.36
109.805729	-68.82
111.397386	-70.44
113.012114	-73.05
114.650248	-75.27
116.312128	-74.83
117.998096	-70.22
119.708503	-67.06
121.443703	-66.71
123.204054	-65.12
124.989923	-61.76
126.801678	-60.39
128.639694	-59.87
130.504354	-58.86
132.396041	-58.46
134.315150	-59.50
136.262076	-60.36
138.237223	-59.96
140.241000	-58.26
142.273823	-57.16
144.336111	-56.25
146.428293	-56.20
148.550802	-56.05
150.704076	-56.35
152.888563	-58.49
155.104715	-60.48
157.352990	-61.95
159.633854	-62.63
161.947780	-65.65
164.295247	-68.97
166.676741	-64.25
169.092755	-62.10
171.543790	-61.88
174.030353	-61.39
176.552959	-62.29
179.112131	-65.78
181.708398	-69.17
184.342299	-72.04
187.014379	-73.44
189.725192	-77.70
192.475298	-76.44
195.265267	-72.08
198.095678	-66.67
200.967116	-62.47
203.880176	-64.76
206.835462	-67.05
209.833585	-66.74
212.875166	-65.55
215.960836	-65.38
219.091233	-61.15
222.267006	-62.97
225.488813	-61.84
228.757320	-61.93
232.073205	-63.35
235.437154	-63.16
238.849865	-63.41
242.312043	-63.15
245.824407	-67.14
249.387683	-70.56
253.002609	-72.69
256.669935	-74.49
260.390419	-80.38
264.164832	-84.43
267.993956	-78.70
271.878584	-76.91
275.819521	-78.06
279.817582	-80.33
283.873596	-77.28
287.988403	-75.06
292.162855	-72.37
296.397817	-68.14
300.694165	-68.51
305.052789	-70.19
309.474593	-70.24
313.960491	-67.82
318.511414	-67.14
323.128303	-65.86
327.812115	-64.47
332.563820	-65.82
337.384402	-69.64
342.274859	-69.48
347.236204	-72.50
352.269465	-70.21
357.375684	-69.23
362.555919	-63.87
367.811243	-64.82
373.142743	-65.09
378.551525	-69.24
384.038708	-65.96
389.605429	-65.72
395.252841	-68.57
400.982113	-67.16
406.794432	-68.52
412.691002	-67.13
418.673044	-64.27
424.741797	-64.13
430.898518	-62.69
437.144481	-60.43
443.480981	-60.95
449.909331	-63.45
456.430860	-61.35
463.046920	-62.31
469.758882	-62.81
476.568134	-63.42
483.476089	-66.35
490.484175	-66.50
497.593845	-67.11
504.806572	-69.56
512.123848	-72.51
519.547190	-79.04
527.078134	-82.04
534.718242	-73.86
542.469094	-72.80
550.332296	-72.22
558.309477	-69.70
566.402289	-69.19
574.612408	-67.28
582.941535	-72.11
591.391394	-72.54
599.963735	-68.68
608.660334	-68.18
617.482992	-70.60
626.433537	-70.20
635.513821	-70.08
644.725726	-74.07
654.071160	-76.68
663.552057	-76.81
673.170382	-77.85
682.928127	-74.20
692.827312	-70.84
702.869989	-70.51
713.058235	-67.93
723.394163	-70.98
733.879912	-71.43
744.517654	-75.96
755.309592	-80.40
766.257962	-79.33
777.365030	-80.14
788.633098	-78.23
800.064499	-81.39
811.661600	-81.42
823.426804	-79.39
835.362547	-80.76
847.471301	-80.57
859.755574	-80.80
872.217910	-78.53
884.860890	-79.06
897.687132	-76.05
910.699294	-75.84
923.900070	-77.51
937.292194	-76.06
950.878439	-75.35
964.661620	-78.95
978.644591	-77.88
992.830248	-76.89
1007.221529	-72.89
1021.821414	-70.43
1036.632928	-68.72
1051.659138	-69.65
1066.903156	-68.58
1082.368140	-68.96
1098.057291	-67.98
1113.973860	-67.24
1130.121143	-69.16
1146.502484	-68.97
1163.121276	-70.91
1179.980961	-69.21
1197.085030	-70.97
1214.437027	-72.37
1232.040544	-74.59
1249.899229	-75.07
1268.016778	-75.47
1286.396945	-76.30
1305.043536	-72.99
1323.960414	-74.74
1343.151496	-77.00
1362.620756	-73.44
1382.372227	-74.99
1402.410000	-76.64
1422.738225	-75.76
1443.361112	-74.85
1464.282931	-73.34
1485.508017	-74.19
1507.040765	-73.92
1528.885634	-72.48
1551.047150	-76.29
1573.529901	-75.94
1596.338544	-77.69
1619.477804	-75.89
1642.952471	-78.90
1666.767409	-77.92
1690.927550	-79.49
1715.437896	-79.33
1740.303526	-80.91
1765.529587	-80.03
1791.121306	-81.86
1817.083982	-84.17
1843.422992	-87.75
1870.143792	-86.27
1897.251916	-84.98
1924.752977	-83.11
1952.652672	-84.64
