	Sony-H		
Frequency (Hz)	Level (dB)

11.139739	-64.81
11.301211	-64.54
11.465025	-64.32
11.631213	-64.16
11.799810	-64.07
11.970850	-64.06
12.144370	-64.12
12.320405	-64.25
12.498992	-64.44
12.680168	-64.74
12.863969	-65.05
13.050435	-65.39
13.239604	-65.75
13.431515	-66.16
13.626208	-66.48
13.823722	-66.77
14.024100	-67.03
14.227382	-67.17
14.433611	-67.24
14.642829	-67.20
14.855080	-67.06
15.070408	-66.83
15.288856	-66.56
15.510471	-66.25
15.735299	-65.98
15.963385	-65.75
16.194778	-65.58
16.429525	-65.48
16.667674	-65.46
16.909275	-65.51
17.154379	-65.65
17.403035	-65.92
17.655296	-66.24
17.911213	-66.58
18.170840	-66.91
18.434230	-67.26
18.701438	-67.71
18.972519	-68.25
19.247530	-68.15
19.526527	-66.28
19.809568	-63.21
20.096712	-60.15
20.388018	-57.44
20.683546	-54.91
20.983358	-52.31
21.287517	-49.58
21.596084	-46.86
21.909123	-44.34
22.226701	-42.17
22.548881	-40.38
22.875732	-38.96
23.207320	-37.99
23.543715	-37.39
23.884986	-37.10
24.231204	-37.12
24.582441	-37.39
24.938768	-37.97
25.300261	-38.81
25.666993	-40.14
26.039042	-41.91
26.416483	-44.50
26.799396	-47.79
27.187858	-52.03
27.581952	-56.63
27.981758	-59.60
28.387360	-61.38
28.798840	-63.51
29.216286	-65.79
29.639782	-67.21
30.069416	-68.45
30.505279	-70.01
30.947459	-71.02
31.396049	-71.11
31.851141	-70.89
32.312830	-70.58
32.781212	-70.24
33.256382	-69.67
33.738440	-68.50
34.227486	-66.87
34.723620	-65.46
35.226947	-64.47
35.737568	-63.91
36.255592	-63.65
36.781124	-63.50
37.314274	-62.84
37.855152	-60.77
38.403871	-57.94
38.960543	-55.62
39.525284	-54.35
40.098211	-54.09
40.679443	-54.69
41.269100	-56.03
41.867304	-58.28
42.474180	-61.91
43.089852	-67.43
43.714448	-72.92
44.348098	-73.40
44.990933	-72.17
45.643086	-70.24
46.304692	-68.15
46.975888	-66.40
47.656813	-65.13
48.347609	-64.78
49.048418	-65.72
49.759385	-67.84
50.480657	-69.77
51.212385	-70.22
51.954719	-70.19
52.707813	-70.49
53.471824	-71.46
54.246909	-73.01
55.033230	-74.18
55.830948	-73.78
56.640229	-69.22
57.461241	-63.38
58.294153	-58.85
59.139139	-55.53
59.996373	-54.04
60.866033	-54.91
61.748299	-58.05
62.643354	-62.75
63.551382	-68.32
64.472573	-70.58
65.407116	-70.11
66.355206	-70.38
67.317038	-71.49
68.292813	-72.60
69.282731	-72.57
70.286999	-71.58
71.305824	-70.85
72.339416	-71.16
73.387991	-72.74
74.451765	-75.01
75.530959	-76.36
76.625796	-75.31
77.736503	-73.69
78.863310	-72.97
80.006450	-73.40
81.166160	-74.17
82.342680	-73.75
83.536255	-72.96
84.747130	-73.26
85.975557	-72.11
87.221791	-71.72
88.486089	-72.82
89.768713	-74.10
91.069929	-75.66
92.390007	-77.86
93.729219	-79.42
95.087844	-79.14
96.466162	-70.74
97.864459	-60.57
99.283025	-54.53
100.722153	-54.48
102.182141	-59.37
103.663293	-71.70
105.165914	-79.37
106.690316	-78.36
108.236814	-76.17
109.805729	-78.05
111.397386	-79.70
113.012114	-77.78
114.650248	-77.41
116.312128	-77.23
117.998096	-76.43
119.708503	-75.03
121.443703	-73.87
123.204054	-76.56
124.989923	-78.59
126.801678	-78.63
128.639694	-76.21
130.504354	-73.20
132.396041	-74.73
134.315150	-77.75
136.262076	-78.36
138.237223	-78.08
140.241000	-77.07
142.273823	-77.45
144.336111	-75.86
146.428293	-75.79
148.550802	-74.84
150.704076	-76.65
152.888563	-78.50
155.104715	-77.60
157.352990	-75.68
159.633854	-76.61
161.947780	-76.81
164.295247	-78.26
166.676741	-76.03
169.092755	-75.08
171.543790	-77.24
174.030353	-78.03
176.552959	-68.04
179.112131	-56.59
181.708398	-58.40
184.342299	-72.22
187.014379	-78.15
189.725192	-81.35
192.475298	-80.83
195.265267	-77.45
198.095678	-75.62
200.967116	-78.90
203.880176	-77.20
206.835462	-76.08
209.833585	-77.41
212.875166	-77.60
215.960836	-77.51
219.091233	-77.41
222.267006	-73.82
225.488813	-74.20
228.757320	-77.24
232.073205	-78.10
235.437154	-74.78
238.849865	-75.60
242.312043	-78.54
245.824407	-76.49
249.387683	-79.10
253.002609	-75.62
256.669935	-74.02
260.390419	-77.20
264.164832	-78.26
267.993956	-78.29
271.878584	-77.52
275.819521	-74.67
279.817582	-80.22
283.873596	-80.25
287.988403	-81.76
292.162855	-79.51
296.397817	-79.10
300.694165	-80.86
305.052789	-80.04
309.474593	-84.75
313.960491	-85.20
318.511414	-82.18
323.128303	-83.04
327.812115	-81.23
332.563820	-79.85
337.384402	-63.15
342.274859	-61.92
347.236204	-83.14
352.269465	-80.75
357.375684	-79.30
362.555919	-81.40
367.811243	-83.66
373.142743	-77.40
378.551525	-76.27
384.038708	-79.82
389.605429	-78.10
395.252841	-78.85
400.982113	-77.76
406.794432	-78.45
412.691002	-79.14
418.673044	-79.36
424.741797	-76.84
430.898518	-78.76
437.144481	-81.08
443.480981	-78.21
449.909331	-79.65
456.430860	-77.35
463.046920	-81.74
469.758882	-84.18
476.568134	-82.54
483.476089	-82.41
490.484175	-81.72
497.593845	-77.50
504.806572	-81.00
512.123848	-82.92
519.547190	-84.34
527.078134	-86.47
534.718242	-82.33
542.469094	-84.59
550.332296	-77.89
558.309477	-82.75
