	Sony-S		
Frequency (Hz)	Level (dB)

11.139739	-86.51
11.301211	-86.28
11.465025	-86.00
11.631213	-85.64
11.799810	-85.18
11.970850	-84.69
12.144370	-84.18
12.320405	-83.65
12.498992	-83.13
12.680168	-82.58
12.863969	-82.10
13.050435	-81.66
13.239604	-81.26
13.431515	-80.87
13.626208	-80.56
13.823722	-80.30
14.024100	-80.06
14.227382	-79.91
14.433611	-79.82
14.642829	-79.81
14.855080	-79.88
15.070408	-80.06
15.288856	-80.30
15.510471	-80.66
15.735299	-81.05
15.963385	-81.50
16.194778	-81.92
16.429525	-82.28
16.667674	-82.58
16.909275	-82.72
17.154379	-82.76
17.403035	-82.69
17.655296	-82.53
17.911213	-82.32
18.170840	-82.06
18.434230	-81.80
18.701438	-81.57
18.972519	-81.40
19.247530	-81.31
19.526527	-81.31
19.809568	-81.40
20.096712	-81.58
20.388018	-81.82
20.683546	-82.14
20.983358	-82.52
21.287517	-82.96
21.596084	-83.47
21.909123	-84.02
22.226701	-84.60
22.548881	-85.22
22.875732	-85.86
23.207320	-86.51
23.543715	-87.19
23.884986	-87.90
24.231204	-88.46
24.582441	-88.64
24.938768	-88.18
25.300261	-87.12
25.666993	-85.50
26.039042	-83.74
26.416483	-81.83
26.799396	-80.18
27.187858	-78.87
27.581952	-78.01
27.981758	-77.70
28.387360	-77.93
28.798840	-78.67
29.216286	-79.90
29.639782	-81.49
30.069416	-83.43
30.505279	-85.80
30.947459	-88.72
31.396049	-91.99
31.851141	-94.42
32.312830	-95.02
32.781212	-94.91
33.256382	-94.91
33.738440	-95.10
34.227486	-95.52
34.723620	-95.96
35.226947	-95.87
35.737568	-95.02
36.255592	-94.01
36.781124	-93.40
37.314274	-93.30
37.855152	-93.46
38.403871	-93.51
38.960543	-93.37
39.525284	-93.33
40.098211	-93.67
40.679443	-94.42
41.269100	-95.34
41.867304	-96.22
42.474180	-97.08
43.089852	-98.13
43.714448	-99.38
44.348098	-100.52
44.990933	-100.83
45.643086	-99.65
46.304692	-97.90
46.975888	-96.79
47.656813	-96.57
48.347609	-97.14
49.048418	-98.48
49.759385	-100.43
50.480657	-101.94
51.212385	-102.25
51.954719	-102.31
52.707813	-102.78
53.471824	-104.03
54.246909	-105.92
55.033230	-106.65
55.830948	-104.24
56.640229	-100.68
57.461241	-97.50
58.294153	-95.44
59.139139	-95.03
59.996373	-96.14
60.866033	-98.58
61.748299	-102.39
62.643354	-105.60
63.551382	-105.65
64.472573	-105.17
65.407116	-106.27
66.355206	-109.00
67.317038	-111.89
68.292813	-111.90
69.282731	-110.54
70.286999	-109.82
71.305824	-109.42
72.339416	-109.55
73.387991	-110.47
74.451765	-112.12
75.530959	-113.49
76.625796	-114.10
77.736503	-114.86
78.863310	-116.06
80.006450	-117.83
81.166160	-117.46
82.342680	-115.26
83.536255	-114.17
84.747130	-114.29
85.975557	-115.35
87.221791	-116.24
88.486089	-115.95
89.768713	-116.17
91.069929	-117.63
92.390007	-117.72
93.729219	-117.93
95.087844	-117.49
96.466162	-117.01
97.864459	-115.40
99.283025	-112.81
100.722153	-112.87
102.182141	-115.41
103.663293	-118.97
105.165914	-120.23
106.690316	-117.37
108.236814	-115.73
109.805729	-115.21
111.397386	-116.50
113.012114	-116.98
114.650248	-115.33
116.312128	-112.51
117.998096	-111.11
119.708503	-112.45
121.443703	-112.70
123.204054	-114.70
124.989923	-117.29
126.801678	-115.19
128.639694	-114.22
130.504354	-115.72
132.396041	-115.31
134.315150	-115.79
136.262076	-116.05
138.237223	-114.81
140.241000	-114.99
142.273823	-114.14
144.336111	-116.44
146.428293	-119.01
148.550802	-121.47
150.704076	-123.13
152.888563	-122.71
155.104715	-120.57
157.352990	-121.98
159.633854	-121.85
161.947780	-120.74
164.295247	-122.65
166.676741	-119.71
169.092755	-121.40
171.543790	-124.46
174.030353	-123.12
176.552959	-127.87
179.112131	-126.86
181.708398	-125.02
184.342299	-118.78
187.014379	-117.47
189.725192	-119.68
192.475298	-122.29
195.265267	-122.33
198.095678	-123.11
200.967116	-123.96
203.880176	-122.35
206.835462	-121.19
209.833585	-125.35
212.875166	-126.44
215.960836	-122.15
219.091233	-124.17
222.267006	-126.61
225.488813	-125.77
228.757320	-123.13
232.073205	-123.24
235.437154	-125.50
238.849865	-125.71
242.312043	-123.69
245.824407	-123.78
